N	3gram	Medvedev_F	Literetu
1	в том что	3	21
2	в то же	13	21
3	то же время	13	21
4	по отношению к	4	12
5	с одной стороны	5	12
6	не может быть	11	11
7	в данном случае	2	11
8	в отличие от	2	11
9	состоит в том	1	11
10	так или иначе	1	10
11	в этом отношении	7	10
12	с точки зрения	17	8
13	не говоря уже	1	8
14	с другой стороны	4	7
15	говоря уже о	1	6
16	в том числе	1	6
17	из того что	1	6
18	с этой точки	1	5
19	тем не менее	2	5
20	в том чтобы	3	5
21	этой точки зрения	1	5
22	в связи с	9	5
23	прежде всего в	5	5
24	но при этом	1	4
25	по аналогии с	4	4
26	и тем самым	2	4
27	и прежде всего	2	4
28	то ни было	1	4
29	бы то ни	4	4
30	и наконец в	2	3
31	и т п	11	3
32	одной стороны и	4	3
33	в самом деле	5	3
34	ничего общего с	2	3
35	не сводится к	2	3
36	особое место в	2	3
37	только в том	1	3
38	в свою очередь	6	3
39	не столько в	1	3
40	какого бы то	1	3
41	а не как	1	3
42	на самом деле	7	3
43	по крайней мере	1	3
44	в целом ряде	2	3
45	и культуры в	1	3
46	во всяком случае	6	3
47	и в частности	2	3
48	том числе и	1	3
49	в самом начале	1	2
50	же время не	2	2
51	говорить на языке	1	2
52	для того чтобы	3	2
53	как и всякое	1	2
54	все же в	1	2
55	органической связи с	1	2
56	в отношении к	1	2
57	что он в	1	2
58	между тем как	1	2
59	в то что	1	2
60	в этой книге	1	2
61	тех или иных	1	2
62	не могло быть	1	2
63	не только не	2	2
64	потому что не	1	2
65	в целом и	1	2
66	жизни не только	1	2
67	к тому что	3	2
68	только то что	1	2
69	а прежде всего	1	2
70	в значительной степени	3	2
71	слово как таковое	1	2
72	по тем же	1	2
73	может и не	1	2
74	то что было	1	2
75	чуть ли не	1	2
76	вместе с тем	5	2
77	тем что в	1	2
78	но и в	4	2
79	в историю литературы	1	2
80	так и не	1	2
81	одним из первых	1	2
82	в общественном сознании	1	2
83	самим собой но	1	2
84	исследования в области	1	2
85	при этом не	2	2
86	до тех пор	1	2
87	художественного творчества в	1	2
88	в этом случае	1	2
89	тем что он	1	2
90	друг для друга	1	2
91	что же касается	1	2
92	в каждом своем	1	1
93	по аналогии со	1	1
94	как и во	1	1
95	каждого из них	1	1
96	что он не	1	1
97	все то что	1	1
98	мыслится им как	1	1
99	не приводит к	1	1
100	по себе но	1	1
101	к тому чтобы	2	1
102	в той мере	1	1
103	в большинстве случаев	5	1
104	том что искусство	2	1
105	здесь может быть	1	1
106	но отнюдь не	1	1
107	оно должно быть	1	1
108	однако и здесь	1	1
109	может быть наиболее	1	1
110	о гораздо более	1	1
111	хотя бы и	1	1
112	так и от	1	1
113	это приводит к	2	1
114	художественного произведения в	3	1
115	во внешнем мире	1	1
116	тем более не	1	1
117	литературного произведения как	1	1
118	не в том	3	1
119	друг от друга	2	1
120	здесь этот образ	1	1
121	искусства и культуры	1	1
122	идеологического кругозора и	3	1
123	более или менее	7	1
124	вместе с ними	1	1
125	но даже и	2	1
126	как бы не	1	1
127	все новые и	1	1
128	прежде всего это	1	1
129	и некоторые другие	1	1
130	более того он	1	1
131	именно в этом	1	1
132	и всякая иная	1	1
133	так и с	1	1
134	до сих пор	7	1
135	как бы между	1	1
136	все более и	3	1
137	и не должно	1	1
138	с лица земли	1	1
139	в такой же	1	1
140	иметь в виду	1	1
141	в конце концов	2	1
142	о литературе в	1	1
143	может быть от	1	1
