N	2gram	Vygotskiy_	Sotsiolo
1	истории литературы	1	10
2	все это	11	7
3	в том	55	5
4	в этом	21	5
5	не только	25	3
6	не в	19	3
7	и в	55	3
8	и только	5	3
9	но ведь	1	3
10	в его	8	3
11	для нас	5	3
12	литературы и	1	2
13	что в	39	2
14	ведь это	1	2
15	заключается что	1	2
16	то что	47	2
17	таким образом	38	2
18	том что	30	2
19	дело не	1	2
20	как бы	11	2
21	в результате	4	2
22	было бы	14	2
23	как будто	10	2
24	в смысле	3	2
25	это зависит	1	2
26	очевидно что	7	2
27	в частности	6	2
28	и мы	6	2
29	нужно было	1	2
30	но и	12	2
31	конце концов	6	2
32	может быть	35	2
33	идей и	1	2
34	по существу	6	2
35	главным образом	3	2
36	и что	28	2
37	это и	3	2
38	за пределы	2	2
39	и заключается	4	2
40	в конце	6	2
41	как только	3	2
42	исторического развития	1	2
43	должна быть	3	2
44	далеко не	7	2
45	только в	18	2
46	к которому	1	2
47	только как	3	2
48	то же	17	2
49	метод и	1	2
50	еще не	2	2
51	по достоинству	1	1
52	влияет на	1	1
53	а в	10	1
54	что он	17	1
55	наш автор	1	1
56	творчество в	1	1
57	образом в	3	1
58	в конечном	6	1
59	столь же	6	1
60	даже в	2	1
61	на что	1	1
62	быть не	1	1
63	в таких	2	1
64	в целом	8	1
65	будто в	1	1
66	в силу	4	1
67	и самые	1	1
68	на этот	2	1
69	это значит	1	1
70	что эти	3	1
71	все эти	7	1
72	настаивает на	1	1
73	не было	5	1
74	представить себе	5	1
75	когда мы	4	1
76	связи с	2	1
77	трудность и	1	1
78	области знания	1	1
79	точке зрения	2	1
80	кто не	1	1
81	только то	3	1
82	не мешает	1	1
83	в своей	6	1
84	раньше всего	1	1
85	что без	3	1
86	во всяком	9	1
87	в мире	1	1
88	и потому	2	1
89	из круга	1	1
90	переходим к	1	1
91	все же	9	1
92	научного исследования	1	1
93	что это	12	1
94	или не	2	1
95	и самым	2	1
96	еще и	1	1
97	приводной ремень	1	1
98	от друга	1	1
99	своего ремесла	1	1
100	по крайней	1	1
101	с другой	7	1
102	ни на	3	1
103	мы должны	4	1
104	в соответствующих	2	1
105	результате его	2	1
106	с ним	2	1
107	так называемым	1	1
108	к вопросам	1	1
109	различает два	1	1
110	между тем	6	1
111	именно и	2	1
112	формальный метод	1	1
113	и более	3	1
114	но как	4	1
115	в этой	5	1
116	вопросов в	1	1
117	есть совокупность	1	1
118	что таким	1	1
119	время в	2	1
120	и его	14	1
121	из понимания	1	1
122	не должна	1	1
123	перейти к	1	1
124	быть для	1	1
125	ли не	2	1
126	никак не	7	1
127	в данном	1	1
128	на все	6	1
129	этих вопросов	2	1
130	в области	12	1
131	и по	7	1
132	самому существу	4	1
133	есть процесс	1	1
134	с помощью	1	1
135	же самое	8	1
136	этом не	2	1
137	один из	6	1
138	так и	6	1
139	только тогда	8	1
140	в то	8	1
141	полагает что	2	1
142	может не	1	1
143	формальным методом	1	1
144	системы как	1	1
145	в котором	5	1
146	как искусство	1	1
147	правильно говорит	1	1
148	те же	9	1
149	будет тем	1	1
150	поэта и	2	1
151	именно на	1	1
152	между собой	1	1
153	же это	1	1
154	произведение как	4	1
155	отнюдь не	11	1
156	и не	24	1
157	выходит за	2	1
158	но она	1	1
159	всяком случае	7	1
160	эти два	1	1
161	никаких положительных	1	1
162	с социальной	1	1
163	иначе говоря	6	1
164	же по	1	1
165	от окружающих	1	1
166	изучения литературы	1	1
167	стоит только	4	1
168	по самому	7	1
169	хотелось бы	1	1
170	благодаря тому	2	1
171	том как	2	1
172	настоящее время	2	1
173	по необходимости	2	1
174	и о	4	1
175	и должны	1	1
176	к изучению	1	1
177	но не	5	1
178	может служить	3	1
179	они не	1	1
180	в те	1	1
181	в него	4	1
182	благодаря этому	1	1
183	его утверждение	1	1
184	она должна	2	1
185	этой области	4	1
186	для этого	1	1
187	их друг	1	1
188	прежде всего	5	1
189	заключаться только	1	1
190	тем что	7	1
191	что она	11	1
192	тем же	4	1
193	в каждом	5	1
194	связь между	1	1
195	на тех	3	1
196	сплошь из	1	1
197	и понятие	1	1
198	эстетику и	1	1
199	существу своему	2	1
200	факт мы	1	1
201	друг от	1	1
202	исследования так	1	1
203	что данный	1	1
204	утверждает в	1	1
205	в чем	5	1
206	на основании	7	1
207	что автор	1	1
208	а с	2	1
209	мы еще	1	1
210	происходит не	1	1
211	это происходит	1	1
212	методы и	1	1
213	а между	1	1
214	новые и	1	1
215	же не	1	1
216	но только	6	1
217	не дает	3	1
218	мы думаем	1	1
219	в сущности	15	1
220	в область	3	1
221	психологии и	5	1
222	конечном счете	6	1
223	он говорит	4	1
224	факта что	2	1
225	его в	3	1
226	зависит от	2	1
227	писателя не	1	1
228	крайней мере	1	1
229	стала для	1	1
230	в процессе	7	1
231	теоретической мысли	1	1
232	между собою	1	1
233	автор не	1	1
234	социологического порядка	1	1
235	новое и	1	1
236	этого и	1	1
237	вовсе не	7	1
238	даже не	1	1
239	против этого	1	1
240	этот основной	1	1
241	с одной	6	1
242	больше того	1	1
243	и наконец	2	1
244	для изучения	1	1
245	конечно не	2	1
246	о том	11	1
247	мы не	15	1
248	и понимает	1	1
249	тому что	7	1
250	мысли в	3	1
251	том и	4	1
252	и затем	1	1
253	эти вопросы	1	1
254	в этих	6	1
255	сама по	2	1
256	у него	4	1
257	по себе	21	1
258	без этого	1	1
259	могут оказаться	1	1
260	перед нами	1	1
261	из тех	1	1
262	все то	4	1
263	хотя бы	4	1
264	существу дела	2	1
265	же время	2	1
266	наконец в	2	1
267	что на	4	1
268	это не	1	1
269	одной стороны	7	1
270	в связи	3	1
271	бы в	3	1
272	и должно	1	1
273	стало быть	3	1
274	в настоящее	2	1
275	именно в	1	1
276	никогда не	13	1
277	и есть	5	1
278	не может	30	1
279	между ними	2	1
280	и как	9	1
281	и какие	1	1
282	что все	10	1
283	место в	1	1
284	не без	1	1
285	как и	25	1
286	изучения и	1	1
287	ничего не	4	1
288	в них	4	1
