N	4gram	Vinokur_St	Stilisti
1	в то же время	5	7
2	одно и то же	1	5
3	одни и те же	1	2
4	но в то же	2	2
5	и в то же	1	2
6	на эту тему в	2	1
7	том и другом случае	1	1
8	но и вообще не	1	1
9	иметь в виду что	1	1
10	с нашей точки зрения	1	1
11	и в этом случае	2	1
12	мысль о том что	1	1
13	и в наши дни	1	1
14	в том и другом	1	1
15	и в голову не	1	1
16	и по отношению к	1	1
17	к тому что у	1	1
18	с их точки зрения	1	1
19	в одних и тех	1	1
20	в той же мере	1	1
21	но даже и в	1	1
22	для того чтобы не	1	1
23	искать ответа на вопрос	1	1
24	еще до того как	2	1
25	тем не менее и	1	1
26	одним и тем же	2	1
27	ответа на вопрос о	1	1
28	и в косвенных падежах	1	1
29	ему и в голову	1	1
30	с самого начала был	1	1
31	одних и тех же	1	1
