N	4gram	Bakhtin_sl	Mirosoze
1	в то время как	2	4
2	одной и той же	1	3
3	в том что он	1	3
4	она не может быть	1	2
5	никогда не может быть	2	2
6	в начале xx века	1	2
7	все более и более	1	2
8	ни в чем не	1	2
9	и потому не может	1	1
10	мы имеем в виду	1	1
11	одни и те же	1	1
12	а также в значительной	1	1
13	не значит конечно что	2	1
14	в то же время	15	1
15	оно не может быть	1	1
16	также в значительной степени	1	1
17	все время находится в	1	1
18	это не значит конечно	2	1
19	том что он не	1	1
20	не видят и не	1	1
21	менее всего может быть	1	1
22	до сих пор не	2	1
23	в том что оно	1	1
