N	3gram	Bakhtin_fo	Morfolog
1	и т д	3	60
2	в этом случае	1	10
3	не может быть	4	9
4	в связи с	12	9
5	по отношению к	3	7
6	с точки зрения	9	6
7	наряду с этим	3	5
8	связи с этим	4	5
9	то перед нами	1	5
10	как мы увидим	2	5
11	с другой стороны	1	5
12	а также и	3	5
13	в том что	4	4
14	на самом деле	1	4
15	не могут быть	1	4
16	к тому что	1	4
17	но все же	3	4
18	чаще всего это	1	3
19	в большинстве случаев	2	3
20	здесь прежде всего	1	3
21	о том что	2	3
22	как и в	3	3
23	для того чтобы	11	3
24	и пр и	1	3
25	в то время	3	3
26	то время как	2	3
27	это не значит	1	2
28	о том как	2	2
29	до наших дней	1	2
30	то что в	1	2
31	или в форме	1	2
32	друг на друга	4	2
33	под углом зрения	2	2
34	друг за другом	2	2
35	мы уже видели	1	2
36	в данном случае	2	2
37	мы имеем в	2	2
38	при помощи которой	1	2
39	и в других	4	2
40	тех случаях когда	1	2
41	не входит в	1	2
42	а вовсе не	1	2
43	во всяком случае	1	2
44	в тех случаях	1	2
45	к вопросу о	2	2
46	с одной стороны	3	2
47	в этом отношении	5	2
48	вне связи с	1	2
49	т д он	1	2
50	друг к другу	2	2
51	может быть и	4	2
52	эта форма в	1	1
53	сих пор не	1	1
54	что и при	1	1
55	их и не	1	1
56	все это мы	1	1
57	в свою очередь	1	1
58	могут быть названы	1	1
59	том что все	1	1
60	но кроме того	1	1
61	мы уже знаем	1	1
62	с этим мы	1	1
63	с этим в	2	1
64	до известной степени	1	1
65	в доме не	1	1
66	имеется и в	1	1
67	и может быть	1	1
68	время уже не	1	1
69	наряду с этими	1	1
70	то что не	1	1
71	точном смысле слова	1	1
72	за нами в	1	1
73	здесь как и	1	1
74	в первый раз	1	1
75	обстоит дело с	1	1
76	с этой точки	1	1
77	но наряду с	1	1
78	герой в этом	1	1
79	можно сказать что	1	1
80	только в том	1	1
81	в форме диалога	1	1
82	два или три	1	1
83	в этом и	1	1
84	эта форма как	1	1
85	не вызывает никаких	1	1
86	по существу не	2	1
87	более и более	2	1
88	в то же	10	1
89	в другую страну	2	1
90	в этих условиях	2	1
91	и то же	4	1
92	как мы уже	11	1
93	мы будем говорить	2	1
94	может быть или	1	1
95	и пр все	1	1
96	в основе ее	1	1
97	друг с другом	5	1
98	до сих пор	4	1
99	совершенно ясно что	1	1
100	все же в	2	1
101	все более и	2	1
102	во всех случаях	1	1
103	сюда прежде всего	1	1
104	ко второму типу	1	1
105	как это обычно	1	1
106	за тридевять земель	1	1
107	одно и то	4	1
108	той или иной	3	1
109	бросается в глаза	1	1
110	ее по существу	1	1
111	надо сказать что	1	1
112	во всех этих	2	1
113	похожи друг на	2	1
114	которые могут быть	1	1
115	но прежде чем	1	1
116	все это на	1	1
117	с самого начала	3	1
118	что в основе	1	1
119	и у него	2	1
120	в точном смысле	3	1
121	по существу является	1	1
122	одна из форм	1	1
123	по существу и	1	1
124	в высшей степени	1	1
125	но в этом	2	1
126	и др здесь	1	1
127	огромную роль в	1	1
128	в критический момент	1	1
129	дело идет об	1	1
130	связь его с	1	1
131	этой точки зрения	1	1
132	мы увидим дальше	1	1
133	вплоть до наших	1	1
134	это значит что	2	1
135	вторым и третьим	1	1
136	здесь не место	2	1
137	и по существу	1	1
138	или во всяком	1	1
139	то же время	13	1
140	так и здесь	1	1
141	и как он	1	1
142	уже не только	1	1
143	что и в	1	1
144	сюда же относится	1	1
145	потому что они	1	1
146	по существу здесь	1	1
