N	3gram	Vygotskiy_	NovoeSre
1	в высшей степени	7	6
2	не может быть	8	4
3	подобно тому как	2	3
4	вопрос о том	2	2
5	он не имеет	1	2
6	в том и	1	2
7	том и заключается	1	2
8	вместе с тем	5	2
9	так же как	6	2
10	в этом смысле	3	2
11	он не может	1	2
12	когда мы говорим	2	2
13	с одной стороны	14	2
14	с другой стороны	10	2
15	она не может	1	2
16	сказать что все	1	1
17	не право и	1	1
18	прежде всего как	1	1
19	в том что	30	1
20	не в том	1	1
21	до сих пор	4	1
22	я не могу	2	1
23	не имеет никакой	1	1
24	будет сказать что	1	1
25	в такой же	3	1
26	и потому что	2	1
27	в зависимости от	8	1
28	по своей природе	3	1
29	человека и в	1	1
30	но для этого	1	1
31	том числе и	3	1
32	можно было бы	6	1
33	и вместе с	1	1
34	такой же мере	3	1
35	и к которому	1	1
36	мысли но в	1	1
37	то что он	2	1
38	только для себя	1	1
39	говорит что в	2	1
40	в свою противоположность	1	1
41	не только в	1	1
42	но и в	1	1
43	бы сказать что	3	1
44	которые могут быть	1	1
45	в том чтобы	6	1
46	но все время	1	1
47	не быть в	1	1
48	между небом и	1	1
49	в отличие от	3	1
50	в значительной степени	2	1
51	своей природе и	2	1
52	мы не хотим	2	1
53	что она неизбежно	1	1
54	есть прежде всего	2	1
55	о том что	10	1
56	же как и	4	1
57	что в этом	1	1
58	и не могут	1	1
59	и пр в	1	1
60	не могут быть	1	1
61	наряду с этим	2	1
62	заключает в себе	1	1
63	как и в	2	1
64	то что в	2	1
65	но и потому	1	1
66	во всяком случае	5	1
67	в том числе	3	1
68	к вопросу о	1	1
69	совершенно так же	1	1
70	это значит что	1	1
71	играют большую роль	1	1
72	и на их	1	1
73	не в силах	1	1
74	в то время	5	1
75	то время как	4	1
76	в известном смысле	3	1
77	того чтобы быть	1	1
78	играть огромную роль	1	1
79	общественной жизни как	1	1
80	находится во власти	1	1
81	и не может	1	1
