N	3gram	Bakhtin_Fr	Otkroven
1	для того чтобы	5	3
2	как и все	5	2
3	не может быть	2	2
4	но и в	4	2
5	и в этом	1	2
6	в самой жизни	1	1
7	в одном месте	2	1
8	о том что	3	1
9	принято думать что	1	1
10	над человеческой природой	1	1
11	в том что	2	1
12	не так как	1	1
13	в обычном смысле	1	1
14	в том случае	1	1
15	и то что	1	1
16	его творчества но	2	1
17	и все что	3	1
18	бы и не	1	1
19	как и в	2	1
20	и в ее	1	1
21	то что в	1	1
22	том случае если	1	1
23	как будто бы	1	1
24	смысле этого слова	2	1
25	во всяком случае	2	1
26	но и там	1	1
27	и в самом	1	1
28	в другом месте	1	1
29	вместо того чтобы	1	1
30	обычном смысле слова	1	1
31	уже указывали на	2	1
32	о том как	1	1
33	в эпоху возрождения	1	1
34	само по себе	1	1
35	и прежде всего	3	1
36	в этом отношении	4	1
37	между этими двумя	1	1
38	по сравнению с	2	1
39	в строгом смысле	1	1
40	том что в	1	1
41	прежде всего в	1	1
42	но и ее	1	1
43	этого мира в	1	1
44	все что было	1	1
45	говорят о том	1	1
46	даже и в	2	1
47	после того как	1	1
48	он и не	1	1
49	и не может	1	1
50	но в этой	1	1
