N	2gram	Potebnia_M	VerxiiNi
1	и в	58	26
2	таким образом	21	22
3	с тем	9	18
4	в этом	18	15
5	вместе с	12	15
6	точки зрения	8	13
7	как бы	12	12
8	в том	38	11
9	не только	32	10
10	и с	3	10
11	может быть	47	10
12	из этих	8	10
13	что в	34	9
14	так как	29	9
15	связи с	6	9
16	но и	26	9
17	в области	1	9
18	в общем	1	8
19	и у	3	8
20	и не	34	8
21	как на	5	8
22	главным образом	4	8
23	с другой	13	8
24	но не	19	8
25	с одной	7	7
26	но все	4	7
27	связанные с	3	7
28	том что	21	7
29	потому что	89	7
30	одной стороны	6	7
31	то что	24	7
32	но в	12	7
33	из них	2	7
34	к нему	2	7
35	так и	17	6
36	несмотря на	5	6
37	все это	3	6
38	что и	16	6
39	в отношении	1	6
40	все эти	3	6
41	все же	11	6
42	к тому	5	6
43	о том	6	6
44	во всяком	9	6
45	и потому	7	6
46	всяком случае	7	6
47	мы должны	4	6
48	с точки	4	6
49	в себе	22	6
50	того же	13	6
51	до сих	5	5
52	в его	7	5
53	тому же	1	5
54	более или	6	5
55	в мире	3	5
56	не имеет	9	5
57	или менее	6	5
58	сих пор	5	5
59	по крайней	6	5
60	того чтобы	4	5
61	для того	8	5
62	так же	7	5
63	лишь в	2	5
64	отношение к	1	5
65	образом в	5	5
66	а не	38	5
67	и для	8	5
68	крайней мере	6	5
69	никогда не	7	5
70	в самом	5	4
71	что оно	5	4
72	ничем не	2	4
73	то есть	69	4
74	и по	8	4
75	то же	13	4
76	только в	36	4
77	в этих	10	4
78	должен был	1	4
79	с другими	3	4
80	что он	5	4
81	и вместе	5	4
82	в которых	2	4
83	в смысле	4	4
84	в котором	5	4
85	в течение	2	4
86	и тогда	2	4
87	он не	4	4
88	и что	13	4
89	далеко не	4	4
90	а в	11	4
91	в этой	3	4
92	и от	5	4
93	не может	30	4
94	что все	4	4
95	на этот	2	4
96	в виде	1	4
97	в то	6	4
98	и только	6	4
99	в нем	26	4
100	во время	5	4
101	в так	1	4
102	уже с	2	3
103	к сожалению	1	3
104	и другие	1	3
105	с этой	3	3
106	и при	6	3
107	при этом	17	3
108	для него	13	3
109	из всех	1	3
110	что это	5	3
111	тем не	11	3
112	и если	6	3
113	в результате	1	3
114	то с	1	3
115	и даже	4	3
116	если бы	23	3
117	в которой	5	3
