N	4gram	Bakhtin_Pr	Vvedenie
1	той мере в какой	1	6
2	в той мере в	1	6
3	в то же время	10	6
4	дело в том что	1	3
5	в том отношении что	1	3
6	но в то же	5	3
7	с этой точки зрения	1	2
8	заключается в том что	1	2
9	во всяком случае не	1	2
10	одной и той же	1	2
11	одного и того же	1	2
12	в целом ряде других	2	1
13	можно сказать что в	1	1
14	той или иной степени	2	1
15	по отношению к нему	1	1
16	в том что он	4	1
17	в данном случае и	1	1
18	но с другой стороны	2	1
19	и со стороны содержания	1	1
20	бы то ни было	2	1
21	в зависимости от того	1	1
22	в отличие от других	1	1
23	той или иной идеи	1	1
24	и в целом ряде	2	1
25	заключается в том чтобы	1	1
26	уже само по себе	1	1
27	и не потому что	2	1
28	мы имеем в виду	2	1
29	в той или иной	2	1
30	и в этом смысле	2	1
31	говорить о том что	1	1
32	какой бы то ни	1	1
33	в этом смысле как	1	1
34	было до сих пор	1	1
35	в зависимости от характера	1	1
36	и в этом отношении	2	1
37	в каждом из них	2	1
