N	4gram	Propp_Isto	slovoVRo
1	с одной стороны и	1	4
2	с этой точки зрения	3	2
3	и не может быть	1	2
4	в то время как	4	2
5	во всяком случае не	1	1
6	и т д дурак	1	1
7	а в том что	1	1
8	и т д если	1	1
9	и даже там где	1	1
10	все новые и новые	2	1
11	мы не можем здесь	1	1
12	дело не только в	1	1
13	в том что он	1	1
14	на своем месте и	1	1
15	но с другой стороны	1	1
16	в зависимости от эпохи	1	1
17	бы то ни было	1	1
18	с другой стороны и	2	1
19	же как и в	1	1
20	друг с другом и	1	1
21	во всех этих случаях	6	1
22	так же как и	1	1
23	создает благоприятную почву для	1	1
24	не можем здесь входить	1	1
