N	2gram	Medvedev_S	OGranits
1	и в	3	13
2	и его	1	12
3	прежде всего	1	9
4	может быть	2	8
5	и не	1	8
6	не может	1	8
7	в его	3	7
8	таким образом	2	6
9	не только	3	6
10	мы должны	1	6
11	только в	2	6
12	то что	2	6
13	как бы	2	6
14	хотя бы	1	5
15	в процессе	1	5
16	но ведь	3	5
17	все же	1	5
18	и наконец	1	5
19	в каждом	1	4
20	мы не	1	4
21	то же	2	4
22	еще и	1	4
23	было бы	2	4
24	все это	7	4
25	в своей	1	4
26	что в	2	3
27	так и	1	3
28	за пределы	2	3
29	отношению к	2	3
30	по отношению	2	3
31	не в	3	3
32	вряд ли	1	3
33	но и	2	3
34	как и	1	3
35	никогда не	1	3
36	в области	1	2
37	истории литературы	10	2
38	в данном	1	2
39	формальный метод	1	2
40	в этом	5	2
41	с одной	1	2
42	социологический метод	4	2
43	наконец в	1	2
44	одной стороны	1	2
45	и должно	1	2
46	и научно	1	2
47	между тем	1	2
48	с помощью	1	2
49	те же	1	2
50	в том	5	2
51	ни одно	1	2
52	в них	1	2
53	а в	1	2
54	мы понимаем	1	2
55	но одно	1	2
56	тем что	1	2
57	вовсе не	1	2
58	между собою	1	2
59	поэтики и	1	2
60	в связи	1	2
61	все эти	1	2
62	с другой	1	2
63	художественных произведений	1	2
64	том что	2	2
65	в чем	1	2
66	в целом	1	2
67	бы в	1	2
68	науки о	1	1
69	этого и	1	1
70	к которому	2	1
71	переходим к	1	1
72	этом нужно	1	1
73	история литературы	1	1
74	один из	1	1
75	и п.н	1	1
76	выходит за	1	1
77	как же	3	1
78	они не	1	1
79	понимаем всю	1	1
80	и остаются	1	1
81	метод в	4	1
82	и более	1	1
83	это и	2	1
84	тому что	1	1
85	все то	1	1
86	литературы как	1	1
87	стиль в	1	1
88	быть не	1	1
89	время в	1	1
90	стр и	1	1
91	в свои	1	1
92	вступает в	1	1
93	одно дело	2	1
94	и что	2	1
95	в этой	1	1
96	чуть ли	1	1
97	и есть	1	1
98	конечно не	1	1
99	только то	1	1
100	по себе	1	1
101	же время	1	1
102	его в	1	1
103	о литературе	3	1
104	как то	1	1
105	жизни он	1	1
106	не было	1	1
107	когда мы	1	1
108	связи с	1	1
109	же не	1	1
110	всего не	1	1
111	исторической поэтики	1	1
112	же самое	1	1
113	правда он	1	1
114	произведение как	1	1
115	объекта и	1	1
116	в конечном	1	1
117	конечном счете	1	1
118	он говорит	1	1
119	в конце	2	1
120	свои права	1	1
121	и как	1	1
122	у п.н	2	1
123	что он	1	1
124	столь же	1	1
125	что она	1	1
126	или даже	2	1
127	далеко не	2	1
128	и о	1	1
129	что без	1	1
130	в мире	1	1
131	но не	1	1
132	в литературоведении	2	1
133	ли не	1	1
134	в то	1	1
135	должно было	1	1
136	отнюдь не	1	1
137	поэтической формы	1	1
138	для этого	1	1
139	не из	1	1
140	в виде	1	1
141	не должна	1	1
142	мысли в	1	1
143	тем более	2	1
144	на все	1	1
145	еще не	2	1
