N	2gram	Vinokur_St	Sotsiolo
1	истории литературы	2	10
2	все это	13	7
3	в том	56	5
4	в этом	37	5
5	не только	36	3
6	не в	15	3
7	и в	61	3
8	и только	3	3
9	но ведь	8	3
10	более чем	3	3
11	в его	19	3
12	для нас	7	3
13	литературы и	3	2
14	что в	41	2
15	ведь это	1	2
16	то что	27	2
17	таким образом	16	2
18	том что	49	2
19	дело не	4	2
20	как бы	8	2
21	в результате	5	2
22	было бы	21	2
23	как будто	5	2
24	очевидно что	1	2
25	в частности	6	2
26	нужно было	2	2
27	но и	28	2
28	конце концов	2	2
29	может быть	16	2
30	идей и	1	2
31	по существу	3	2
32	и что	8	2
33	это и	5	2
34	за пределы	2	2
35	по отношению	3	2
36	в конце	5	2
37	отношению к	3	2
38	должна быть	3	2
39	далеко не	1	2
40	тем более	4	2
41	только в	11	2
42	к которому	4	2
43	то же	7	2
44	одно дело	2	2
45	еще не	4	2
46	и стиля	2	1
47	а в	18	1
48	что он	23	1
49	художественных произведений	1	1
50	образом в	1	1
51	столь же	5	1
52	даже в	5	1
53	быть не	2	1
54	в таких	1	1
55	в целом	5	1
56	будто в	3	1
57	вряд ли	8	1
58	на этот	5	1
59	что эти	1	1
60	все эти	7	1
61	не один	1	1
62	не было	7	1
63	представить себе	1	1
64	когда мы	1	1
65	связи с	3	1
66	пишет следующее	1	1
67	только то	1	1
68	в своей	12	1
69	во всяком	8	1
70	стр очевидно	1	1
71	и потому	3	1
72	все же	12	1
73	что это	5	1
74	еще и	5	1
75	от друга	1	1
76	по крайней	2	1
77	иначе и	2	1
78	с другой	11	1
79	ни на	3	1
80	а тем	1	1
81	это же	1	1
82	так называемым	2	1
83	к вопросам	1	1
84	право на	1	1
85	знания нельзя	1	1
86	между тем	7	1
87	и более	4	1
88	но как	1	1
89	в этой	13	1
90	что таким	1	1
91	время в	1	1
92	в свои	1	1
93	и его	11	1
94	опираясь на	1	1
95	они ни	1	1
96	быть для	1	1
97	ли не	2	1
98	никак не	1	1
99	в данном	16	1
100	которая должна	2	1
101	на все	2	1
102	в области	16	1
103	и по	6	1
104	только поэзия	1	1
105	история литературы	2	1
106	этом не	1	1
107	один из	1	1
108	так и	15	1
109	в то	10	1
110	полагает что	1	1
111	пишет он	2	1
112	бы они	1	1
113	понимать что	1	1
114	может не	2	1
115	наука о	1	1
116	ни одно	1	1
117	в котором	11	1
118	и русская	1	1
119	те же	1	1
120	именно на	1	1
121	между собой	1	1
122	должно было	5	1
123	же это	3	1
124	и не	23	1
125	тогда и	1	1
126	стр и	5	1
127	всяком случае	8	1
128	эти два	1	1
129	иначе говоря	1	1
130	не исчерпываются	1	1
131	хотелось бы	2	1
132	том как	4	1
133	настоящее время	2	1
134	или нет	1	1
135	и о	4	1
136	это вовсе	2	1
137	к изучению	1	1
138	но не	5	1
139	они не	2	1
140	лучшем случае	1	1
141	этой области	5	1
142	для этого	2	1
143	прежде всего	11	1
144	не пошел	2	1
145	стр в	4	1
146	тем что	6	1
147	что она	5	1
148	тем же	3	1
149	литературе о	1	1
150	не наука	1	1
151	в каждом	3	1
152	он по	2	1
153	связь между	1	1
154	на тех	1	1
155	друг от	1	1
156	утверждает в	1	1
157	в чем	4	1
158	на основании	2	1
159	а с	6	1
160	а между	2	1
161	но только	2	1
162	не дает	2	1
163	в лучшем	1	1
164	в сущности	2	1
165	его в	4	1
166	стр но	2	1
167	пришлось бы	1	1
168	в наше	1	1
169	крайней мере	2	1
170	но одно	1	1
171	в процессе	3	1
172	ни были	2	1
173	новое и	1	1
174	вовсе не	24	1
175	даже не	5	1
176	против этого	1	1
177	с одной	3	1
178	больше того	1	1
179	наука а	1	1
180	для изучения	4	1
181	неудачей но	1	1
182	конечно не	2	1
183	о том	30	1
184	мы не	3	1
185	тому что	8	1
186	но именно	3	1
187	серьезно и	1	1
188	мысли в	1	1
189	том и	1	1
190	наше время	1	1
191	эти вопросы	3	1
192	в этих	5	1
193	какой же	1	1
194	у него	3	1
195	по себе	3	1
196	не место	1	1
197	перед нами	1	1
198	бы он	1	1
199	хотя бы	8	1
200	же время	5	1
201	наконец в	2	1
202	что на	3	1
203	это не	8	1
204	чуть ли	2	1
205	одной стороны	2	1
206	бы в	2	1
207	работы в	3	1
208	в виде	3	1
209	в настоящее	2	1
210	именно в	8	1
211	никогда не	7	1
212	и есть	1	1
213	не может	10	1
214	между ними	1	1
215	и как	2	1
216	и принципов	1	1
217	что все	3	1
218	место в	2	1
219	как и	11	1
220	изучения и	1	1
221	ничего не	6	1
222	в них	2	1
