N	4gram	Nazirov_Tv	Komedia
1	в то же время	18	16
2	бы то ни было	1	7
3	ни в чем не	1	3
4	в том числе и	1	3
5	в том что в	3	2
6	и в то же	2	2
7	мы имеем в виду	1	2
8	и в свою очередь	1	2
9	в один ряд с	1	1
10	приходит в ужас от	1	1
11	с такой силой как	1	1
12	то же время он	2	1
13	не что иное как	1	1
14	за три года до	1	1
15	в отношении к ней	1	1
16	в каждом из нас	1	1
17	то по крайней мере	1	1
18	нельзя не заметить что	1	1
19	мало чем отличается от	1	1
20	столь же ясно что	1	1
21	это не означает что	1	1
22	и те и другие	1	1
23	одного и того же	1	1
24	в соответствии с этим	1	1
25	в том же году	2	1
26	то же время для	1	1
27	один из самых ярких	1	1
28	в целом ряде случаев	1	1
29	и т д все	1	1
30	не укладывается ни в	1	1
31	так же как и	1	1
32	одна и та же	1	1
