N	3gram	Propp_Isto	Otkroven
1	для того чтобы	3	3
2	не могут быть	1	2
3	с тем что	1	2
4	а не в	1	2
5	как и все	1	2
6	не может быть	6	2
7	но и в	2	2
8	это было бы	1	2
9	в этом он	1	2
10	что у него	2	2
11	сам по себе	1	1
12	с которой связан	1	1
13	он должен был	1	1
14	о том что	5	1
15	в том что	4	1
16	все что есть	1	1
17	не в том	2	1
18	друг с другом	2	1
19	а иногда и	2	1
20	в одно время	1	1
21	и то что	3	1
22	в иных случаях	1	1
23	и он всегда	1	1
24	и когда он	1	1
25	как и в	4	1
26	и с чего	1	1
27	в самом деле	1	1
28	не в ней	1	1
29	как будто бы	1	1
30	смысле этого слова	1	1
31	во всяком случае	1	1
32	не потому ли	2	1
33	ни к каким	1	1
34	все еще не	1	1
35	прежде всего и	1	1
36	она и не	1	1
37	о том как	4	1
38	само по себе	1	1
39	и все эти	1	1
40	по сравнению с	1	1
41	потому что в	1	1
42	а не только	1	1
43	на то что	3	1
44	в русской и	1	1
45	от того что	1	1
46	он не только	1	1
47	что есть на	1	1
48	и в том	1	1
49	после того как	4	1
