N	3gram	Bakhtin_Pr	RusskieA
1	в том что	3	49
2	и т д	1	21
3	тем не менее	3	14
4	и в других	1	9
5	для того чтобы	2	8
6	в данном случае	4	8
7	подобно тому как	1	8
8	в настоящее время	1	7
9	как мы увидим	3	7
10	не может быть	11	6
11	в связи с	1	5
12	к тому что	1	5
13	не что иное	1	4
14	как мы уже	1	4
15	в отличие от	5	4
16	что иное как	1	4
17	а иногда и	1	4
18	в то время	1	4
19	можно было бы	3	4
20	это имеет место	1	3
21	по отношению к	19	3
22	до сих пор	1	3
23	самом же деле	1	3
24	на самом же	1	3
25	и в том	1	3
26	в свою очередь	1	3
27	на то что	1	3
28	с точки зрения	6	3
29	к выводу что	1	3
30	далеко не все	1	3
31	с тем что	1	3
32	может быть и	1	3
33	о том как	1	2
34	в большинстве случаев	5	2
35	и т п	13	2
36	может быть только	3	2
37	в области изучения	2	2
38	можно показать что	1	2
39	с другой стороны	4	2
40	равно как и	1	2
41	как и в	1	2
42	можно сказать что	2	2
43	вопрос о том	1	2
44	на самом деле	3	2
45	иметь в виду	1	2
46	в равной степени	1	2
47	не только в	2	2
48	и в этом	1	2
49	в виду что	1	2
50	с одной стороны	3	2
51	в этом отношении	2	2
52	можно найти в	1	1
53	в одном и	1	1
54	в том же	2	1
55	и как бы	1	1
56	на том основании	1	1
57	место и в	1	1
58	и изучена в	1	1
59	у нас в	1	1
60	во всех отношениях	1	1
61	но далеко не	1	1
62	так например в	1	1
63	от него он	1	1
64	далеко не всегда	3	1
65	все то что	3	1
66	на этом основании	1	1
67	а между тем	1	1
68	она не может	1	1
69	в особенности же	1	1
70	между тем как	5	1
71	оно как бы	1	1
72	по аналогии с	1	1
73	в двух направлениях	1	1
74	в своем роде	1	1
75	а в других	1	1
76	таким образом есть	1	1
77	на этот вопрос	1	1
78	и пр в	1	1
79	его уже не	1	1
80	то же самое	2	1
81	не входит в	4	1
82	в применении к	3	1
83	в значительной степени	1	1
84	быть не может	1	1
85	и теперь еще	1	1
86	иных точек зрения	1	1
87	более узкое значение	1	1
88	к нему и	2	1
89	том основании что	1	1
90	только по отношению	4	1
91	большое научное значение	1	1
92	не имеет к	1	1
93	у нас при	1	1
94	в противном случае	3	1
95	и может быть	1	1
96	но и в	2	1
97	должен быть признан	1	1
98	и несмотря на	1	1
99	со всеми его	1	1
100	не более как	1	1
101	мышление в значительной	1	1
102	то что в	1	1
103	в некоторых случаях	1	1
104	а следовательно и	1	1
105	отношение и к	1	1
106	только там где	2	1
107	таким образом в	1	1
108	хотя и не	1	1
109	как это ни	1	1
110	дело в том	1	1
111	смысле этого слова	1	1
112	но и во	1	1
113	в нашу задачу	1	1
114	независимо от него	1	1
115	как одна из	1	1
116	она как бы	1	1
117	и между ними	1	1
118	день и на	1	1
119	может быть признана	1	1
120	и с природой	1	1
121	как в других	2	1
122	в таких случаях	1	1
123	что в некоторых	1	1
124	это и есть	1	1
125	то время как	1	1
126	в основе своей	3	1
