N	2gram	Vygotskiy_	VrazhdaK
1	тургенева и	1	18
2	у тургенева	1	11
3	не только	16	9
4	в этом	37	8
5	и в	65	8
6	и что	29	8
7	что в	36	7
8	и все	14	7
9	но и	6	7
10	то что	61	7
11	о нем	2	6
12	как и	12	6
13	и даже	4	6
14	и с	4	6
15	в романе	2	6
16	все же	10	6
17	в котором	7	6
18	в начале	1	6
19	в нем	8	6
20	но в	5	6
21	то же	17	5
22	у него	6	5
23	и не	20	5
24	между тем	10	5
25	об этом	4	5
26	не было	4	5
27	в то	5	5
28	это не	7	4
29	при этом	10	4
30	несмотря на	7	4
31	с ним	6	4
32	для нас	14	4
33	все это	12	4
34	в виду	6	4
35	в своих	6	4
36	что он	23	4
37	уже в	1	4
38	о том	17	4
39	в дневнике	3	4
40	может быть	33	4
41	в ней	23	4
42	целый ряд	6	4
43	в истории	3	4
44	как бы	29	4
45	так же	12	4
46	что у	7	3
47	в его	11	3
48	в том	46	3
49	имел в	1	3
50	его в	5	3
51	раз в	7	3
52	связи с	2	3
53	мысль на	1	3
54	но он	5	3
55	в связи	1	3
56	я не	9	3
57	и как	10	3
58	далеко не	3	3
59	тем что	7	3
60	речь идет	7	3
61	в чем	3	3
62	и у	1	3
63	в русской	4	3
64	о себе	1	3
65	он был	3	3
66	эти слова	5	3
67	чтобы он	3	3
68	том что	28	3
69	в этот	1	3
70	он не	11	3
71	и уже	5	3
72	в конце	5	3
73	и о	6	3
74	наряду с	4	3
75	одним из	2	3
76	в своем	8	3
77	относился к	1	3
78	на то	25	3
79	с его	2	3
80	и его	8	3
81	к этому	5	3
82	и во	3	3
83	в той	8	2
84	таким образом	21	2
85	и то	10	2
86	ответ на	1	2
87	и он	5	2
88	после этого	5	2
89	приехал в	1	2
90	в момент	1	2
91	его с	1	2
92	к себе	2	2
93	мы знаем	3	2
94	с точки	11	2
95	для него	4	2
96	его и	1	2
97	этот момент	1	2
98	о чем	1	2
99	как раз	14	2
100	по мнению	2	2
101	мне и	1	2
102	в повести	2	2
103	в них	4	2
104	как же	2	2
105	а также	1	2
106	же в	2	2
107	отношения к	3	2
108	в мире	3	2
109	их в	4	2
110	же как	3	2
111	в своей	6	2
112	вместе с	10	2
113	что ж	1	2
114	так в	1	2
115	в это	1	2
116	в известном	1	2
117	не менее	1	2
118	и это	13	2
119	в эту	2	2
120	на первый	1	2
121	еще не	3	2
122	но как	3	2
123	а с	4	2
124	это в	3	2
125	в свою	6	2
126	на основе	1	2
127	в этой	20	2
128	в нашей	2	2
129	при помощи	7	2
130	а в	9	2
131	на это	6	2
132	к ним	3	2
133	отношение к	2	2
134	в одну	2	2
135	уже не	2	2
136	из них	10	2
137	в себе	9	2
138	в глазах	1	2
139	не может	17	2
140	место в	6	2
141	с которым	2	2
142	столь же	5	2
143	точки зрения	19	2
144	этот рассказ	5	2
145	тем более	2	2
146	одна из	6	2
147	об этой	1	2
148	отнюдь не	2	2
149	но это	6	2
150	во время	4	2
151	не мог	4	2
152	и ее	4	2
153	пришел к	1	2
154	никогда не	9	2
155	сочувствие к	2	1
156	души и	1	1
157	все в	1	1
158	в самом	41	1
159	и писатель	1	1
160	во всем	2	1
161	то в	1	1
162	как к	6	1
163	этого и	1	1
164	так и	3	1
165	что они	9	1
166	этот материал	2	1
167	которую они	2	1
168	в свое	1	1
169	все что	2	1
170	другой не	1	1
171	для всех	2	1
172	до сих	7	1
173	сказал что	1	1
174	в душе	1	1
175	красивым и	1	1
176	один из	7	1
177	на воздух	1	1
178	еще раз	3	1
179	с правилами	1	1
180	и этот	6	1
181	этого в	1	1
182	из которых	6	1
183	у гоголя	1	1
184	ему что	1	1
185	сюжет в	1	1
186	ближе к	1	1
187	они не	2	1
188	этот закон	2	1
189	только что	10	1
190	если в	2	1
191	это будет	3	1
192	рассказ о	2	1
193	того как	4	1
194	к этой	3	1
195	которая из	1	1
196	каковы же	1	1
197	второй половине	1	1
198	об одном	1	1
199	за исключением	1	1
200	художественные произведения	1	1
201	знали что	1	1
202	что уже	1	1
203	он всегда	1	1
204	когда писатель	1	1
205	предположение что	1	1
206	он как	2	1
207	наше чувство	5	1
208	дает нам	1	1
209	еще более	2	1
210	второй раз	2	1
211	автором на	1	1
212	предположить что	1	1
213	из всех	3	1
214	что это	19	1
215	хотя и	1	1
216	он и	1	1
217	романа в	1	1
218	и из	1	1
219	в ее	9	1
220	целого ряда	1	1
221	только не	3	1
222	того что	9	1
223	в комментариях	1	1
224	действительной истории	1	1
225	следить за	1	1
226	в другой	1	1
227	говорит о	6	1
228	от этой	2	1
229	и сконцентрировать	1	1
230	в качестве	2	1
231	в поэме	4	1
232	нас в	1	1
233	заметим что	1	1
234	не хочет	1	1
235	которые до	1	1
236	и психологическое	2	1
237	прежде всего	2	1
238	и другими	2	1
239	вошел в	2	1
240	ее и	1	1
241	своих собственных	1	1
242	это слово	1	1
243	другой стороны	5	1
244	а другие	1	1
245	выросла из	1	1
246	нет ничего	1	1
247	в этих	3	1
248	за это	1	1
249	третий раз	1	1
250	так не	1	1
251	в их	3	1
252	все равно	1	1
253	мы находим	1	1
254	тому же	2	1
255	есть еще	1	1
256	но с	2	1
257	без всяких	3	1
258	что поэзия	1	1
259	не ясно	2	1
260	а между	1	1
261	эта попытка	1	1
262	что ни	3	1
263	конечно в	3	1
264	такое понимание	2	1
265	же с	2	1
266	мириться и	1	1
267	а за	1	1
268	а о	1	1
269	из двух	4	1
270	нарастало и	1	1
271	и глубокой	1	1
272	и сам	1	1
273	этот характер	1	1
274	с такими	2	1
275	в одном	9	1
276	их и	1	1
277	равно как	1	1
278	ну что	1	1
279	что за	4	1
280	тот кто	1	1
281	в другую	1	1
282	на нее	1	1
283	на свою	2	1
284	ее для	1	1
285	о своей	1	1
286	но не	3	1
287	в глубине	1	1
288	дошла до	1	1
289	но для	1	1
290	за тем	1	1
291	если это	1	1
292	именно в	3	1
293	толкнул меня	1	1
294	о смерти	1	1
295	уже на	1	1
296	жизни и	6	1
297	в третий	1	1
298	на характер	1	1
299	такое же	3	1
300	то время	4	1
301	спасся от	1	1
302	в таком	6	1
303	героев и	1	1
304	в литературу	1	1
305	нам не	2	1
306	в жизни	6	1
307	уже давно	3	1
308	считать что	1	1
309	мы получаем	1	1
310	меня в	1	1
311	человек и	2	1
312	как говорит	2	1
313	правда в	1	1
314	ясно что	11	1
315	как о	1	1
316	похож на	1	1
317	начинается с	1	1
318	в предисловии	2	1
319	себя как	3	1
320	такие же	1	1
321	не есть	1	1
322	это время	1	1
323	между прочим	1	1
324	как в	8	1
325	мести и	1	1
326	внимание к	2	1
327	рассказ не	2	1
328	роль в	2	1
329	по своему	6	1
330	как нам	1	1
331	и я	3	1
332	по преимуществу	2	1
333	теперь это	1	1
334	никто не	1	1
335	но у	1	1
336	отличается от	2	1
337	да и	1	1
338	этом романе	1	1
339	по его	3	1
340	будь он	1	1
341	который не	7	1
342	ли он	4	1
343	о котором	5	1
344	том как	5	1
345	они как	2	1
346	и служило	1	1
347	в условиях	1	1
348	это было	4	1
349	в итоге	1	1
350	из которого	1	1
351	к своим	2	1
352	в сторону	2	1
353	рассказ этот	2	1
354	что образ	2	1
355	во сне	1	1
356	не имеет	8	1
357	ничего общего	3	1
358	но мы	4	1
359	полагает что	5	1
360	хуже чем	1	1
361	человеком и	3	1
362	что как	4	1
363	осталась без	1	1
364	сих пор	6	1
365	и вообще	1	1
366	гораздо больше	1	1
367	совершенно прав	4	1
368	не был	1	1
369	с первого	1	1
370	время с	2	1
371	жизнь и	2	1
372	первый взгляд	1	1
373	с этим	11	1
374	во всех	4	1
375	до того	1	1
376	эту историю	1	1
377	на россию	1	1
378	во всяком	6	1
379	в стиле	1	1
380	это и	4	1
381	было не	1	1
382	во все	1	1
383	это конечно	3	1
384	за шагом	3	1
385	было в	1	1
386	с конца	2	1
387	в мысли	1	1
388	не могли	5	1
389	что этот	5	1
390	вот такой	1	1
391	россию и	1	1
392	ли это	3	1
393	полном различии	1	1
394	действие в	1	1
395	совпадает с	2	1
396	на той	2	1
397	но при	2	1
398	потому что	26	1
399	шаг за	3	1
400	это то	4	1
401	также и	1	1
402	через месяц	1	1
403	совсем не	3	1
404	необходимую для	3	1
405	именно этот	1	1
406	нельзя не	2	1
407	больших и	1	1
408	только как	2	1
409	отношение автора	1	1
410	из их	1	1
411	в рассказе	9	1
412	больше не	3	1
413	тех пор	2	1
414	которых не	1	1
415	я только	1	1
416	с героями	1	1
417	быть и	1	1
418	во второй	1	1
419	комментариях к	1	1
420	романа это	1	1
421	в частности	3	1
422	не будет	2	1
423	одним словом	2	1
424	характерно для	1	1
425	писателя с	1	1
426	целым рядом	4	1
427	не могло	1	1
428	мы об	1	1
429	но они	2	1
430	материал взятый	1	1
431	и их	2	1
432	говорить о	3	1
433	он хочет	3	1
434	не с	2	1
435	что эта	8	1
436	одно и	4	1
437	отношении к	1	1
438	этого как	3	1
439	не об	1	1
440	всех этих	2	1
441	точно так	3	1
442	как он	2	1
443	говорит я	1	1
444	один раз	1	1
445	не могла	2	1
446	это была	1	1
447	в форме	1	1
448	этой сцене	2	1
449	к смерти	2	1
450	он придал	1	1
451	и другом	2	1
452	вслед за	4	1
453	но об	1	1
454	доходит до	1	1
455	человек который	2	1
456	тем самым	4	1
457	мировой литературе	1	1
458	что ее	3	1
459	вот в	1	1
460	можно найти	2	1
461	от того	1	1
462	к людям	1	1
463	и какая	2	1
464	которую он	2	1
465	что из	1	1
466	так он	1	1
467	человека и	1	1
468	в каком	8	1
469	каждый из	3	1
470	а от	1	1
471	свою очередь	3	1
472	самую суть	1	1
473	и можно	1	1
474	составляет самую	1	1
475	у которого	1	1
476	идет о	8	1
477	как известно	2	1
478	с другой	8	1
479	было бы	22	1
480	имело бы	1	1
481	это же	2	1
482	автора в	2	1
483	что же	3	1
484	своей правоты	1	1
485	я думаю	2	1
486	как на	9	1
487	себя в	1	1
488	у себя	1	1
489	записи в	2	1
490	утверждаю что	1	1
491	которых он	1	1
492	ее не	3	1
493	однако в	1	1
494	и никогда	2	1
495	в плане	4	1
496	что для	6	1
497	нападает на	1	1
498	оба они	1	1
499	с необычайным	2	1
500	а вот	1	1
501	бы его	2	1
502	той же	6	1
503	заключается в	13	1
504	он сказал	4	1
505	не имел	1	1
506	это можно	2	1
507	до конца	5	1
508	в высшей	1	1
509	из первых	1	1
510	к которому	3	1
511	что только	3	1
512	что характер	1	1
513	был в	1	1
514	только при	1	1
515	в первой	2	1
516	есть по	2	1
517	и от	1	1
518	и есть	3	1
519	тем чтобы	1	1
520	во всей	3	1
521	в силу	2	1
522	на этот	2	1
523	это мнение	3	1
524	всю жизнь	1	1
525	такой же	2	1
526	так это	1	1
527	в уме	1	1
528	идет не	1	1
529	есть все	2	1
530	каком направлении	1	1
531	из этого	10	1
532	его слабости	1	1
533	из-за этого	1	1
534	не все	1	1
535	этом отношении	1	1
536	хотя он	1	1
537	своим собственным	2	1
538	тут же	1	1
539	всяком случае	6	1
540	в мировой	1	1
541	независимо от	2	1
542	момент его	1	1
543	друг друга	1	1
544	материал и	2	1
545	событий и	3	1
546	другой раз	1	1
547	с ее	5	1
548	всего романа	2	1
549	из него	4	1
550	же он	1	1
551	бы в	3	1
552	не просто	7	1
553	того же	4	1
554	глубине души	1	1
555	в целом	8	1
556	не должна	2	1
557	свои собственные	1	1
558	едва ли	4	1
559	одного и	2	1
560	и наконец	2	1
561	ничего не	4	1
562	указанием на	1	1
563	и самый	2	1
564	доказывает что	1	1
565	воду в	1	1
566	поэтому он	2	1
567	к нему	2	1
568	видную роль	1	1
569	высшей степени	1	1
