N	2gram	Berdyaev_N	Analitik
1	не только	5	71
2	и в	16	66
3	но и	3	57
4	в том	8	52
5	может быть	7	52
6	в этом	7	51
7	как и	7	50
8	и не	11	48
9	а не	17	42
10	том что	2	40
11	так и	2	35
12	в мире	3	31
13	своего рода	1	30
14	не может	16	29
15	а в	2	28
16	в его	1	27
17	и его	1	27
18	не в	6	26
19	но не	2	26
20	в себе	2	24
21	не случайно	1	24
22	что в	9	22
23	и даже	2	22
24	к тому	3	22
25	в этой	1	22
26	лишь в	6	21
27	о том	4	20
28	и т.п	2	20
29	в самом	1	19
30	в своей	3	19
31	с его	6	19
32	но в	2	19
33	в то	2	18
34	с другой	3	17
35	только в	1	17
36	такого рода	2	17
37	могут быть	2	16
38	то что	4	16
39	и на	2	15
40	не есть	3	15
41	уже не	2	15
42	прежде всего	4	15
43	в сущности	1	15
44	не менее	4	14
45	того же	1	14
46	себя в	2	14
47	в отличие	1	14
48	отличие от	1	14
49	по себе	1	13
50	он не	8	13
51	а также	1	13
52	на уровне	2	13
53	и к	5	12
54	никогда не	6	12
55	как это	2	12
56	как в	3	12
57	еще не	3	12
58	в той	1	11
59	по своей	1	11
60	в свою	1	11
61	это не	4	11
62	можно сказать	1	11
63	не с	1	11
64	нуждается в	1	11
65	с одной	2	10
66	в конце	1	10
67	было бы	1	10
68	подобно тому	3	10
69	перед лицом	1	10
70	на себя	1	10
71	говорить о	1	9
72	не столько	1	9
73	другой стороны	2	9
74	и того	1	9
75	одной стороны	2	9
76	том чтобы	2	9
77	в своем	1	9
78	во всех	3	9
79	за пределы	3	9
80	особого рода	1	9
81	вместе с	2	9
82	вступает в	1	9
83	тому как	3	9
84	роль в	2	8
85	не всегда	1	8
86	с ним	1	8
87	нашего времени	2	8
88	и все	4	8
89	что он	1	8
90	в основе	3	8
91	хотя и	2	8
92	времени и	2	8
93	он и	1	8
94	во всяком	1	7
95	времени в	2	7
96	который в	2	7
97	одна из	2	7
98	по природе	1	7
99	по преимуществу	1	7
100	в ее	3	7
101	у него	2	7
102	природе своей	1	7
103	приводит к	1	7
104	всяком случае	1	7
105	и для	4	7
106	все это	5	7
107	в новом	2	7
108	во времени	1	7
109	себя и	1	7
110	место в	2	7
111	как будто	2	7
112	во всем	1	6
113	для всех	1	6
114	одного и	1	6
115	хотя бы	2	6
116	превращается в	1	6
117	из них	1	6
118	не знает	6	6
119	что не	1	6
120	вопроса о	1	6
121	не будет	7	6
122	в силу	1	6
123	в нем	5	6
124	и более	1	6
125	из этих	1	6
126	уже в	1	6
127	есть в	2	6
128	должен быть	5	6
129	все что	1	5
130	которая в	1	5
131	в этих	1	5
132	в них	4	5
133	на смену	1	5
134	тем что	1	5
135	в котором	1	5
136	для того	1	5
137	для себя	1	5
138	в эту	1	5
139	с другими	1	5
140	к жизни	3	5
141	ни в	6	5
142	будто бы	1	5
143	я не	2	5
144	и до	1	5
145	того и	1	5
146	личность в	2	5
147	и потому	4	5
148	с ее	5	5
149	не могут	1	5
150	жизни в	3	5
151	что мы	1	5
152	он в	1	5
153	мы не	2	5
154	с их	2	5
155	это всегда	1	5
156	в глубине	1	5
157	все эти	2	5
158	одну из	1	5
159	и их	1	5
160	нового времени	12	5
161	еще в	1	5
162	такой же	2	5
163	и особенно	1	5
164	с этим	2	4
165	значительной степени	1	4
166	сказать что	3	4
167	жизни как	2	4
168	что она	2	4
169	к нему	1	4
170	не было	4	4
171	в которой	1	4
172	лишь на	1	4
173	в чем	1	4
174	мы уже	1	4
175	и что	2	4
176	этом смысле	2	4
177	известном смысле	1	4
178	и от	2	4
179	и есть	10	4
180	шекспира и	1	4
181	который не	1	4
182	в известном	1	4
183	это и	2	4
184	потому что	4	4
185	того чтобы	2	4
186	не должно	1	4
187	и а	1	4
188	и во	1	4
189	но это	6	4
190	обратиться к	1	4
