N	2gram	Propp_Isto	BTomashe
1	у нас	7	3
2	все это	4	2
3	в ней	3	2
4	можно было	3	2
5	ее задач	1	2
6	не то	2	2
7	больше чем	1	2
8	и не	16	2
9	видеть в	3	2
10	следовало бы	1	1
11	неудивительно что	1	1
12	вопрос о	4	1
13	говорить о	1	1
14	и о	2	1
15	о них	1	1
16	со всем	1	1
17	не только	28	1
18	остановиться на	1	1
19	таким образом	15	1
20	изучение и	1	1
21	не было	2	1
22	в эпоху	1	1
23	прежде всего	3	1
24	бы только	1	1
25	и в	43	1
26	на самом	2	1
27	так и	6	1
28	на которой	3	1
29	в своей	4	1
30	во всяком	2	1
31	и потому	2	1
32	и во	1	1
33	также что	2	1
34	же не	2	1
35	с другой	10	1
36	об этом	8	1
37	как будто	2	1
38	совершенно не	2	1
39	другой стороны	10	1
40	всяком случае	2	1
41	кроме того	1	1
42	было бы	5	1
43	стоит на	3	1
44	не следует	2	1
45	и ее	3	1
46	одной из	1	1
47	в пределах	5	1
48	в данном	7	1
49	более что	1	1
50	должна быть	2	1
51	в области	1	1
52	далеко не	3	1
53	тем более	1	1
54	не вполне	7	1
55	это повторяется	1	1
56	и более	3	1
57	имеющихся в	1	1
58	не все	7	1
59	никак не	1	1
60	в книге	1	1
61	его не	3	1
62	будто бы	1	1
63	также не	1	1
64	а не	13	1
65	отнюдь не	1	1
66	и на	7	1
67	между ними	1	1
68	еще не	15	1
69	нет но	1	1
70	к ней	4	1
71	все же	13	1
72	что в	29	1
