N	4gram	Tiupa_Anal	StatiiOP
1	дело в том что	3	9
2	в то же время	7	9
3	заключается в том что	1	6
4	обращает на себя внимание	1	3
5	воспоминания в царском селе	1	3
6	во всяком случае не	1	3
7	не говоря уже о	1	3
8	в том что он	2	3
9	что во времена пушкина	1	2
10	в каждом отдельном случае	2	2
11	состоит в том что	1	2
12	одних и тех же	2	2
13	том что он не	1	2
14	но с другой стороны	1	2
15	по тем или иным	1	2
16	в той или иной	2	2
17	не в том что	1	2
18	и в том что	1	1
19	отвечает на этот вопрос	1	1
20	дай мне бог сойти	1	1
21	мне бог сойти с	1	1
22	мысль о том что	1	1
23	одни и те же	1	1
24	в устах самого пушкина	1	1
25	бог сойти с ума	1	1
26	и в данном случае	1	1
27	в русской литературе не	1	1
28	достаточно обратить внимание на	1	1
29	идет о том что	1	1
30	относится не только к	1	1
31	речь идет о том	1	1
32	за себя а за	1	1
33	можно сказать что они	1	1
34	в известном смысле и	1	1
35	состоит в том чтобы	1	1
36	или иного из этих	1	1
37	того или иного из	1	1
38	однако с другой стороны	1	1
39	одной и той же	2	1
40	той или иной мере	1	1
41	не за себя а	1	1
42	с другой стороны и	1	1
43	но дело в том	1	1
44	в одной из своих	2	1
45	в каждом из этих	1	1
46	так или иначе в	1	1
47	мы имеем дело с	1	1
48	не дай мне бог	1	1
