N	2gram	Vygotskiy_	KulturaY
1	и т	12	143
2	т п	5	93
3	и в	55	84
4	в том	50	74
5	потому что	48	68
6	не только	24	60
7	точки зрения	15	59
8	в этом	30	57
9	было бы	15	53
10	и не	19	52
11	может быть	34	47
12	что в	43	44
13	том что	46	44
14	того чтобы	43	44
15	т д	6	42
16	в самом	18	41
17	для того	45	41
18	у нас	7	38
19	хотя бы	5	37
20	самом деле	17	37
21	так как	20	36
22	с точки	5	36
23	в области	2	34
24	таким образом	35	33
25	а не	16	33
26	если бы	21	32
27	можно было	6	32
28	не в	12	30
29	в его	8	30
30	прежде всего	6	30
31	все же	11	29
32	не менее	1	28
33	того что	12	28
34	все эти	5	28
35	уже не	1	26
36	в силу	3	26
37	то что	69	25
38	вовсе не	8	25
39	не может	15	25
40	вопрос о	6	24
41	с другой	12	24
42	еще не	6	24
43	то же	16	23
44	с помощью	3	23
45	только в	12	23
46	так и	6	23
47	по себе	13	20
48	во всяком	2	20
49	и что	45	20
50	но и	16	20
51	тем что	8	19
52	о том	24	19
53	речи в	1	19
54	обстоятельство что	2	19
55	что он	30	19
56	зависимости от	9	19
57	что же	1	19
58	всяком случае	1	19
59	но в	7	19
60	то обстоятельство	2	19
61	и с	3	18
62	с тем	10	18
63	к тому	12	18
64	в сущности	14	18
65	в качестве	2	18
66	связи с	2	18
67	между тем	4	18
68	вместе с	16	18
69	как бы	33	18
70	русском языке	1	18
71	все это	8	18
72	в той	3	17
73	другой стороны	8	17
74	как это	16	17
75	что это	15	17
76	слова и	2	17
77	как раз	19	17
78	это не	9	17
79	в виду	5	16
80	в зависимости	7	16
81	что и	11	16
82	что не	5	16
83	тот же	5	16
84	ничего не	4	16
85	в русском	1	16
86	но не	9	16
87	при этом	11	15
88	именно в	9	15
89	в данном	4	15
90	как на	15	15
91	в нашем	3	15
92	русский язык	1	15
93	том чтобы	7	15
94	не было	2	15
95	и тем	6	15
96	один из	9	15
97	по отношению	3	15
98	ни к	1	15
99	целый ряд	5	15
100	только потому	1	15
101	того как	4	15
102	а в	7	15
103	должно быть	6	15
104	в них	7	14
105	и на	12	14
106	сказать что	14	14
107	хотя и	1	14
108	что такое	2	14
109	сих пор	9	14
110	в ней	5	14
111	до сих	9	14
112	если мы	24	14
113	как мы	6	14
114	мы имеем	10	14
115	также и	1	14
116	отношению к	2	14
117	что она	10	13
118	крайней мере	1	13
119	в этой	15	13
120	там где	6	13
121	не могут	4	13
122	в которых	4	13
123	по крайней	1	13
124	той же	6	13
