N	3gram	Propp_Isto	Mirosoze
1	не может быть	4	28
2	в том что	8	9
3	но он не	1	9
4	это и есть	2	9
5	вместе с тем	1	6
6	о том что	3	6
7	до сих пор	7	5
8	и вместе с	1	5
9	что и в	3	5
10	но и в	2	5
11	мы увидим что	2	5
12	после того как	3	5
13	может быть и	1	5
14	что он не	1	4
15	по отношению к	2	4
16	в свою противоположность	1	4
17	на то что	4	4
18	в то время	2	4
19	не что иное	6	4
20	можно было бы	2	4
21	то время как	2	4
22	что иное как	6	4
23	он уже не	1	3
24	она не может	1	3
25	он живет в	1	3
26	у нас все	1	3
27	есть не что	2	3
28	к тому что	1	3
29	и у нас	1	3
30	по сравнению с	2	3
31	и той же	2	3
32	одной и той	2	3
33	и ничего не	1	3
34	так же как	7	3
35	же как и	3	3
36	с тем что	1	3
37	во всяком случае	2	3
38	также и в	1	3
39	как и в	2	3
40	в ином мире	4	2
41	смысле этого слова	3	2
42	не только в	3	2
43	на всю жизнь	1	2
44	бросается в глаза	1	2
45	том что в	2	2
46	в них нет	1	2
47	что не все	1	2
48	и не может	1	2
49	есть один из	1	2
50	но он же	1	2
51	в том смысле	1	2
52	но сам он	1	2
53	тем что он	1	2
54	что в нем	1	2
55	подобно тому как	3	2
56	на землю и	1	2
57	т е в	2	2
58	в иной мир	1	2
59	в этот момент	1	1
60	и в этих	1	1
61	говорят о том	1	1
62	на том что	1	1
63	к нему отношение	1	1
64	на одной и	2	1
65	говорит не только	1	1
66	процесс может быть	1	1
67	указывает на то	1	1
68	вместить в себя	1	1
69	он говорит что	1	1
70	я не знаю	3	1
71	все еще не	1	1
72	отличает его от	1	1
73	как отец и	1	1
74	но они не	1	1
75	вопрос и о	1	1
76	к которой он	1	1
77	в каком это	1	1
78	в центре внимания	1	1
79	в этом нет	1	1
80	друг с другом	2	1
81	он ничего не	2	1
82	в которой она	1	1
83	в зависимости от	1	1
84	он стоит на	1	1
85	не вполне ясным	1	1
86	к этой мысли	1	1
87	роль в жизни	1	1
88	не могла бы	1	1
89	но и не	1	1
90	тех случаях когда	2	1
91	который мнил себя	1	1
92	и в других	3	1
93	было бы назвать	1	1
94	с другой стороны	10	1
95	сына с отцом	1	1
96	но никогда не	1	1
97	и в том	1	1
98	берет на себя	2	1
99	в тех случаях	2	1
100	о себе и	1	1
101	сих пор не	1	1
102	за то что	1	1
103	и могут быть	1	1
104	прежде всего он	1	1
105	в человека и	1	1
106	по своей основной	1	1
107	он должен быть	1	1
108	к ней в	1	1
109	но и это	1	1
110	мы видим в	3	1
111	с точки зрения	1	1
112	с того что	2	1
113	в чем же	1	1
114	с одним из	2	1
115	и действительно в	1	1
116	и в европе	1	1
117	друг друга не	1	1
118	один из моментов	1	1
119	них нет ничего	1	1
120	так и должно	1	1
121	знак того что	1	1
122	хотя и в	1	1
123	потому что мы	1	1
124	не в этом	1	1
125	и не случайно	1	1
126	все те же	1	1
127	между двумя мирами	5	1
128	на самом деле	1	1
129	не означает что	1	1
130	тому как в	1	1
131	так как они	1	1
132	так как нет	1	1
133	делает то же	1	1
134	и к нему	1	1
135	от разрушения и	1	1
136	мы имеем в	4	1
137	во всех этих	1	1
138	указывают на то	1	1
139	было у него	1	1
140	одной стороны он	1	1
141	но и там	1	1
142	с одной стороны	2	1
143	отец и мать	1	1
144	и есть что	1	1
