N	2gram	Losev_Vlad	VerxiiNi
1	и в	56	26
2	таким образом	6	22
3	с тем	4	18
4	в этом	30	15
5	вместе с	9	15
6	точки зрения	4	13
7	как бы	5	12
8	в том	26	11
9	не только	35	10
10	и с	27	10
11	может быть	12	10
12	из этих	5	10
13	после смерти	8	10
14	что в	24	9
15	так как	11	9
16	связи с	7	9
17	но и	26	9
18	в области	3	9
19	в общем	4	8
20	и у	4	8
21	и не	33	8
22	как на	2	8
23	главным образом	5	8
24	с другой	3	8
25	но не	5	8
26	с одной	1	7
27	но все	3	7
28	в эпоху	1	7
29	том что	22	7
30	потому что	16	7
31	одной стороны	1	7
32	а с	5	7
33	то что	30	7
34	но в	19	7
35	из них	3	7
36	к нему	6	7
37	так и	11	6
38	в конце	22	6
39	несмотря на	7	6
40	все это	7	6
41	что и	6	6
42	в отношении	5	6
43	представление о	2	6
44	все эти	6	6
45	все же	11	6
46	к тому	5	6
47	о том	13	6
48	во всяком	8	6
49	и потому	8	6
50	всяком случае	8	6
51	мы должны	3	6
52	в себе	5	6
53	того же	11	6
54	и к	10	5
55	том числе	1	5
56	в его	18	5
57	к жизни	2	5
58	тому же	3	5
59	более или	5	5
60	не имеет	2	5
61	или менее	5	5
62	по крайней	1	5
63	того чтобы	4	5
64	для того	4	5
65	так же	4	5
66	лишь в	3	5
67	отношение к	7	5
68	одной из	2	5
69	образом в	2	5
70	в силу	1	5
71	а не	5	5
72	и для	4	5
73	крайней мере	1	5
74	никогда не	15	5
75	при жизни	4	4
76	в самом	3	4
77	то есть	5	4
78	и по	10	4
79	то же	10	4
80	из которых	1	4
81	только в	11	4
82	в этих	5	4
83	должен был	3	4
84	с другими	1	4
85	целый ряд	1	4
86	учение о	2	4
87	что он	22	4
88	и вместе	1	4
89	в которых	1	4
90	в котором	10	4
91	в течение	13	4
92	и тогда	1	4
93	он не	13	4
94	и что	11	4
95	далеко не	1	4
96	а в	20	4
97	очень мало	2	4
98	в этой	4	4
99	бога и	3	4
