N	4gram	Vygotskiy_	Hudozhes
1	в то же время	2	7
2	состоит в том что	1	4
3	одно и то же	1	3
4	одного и того же	1	3
5	в том числе и	1	2
6	ни в коем случае	1	2
7	и в самом деле	3	2
8	в том что он	1	2
9	бы то ни было	1	2
10	в коем случае не	1	2
11	приводит к тому что	1	2
12	с этой точки зрения	5	2
13	в том и состоит	2	2
14	той мере в какой	1	1
15	чем-то другим и выразить	1	1
16	я думаю а чем-то	1	1
17	а можно только посредственно	1	1
18	сцепление составлено не мыслью	1	1
19	не что иное как	2	1
20	только посредственно словами описывая	1	1
21	посредственно словами описывая образы	1	1
22	заключается в том что	7	1
23	описывая образы действия положения	1	1
24	том и состоит что	1	1
25	этого сцепления непосредственно словами	1	1
26	в той мере в	1	1
27	так же точно и	3	1
28	том и состоит чтобы	1	1
29	в том что она	4	1
30	словами описывая образы действия	1	1
31	думаю а чем-то другим	1	1
32	подход к изучению искусства	1	1
33	но в таком случае	1	1
34	же сцепление составлено не	1	1
35	понимается при этом как	1	1
36	включает в себя и	1	1
37	другим и выразить основу	1	1
38	а с другой стороны	1	1
39	что в основе его	1	1
40	с одной стороны и	1	1
41	составлено не мыслью я	1	1
42	по себе а в	1	1
43	мыслью я думаю а	1	1
44	в том случае если	2	1
45	можно только посредственно словами	1	1
46	нельзя а можно только	1	1
47	одного сознания к другому	1	1
48	не мыслью я думаю	1	1
49	и выразить основу этого	1	1
50	между субъективной и объективной	1	1
51	одним и тем же	1	1
52	одном и том же	1	1
53	выразить основу этого сцепления	1	1
54	основу этого сцепления непосредственно	1	1
55	как бы вбирает в	1	1
56	в связи с этим	1	1
57	в обычной речи и	1	1
58	есть в конечном счете	1	1
59	точно так же как	3	1
60	бы вбирает в себя	1	1
61	а чем-то другим и	1	1
62	в том или ином	1	1
63	от одного сознания к	1	1
64	есть не что иное	1	1
