N	3gram	Losev_Prob	Problemy
1	в то же	4	26
2	с точки зрения	3	25
3	и т п	1	18
4	в этом смысле	8	16
5	на самом деле	6	15
6	не может быть	5	14
7	но в то	1	11
8	в конце концов	11	11
9	до сих пор	6	10
10	в самом деле	4	9
11	с другой стороны	7	9
12	с самого начала	2	9
13	во всяком случае	11	9
14	в том что	7	8
15	в его целом	1	8
16	и не может	1	8
17	сама по себе	6	7
18	и в то	1	7
19	как раз и	11	7
20	бы то ни	2	7
21	к нему и	1	7
22	и т д	12	7
23	и в этом	5	7
24	между тем как	1	6
25	в той или	1	5
26	хотя бы и	3	5
27	сам по себе	7	5
28	в зависимости от	1	5
29	к тому же	1	5
30	той или иной	5	5
31	по крайней мере	8	5
32	но все же	1	5
33	подобно тому как	2	5
34	можно было бы	4	5
35	к тому чтобы	1	4
36	он не может	1	4
37	тем не менее	25	4
38	друг на друга	1	4
39	сами по себе	5	4
40	так и в	2	4
41	а между тем	1	4
42	более или менее	7	4
43	само по себе	1	4
44	как мы сказали	1	4
45	как нам кажется	1	4
46	то что было	1	4
47	что может быть	3	4
48	может быть даже	2	4
49	о том что	16	4
50	как и в	1	4
51	в этом отношении	2	4
52	хотя и не	2	4
53	что в нем	4	4
54	а вовсе не	1	4
55	может быть и	5	4
56	друг к другу	2	4
57	это не значит	1	3
58	что она не	1	3
59	никак не может	3	3
60	в братьях карамазовых	1	3
61	можно сказать что	6	3
62	а может быть	3	3
63	потому что она	1	3
64	и то же	1	3
65	как мы уже	2	3
66	в настоящее время	17	3
67	в данном случае	10	3
68	и в других	3	3
69	не только не	4	3
70	выходит за пределы	1	3
71	это вовсе не	2	3
72	того что он	1	3
73	в том и	1	3
74	на то что	12	3
75	в обычном смысле	1	3
76	именно тем что	1	3
77	и в самом	2	3
78	но и не	2	3
79	того и другого	1	3
80	как мы видели	1	3
81	одно и то	1	3
82	и это не	1	3
83	в этом случае	6	3
84	в то время	2	3
85	как мы увидим	2	3
86	тем что он	2	3
87	то время как	2	3
88	нам кажется что	1	3
89	как будто бы	4	2
90	остановимся только на	1	2
91	что же это	1	2
92	и в этих	1	2
93	то что он	3	2
94	в себе все	2	2
95	и в другом	1	2
96	того или другого	2	2
97	что же тут	1	2
98	в том же	1	2
99	для того чтобы	9	2
100	что все это	1	2
101	никогда не может	2	2
102	дело в том	3	2
103	но тем не	1	2
104	перед нами в	2	2
105	друг от друга	1	2
106	тот же самый	1	2
107	мы можем сказать	1	2
108	вместе с тем	2	2
109	записках из подполья	1	2
110	в том или	1	2
111	до настоящего времени	1	2
112	мы без труда	1	2
113	в записках из	1	2
114	по себе и	2	2
115	по себе но	3	2
116	а не в	1	2
117	то же самое	9	2
118	на этот раз	2	2
119	к тому что	1	2
120	только то что	6	2
