N	2gram	Ircho_Kome	VelikijI
1	и не	19	20
2	и в	40	16
3	так как	6	9
4	то что	8	9
5	в истории	10	8
6	еще не	7	8
7	и потому	1	7
8	что они	4	7
9	а не	1	7
10	к людям	2	6
11	хотя и	6	5
12	того что	1	5
13	все это	7	5
14	ты не	1	5
15	как бы	3	5
16	на себя	5	5
17	в мире	3	5
18	но и	14	5
19	все что	3	4
20	в котором	6	4
21	в этом	9	4
22	потому что	8	4
23	в его	8	4
24	в ней	2	4
25	так и	17	4
26	это еще	2	4
27	говорить о	3	4
28	мира сего	1	4
29	и все	4	4
30	что не	1	4
31	в образе	4	4
32	что все	1	4
33	как и	12	4
34	что он	11	4
35	и я	2	4
36	в нем	8	4
37	во всех	4	3
38	что в	12	3
39	бы и	1	3
40	и против	1	3
41	за ним	2	3
42	то это	3	3
43	в конце	7	3
44	если не	1	3
45	хотя бы	2	3
46	в том	19	3
47	любовь к	1	3
48	тому что	4	3
49	от которого	1	3
50	не в	8	3
51	и что	2	3
52	что и	10	3
53	же ты	1	3
54	ни в	9	3
55	превращается в	1	3
56	в этих	5	3
57	в них	7	3
58	не было	1	3
59	что во	1	3
60	и будет	1	3
61	в жизни	1	3
62	и они	1	3
63	их в	1	3
64	в своей	3	3
65	с его	4	3
66	от этого	2	3
67	не имеет	1	3
68	но это	2	3
69	и для	4	3
70	жизни и	4	3
71	в чем	3	3
72	все эти	1	3
73	тот же	5	3
74	но в	6	3
75	к тому	15	3
76	за то	4	3
77	все тот	1	2
78	чтобы сделать	1	2
79	всего в	5	2
80	государства и	2	2
81	во всяком	4	2
82	от него	1	2
83	что теперь	1	2
84	материалом для	1	2
85	уже на	1	2
86	а к	2	2
87	один из	9	2
88	эти люди	2	2
89	мы и	1	2
90	не могли	2	2
91	в последнем	1	2
92	они и	1	2
93	которым можно	1	2
94	более чем	4	2
95	на том	1	2
96	ли ты	1	2
97	его не	1	2
98	не так	1	2
99	того чтобы	4	2
100	это не	2	2
101	земли и	2	2
102	между тем	9	2
103	не только	12	2
104	для него	1	2
105	и тогда	1	2
106	с ним	1	2
107	является в	1	2
108	которой они	1	2
