N	2gram	Medvedev_I	Analitik
1	и в	1	66
2	в этом	2	51
3	и не	2	48
4	так и	1	35
5	а в	1	28
6	не случайно	1	24
7	что в	2	22
8	по отношению	1	19
9	отношению к	1	18
10	с другой	1	17
11	в целом	1	17
12	того же	1	14
13	себя в	1	14
14	он не	2	13
15	ничего не	2	13
16	для него	1	13
17	а также	1	13
18	и сам	1	12
19	никогда не	1	12
20	говорить о	1	9
21	другой стороны	1	9
22	по поводу	1	9
23	автора и	1	9
24	того что	1	9
25	если бы	1	8
26	в основе	1	8
27	все это	1	7
28	вплоть до	1	7
29	более чем	1	6
30	должен быть	2	6
31	не так	1	5
32	в них	1	5
33	тем что	1	5
34	для того	1	5
35	в эту	1	5
36	я не	1	5
37	а с	1	5
38	как о	1	5
39	в художественном	1	5
40	как смерть	1	5
41	все эти	1	5
42	бы в	1	4
43	того чтобы	1	4
44	в значительной	1	4
45	и о	1	4
46	с героем	1	3
47	и с	3	3
48	только для	1	3
49	это было	1	3
50	у и	1	3
51	на котором	1	3
52	очевидно что	1	3
53	а для	1	3
54	и тот	1	3
55	тех же	1	3
56	о жизни	1	3
57	и без	1	3
58	пушкина и	1	3
59	жизни и	1	3
60	такого знания	1	2
61	другое дело	1	2
62	было не	1	2
63	что при	1	2
64	то она	1	2
65	не остается	1	2
66	могло бы	1	2
67	и та	1	2
68	и др	1	2
69	них не	1	2
70	художественного творчества	1	2
71	со всеми	1	2
72	произведения и	1	2
73	по существу	1	2
74	то и	1	2
75	у всех	1	2
76	стало быть	1	2
77	бы столь	1	1
78	только что	1	1
79	самого себя	2	1
80	первую очередь	1	1
81	что последний	1	1
82	эпизод с	1	1
83	в первую	1	1
84	точно и	1	1
85	художественном творчестве	1	1
86	и еще	1	1
87	следующим образом	1	1
88	о ней	1	1
89	та и	1	1
90	все четыре	1	1
91	оказывается для	1	1
92	к отцу	1	1
93	с жизнью	1	1
94	но когда	1	1
95	и смыслы	1	1
96	от этого	1	1
97	при такой	1	1
98	что для	1	1
99	его личности	1	1
100	как отец	1	1
101	от нее	1	1
102	теперь я	1	1
103	автор и	1	1
104	не слишком	1	1
105	а если	1	1
106	с а	1	1
107	оба они	2	1
108	а позднее	1	1
109	с литературными	1	1
110	неудивительно что	1	1
111	нисколько не	1	1
112	ибо и	1	1
113	а по	1	1
114	он с	1	1
