N	2gram	Tiupa_Narr	Sotsiolo
1	все это	1	7
2	в том	20	5
3	в этом	23	5
4	не только	50	3
5	как же	1	3
6	не в	12	3
7	и в	22	3
8	и только	2	3
9	но ведь	1	3
10	более чем	2	3
11	в его	12	3
12	для нас	2	3
13	их между	1	2
14	что в	6	2
15	то что	14	2
16	таким образом	5	2
17	том что	15	2
18	или даже	3	2
19	дело не	3	2
20	как бы	11	2
21	в результате	4	2
22	было бы	2	2
23	как будто	4	2
24	очевидно что	1	2
25	в частности	23	2
26	и мы	1	2
27	по природе	1	2
28	нужно было	1	2
29	но и	39	2
30	может быть	24	2
31	она может	2	2
32	главным образом	1	2
33	и что	1	2
34	это и	2	2
35	исторической жизни	1	2
36	им не	1	2
37	за пределы	1	2
38	по отношению	5	2
39	в конце	4	2
40	отношению к	5	2
41	должна быть	2	2
42	далеко не	6	2
43	тем более	2	2
44	только в	23	2
45	к которому	1	2
46	то же	12	2
47	еще не	6	2
48	система не	1	1
49	базируются на	1	1
50	как то	1	1
51	а в	19	1
52	что он	7	1
53	автор с	1	1
54	в конечном	6	1
55	столь же	6	1
56	даже в	1	1
57	быть не	3	1
58	в целом	5	1
59	в силу	5	1
60	на этот	2	1
61	более не	3	1
62	все эти	3	1
63	не один	1	1
64	настаивает на	1	1
65	не было	3	1
66	представить себе	3	1
67	сказать и	1	1
68	связи с	3	1
69	словесного творчества	1	1
70	кто не	1	1
71	только то	1	1
72	в своей	8	1
73	во всяком	2	1
74	в мире	8	1
75	том именно	1	1
76	и потому	2	1
77	все же	10	1
78	что это	4	1
79	или не	5	1
80	еще и	1	1
81	от друга	1	1
82	по крайней	1	1
83	с другой	6	1
84	мы должны	1	1
85	а тем	1	1
86	результате его	1	1
87	с ним	6	1
88	противном случае	1	1
89	между тем	5	1
90	и более	2	1
91	но как	3	1
92	строгом значении	2	1
93	в этой	8	1
94	и его	12	1
95	опираясь на	1	1
96	быть для	1	1
97	только когда	1	1
98	это по	1	1
99	ли не	3	1
100	никак не	5	1
101	в данном	17	1
102	легко но	1	1
103	в области	4	1
104	и по	3	1
105	с помощью	2	1
106	же самое	3	1
107	этом не	1	1
108	один из	8	1
109	так и	12	1
110	в противном	1	1
111	в то	9	1
112	полагает что	1	1
113	вопрос автор	1	1
114	может не	1	1
115	в котором	3	1
116	именно на	1	1
117	между собой	3	1
118	него и	1	1
119	произведение как	1	1
120	творчества это	1	1
121	отнюдь не	6	1
122	и не	34	1
123	со своими	3	1
124	но она	1	1
125	всяком случае	2	1
126	эти два	2	1
127	иначе говоря	14	1
128	хотелось бы	1	1
129	том как	3	1
130	и о	4	1
131	это вовсе	1	1
132	вступает в	2	1
133	но не	7	1
134	может служить	5	1
135	они не	3	1
136	невозможно ни	1	1
137	в него	2	1
138	благодаря этому	1	1
139	для этого	1	1
140	их друг	1	1
141	прежде всего	7	1
142	тем что	1	1
143	что она	3	1
144	тем же	3	1
145	в строгом	3	1
146	и благодаря	1	1
147	искусство слова	1	1
148	друг от	1	1
149	в чем	3	1
150	не из	1	1
151	на основании	1	1
152	что автор	1	1
153	субъект может	1	1
154	а с	2	1
155	мы еще	1	1
156	упрощенно говоря	1	1
157	это происходит	1	1
158	тех кто	1	1
159	в сущности	2	1
160	конечном счете	4	1
161	он говорит	1	1
162	его в	1	1
163	понимаем всю	1	1
164	не от	1	1
165	зависит от	3	1
166	крайней мере	1	1
167	в процессе	2	1
168	новое и	2	1
169	вовсе не	2	1
170	даже не	1	1
171	с одной	5	1
172	и наконец	2	1
173	возможность именно	1	1
174	о том	5	1
175	мы не	5	1
176	тому что	4	1
177	но именно	3	1
178	в этих	3	1
179	у него	13	1
180	по себе	4	1
181	на первый	1	1
182	перед нами	9	1
183	хотя бы	4	1
184	же время	7	1
185	наконец в	1	1
186	что на	4	1
187	это не	6	1
188	одной стороны	5	1
189	в связи	3	1
190	бы в	2	1
191	стало быть	4	1
192	в виде	2	1
193	именно в	5	1
194	никогда не	8	1
195	и есть	1	1
196	не может	16	1
197	между ними	3	1
198	и как	4	1
199	что все	1	1
200	место в	3	1
201	как и	15	1
202	сколь и	1	1
203	ничего не	8	1
204	но стоит	1	1
