N	4gram	Bakhtin_Pr	DiskursI
1	в то же время	13	8
2	с одной стороны и	1	5
3	дело в том что	1	5
4	в том числе и	1	3
5	и не может быть	1	2
6	а в том что	1	2
7	и в то же	2	2
8	бы то ни было	2	2
9	то же время и	1	2
10	именно в том что	1	1
11	в том и в	1	1
12	с точки зрения автора	1	1
13	и в том и	1	1
14	и до настоящего времени	1	1
15	том и в другом	1	1
16	большей или меньшей степени	2	1
17	но в большинстве случаев	1	1
18	в той или иной	1	1
19	в большей или меньшей	2	1
20	иметь в виду что	1	1
21	но в отличие от	1	1
22	тем не менее в	1	1
23	и в другом случае	1	1
24	заключается в том что	1	1
25	по мере того как	1	1
26	но в таком случае	1	1
27	в том что он	4	1
28	в своем собственном мире	1	1
29	ставил и решал в	1	1
30	начала и до конца	2	1
31	во всех его разновидностях	1	1
32	из уст в уста	1	1
33	не в том что	1	1
34	подобно тому как в	1	1
35	и каждый из них	1	1
