N	2gram	Trubetskoy	Hudozhes
1	в качестве	3	31
2	то есть	1	26
3	в мире	4	24
4	и в	14	23
5	не только	9	20
6	состоит в	2	20
7	в том	17	20
8	при этом	5	19
9	может быть	9	19
10	в частности	2	18
11	и не	19	16
12	тогда как	2	15
13	но и	10	14
14	а не	2	13
15	но не	4	13
16	а в	5	13
17	в себе	9	13
18	в этом	17	12
19	то же	11	12
20	так и	1	12
21	сводится к	3	11
22	как бы	4	11
23	точки зрения	11	11
24	в его	4	11
25	по отношению	2	10
26	но в	2	10
27	отношению к	1	10
28	или иной	5	9
29	том что	9	9
30	с другой	1	9
31	не в	4	9
32	не может	22	9
33	в принципе	1	8
34	себя в	4	8
35	в области	2	8
36	в то	10	8
37	что в	4	7
38	в самом	3	7
39	только в	5	7
40	в своей	5	7
41	в основе	1	7
42	же время	10	7
43	не столько	1	7
44	как это	1	7
45	по своей	1	7
46	лишь в	3	7
47	в состав	1	6
48	более или	4	6
49	приводит к	4	6
50	уже не	2	6
51	можно сказать	1	6
52	с ее	1	6
53	в ее	1	6
54	или менее	4	6
55	в нем	5	6
56	ни в	2	5
57	не на	1	5
58	что он	6	5
59	не менее	1	5
60	не является	1	5
61	того чтобы	8	5
62	для того	6	5
63	со стороны	4	5
64	иначе говоря	1	5
65	для него	6	5
66	того что	3	5
67	прежде всего	8	5
68	с другими	1	5
69	в их	4	5
70	а на	1	5
71	той или	3	5
72	самим собой	12	5
73	тем самым	2	5
74	то что	13	5
75	могут быть	1	5
76	место в	2	5
77	для себя	2	4
78	по пути	1	4
79	не следует	1	4
80	отношения к	2	4
81	еще не	3	4
82	в данном	7	4
83	входит в	1	4
84	в другом	3	4
85	говорить о	3	4
86	и т.д	4	4
87	к которому	1	4
88	в своем	6	4
89	к тому	7	4
90	на почве	2	4
91	и то	4	4
92	это не	1	4
93	его в	4	4
94	деятельности в	1	4
95	и как	3	4
96	в этих	2	4
97	в себя	1	4
98	а только	1	4
99	того или	2	4
100	между тем	5	4
101	он не	5	4
102	и тем	2	4
103	и что	2	4
104	со своей	1	4
105	и о	2	4
106	в силу	2	4
107	или иного	2	4
108	и к	6	3
109	на деле	1	3
110	человеческой жизни	1	3
111	и на	5	3
112	с этой	1	3
113	даже в	1	3
114	была бы	1	3
115	однако при	1	3
116	если бы	6	3
117	в жизни	1	3
118	как и	4	3
119	к его	1	3
120	их в	2	3
121	себя и	5	3
122	тем не	1	3
123	культуры в	3	3
124	следует подчеркнуть	1	3
125	и того	1	3
126	и состоит	2	3
127	к нему	2	3
128	потому что	5	3
129	отношении к	2	3
130	известной степени	1	3
131	мог бы	1	3
132	это отношение	1	3
133	и внешней	1	3
134	из этих	3	3
135	и для	6	3
136	он должен	5	3
137	таким образом	11	3
138	человека к	1	3
139	в единое	2	3
140	том числе	1	3
141	с точки	9	3
142	связи с	3	3
143	в таком	2	3
144	в связи	1	3
145	или даже	1	3
146	по своему	1	3
147	во всех	5	3
148	однако если	1	3
149	личности и	1	3
150	в свою	1	3
151	в которой	1	3
152	не будет	7	3
153	говоря о	2	3
154	того же	1	3
155	человека с	1	3
156	тот или	1	3
157	одного и	1	3
158	и прежде	1	3
159	чем и	1	3
160	один из	1	2
161	с ним	2	2
162	из которых	5	2
163	не признает	1	2
164	том и	2	2
165	по себе	2	2
166	самом деле	7	2
167	заключается в	1	2
168	на свою	1	2
169	все эти	2	2
170	именно в	3	2
171	в порядке	2	2
172	значительной степени	1	2
173	из тех	1	2
174	с ними	1	2
175	в одно	1	2
176	роль в	1	2
177	бы не	1	2
178	жизни в	5	2
179	отличается от	2	2
180	вследствие этого	1	2
181	своей жизни	1	2
182	о том	7	2
183	свою очередь	1	2
184	это и	1	2
185	еще и	1	2
186	ни к	7	2
187	при условии	3	2
188	между собой	5	2
189	не всегда	1	2
190	воздействия на	1	2
191	не могло	1	2
192	или иных	1	2
193	речь идет	2	2
194	и это	1	2
195	превращается в	1	2
196	так же	2	2
197	об этом	1	2
198	должен быть	1	2
199	с самим	2	2
200	если мы	1	2
201	может оказаться	1	2
202	личности к	1	2
203	одна из	3	2
204	этого слова	1	2
205	до известной	1	2
206	в противном	1	2
207	не просто	2	2
208	в самой	1	2
209	никогда не	5	2
210	и по	3	2
211	жизни но	1	2
212	бы то	4	2
213	то в	3	2
214	при котором	3	2
215	но на	1	2
216	одной из	3	2
217	несмотря на	3	2
218	ни было	1	2
219	внутренней и	1	2
220	что такое	2	2
221	ее в	2	2
222	все это	6	2
223	что и	3	2
224	духовной культуры	1	2
225	у него	2	2
226	или в	3	2
227	и некоторые	1	2
228	и более	2	2
229	каждая из	1	2
230	сама по	2	2
231	тому что	2	2
232	случае не	1	2
233	противном случае	1	2
234	в сторону	1	2
235	вовсе не	1	2
236	тем более	1	2
237	и потому	3	2
238	о себе	1	2
239	но как	1	2
240	а с	2	2
241	данный момент	1	2
242	единое целое	1	2
243	то ни	4	2
244	в значительной	3	2
245	быть и	2	2
246	к такой	1	2
247	но она	2	2
248	другим и	1	2
249	но только	1	2
250	от своего	1	2
251	идет о	1	2
252	могла бы	1	2
253	в этой	4	2
254	числе и	1	2
255	что может	3	2
256	тот кто	1	2
257	столь же	1	2
258	общественном сознании	1	2
259	из этого	3	2
260	тех или	1	2
261	отнюдь не	7	2
262	принципиальное отличие	1	2
263	культура есть	1	1
264	к такому	2	1
265	том чем	1	1
266	от него	2	1
267	однако и	1	1
268	никак нельзя	1	1
269	все что	4	1
270	для всех	6	1
271	узко и	1	1
272	за ним	1	1
273	и конечно	1	1
274	же и	1	1
275	практически не	1	1
276	если в	6	1
277	которая в	1	1
278	в такое	1	1
279	на ее	1	1
280	с собственным	1	1
281	можно назвать	1	1
282	вопросу о	3	1
283	эту ценность	1	1
284	не всякий	1	1
285	означала бы	1	1
286	что это	3	1
287	от нас	2	1
288	в сущности	1	1
289	меру его	2	1
290	привести к	1	1
291	те же	1	1
292	в область	1	1
293	одному из	2	1
294	по образцу	1	1
295	схемы и	1	1
296	о целесообразности	1	1
297	особенно если	1	1
298	в результате	2	1
299	быть может	1	1
300	противоречие с	2	1
301	не могут	4	1
302	для данного	1	1
303	или для	1	1
304	чтобы в	2	1
305	и даже	2	1
306	если не	2	1
307	в собственном	1	1
308	различных людей	1	1
309	а во-вторых	2	1
310	также может	1	1
311	русского языка	1	1
312	мысль о	1	1
313	в новую	1	1
314	к каким	1	1
315	отношение человека	1	1
316	тем что	3	1
317	из всего	1	1
318	и будет	1	1
319	и действительно	1	1
320	если он	1	1
321	принадлежат к	2	1
322	видно из	1	1
323	к самому	1	1
324	общими для	1	1
325	и внутренне	1	1
326	что по	1	1
327	тому назад	1	1
328	вместе с	4	1
329	все же	4	1
330	быть назван	1	1
331	участвовать в	1	1
332	без ее	1	1
333	только для	2	1
334	да и	3	1
335	существующая в	1	1
336	однако это	1	1
337	о котором	3	1
338	себя не	1	1
339	друг от	2	1
340	но мы	3	1
341	искусство и	1	1
342	на первый	1	1
343	этом состоит	1	1
