N	3gram	Losev_Dial	EvropaiE
1	с точки зрения	18	16
2	в то же	7	15
3	то же время	8	14
4	в отношении к	1	12
5	и в то	3	8
6	с одной стороны	3	8
7	в том что	12	6
8	одной стороны и	3	6
9	так же как	1	5
10	для того чтобы	1	5
11	той или иной	4	4
12	само по себе	7	4
13	не только в	2	4
14	и в этом	4	4
15	друг с другом	2	3
16	в той или	3	3
17	можно было бы	4	3
18	в этом смысле	4	3
19	в некотором смысле	1	3
20	же как и	1	3
21	как бы ни	2	3
22	ту или иную	1	3
23	между тем в	1	3
24	не является ли	1	3
25	во всяком случае	3	3
26	можно сказать что	6	3
27	в этом отношении	2	3
28	сказать что в	1	2
29	и в частности	4	2
30	того что в	1	2
31	мы можем сказать	3	2
32	но в то	1	2
33	не может быть	4	2
34	на то что	4	2
35	в данном случае	1	2
36	по себе не	7	2
37	по сравнению с	2	2
38	хотя бы в	1	2
39	имеет место в	1	2
40	только в том	1	2
41	друг от друга	1	2
42	с другой стороны	7	2
43	из того что	1	2
44	или хотя бы	2	2
45	не говоря уже	1	2
46	во многих отношениях	1	1
47	и т д	28	1
48	говорить не о	1	1
49	хотя и не	1	1
50	как это мы	2	1
51	и неизвестно в	1	1
52	нельзя сказать чтобы	1	1
53	по самой природе	1	1
54	она никогда не	1	1
55	ли это что	2	1
56	и не только	4	1
57	можно представить себе	2	1
58	же время совершенно	1	1
59	если бы они	1	1
60	есть ли это	1	1
61	другой стороны в	1	1
62	и та же	5	1
63	и не быть	1	1
64	и с точки	1	1
65	и в некотором	1	1
66	т е не	1	1
67	дело в том	1	1
68	а именно в	1	1
69	вовсе не обязательно	2	1
70	быть уверенным что	1	1
71	это может быть	1	1
72	большей или меньшей	1	1
73	и когда мы	1	1
74	речь идет о	1	1
75	то или иное	4	1
76	он сам в	1	1
77	к тому что	3	1
78	но и в	1	1
79	мы отнюдь не	1	1
80	том смысле что	3	1
81	можем сказать что	3	1
82	в полной мере	1	1
83	вопрос можно ли	1	1
84	тех или иных	1	1
85	и далее в	1	1
86	то время как	2	1
87	во власти этого	1	1
88	есть то что	1	1
89	во всех этих	1	1
90	в том смысле	4	1
91	это мы видим	1	1
92	значит ли это	2	1
93	уже и сейчас	1	1
94	несмотря на то	2	1
95	е прежде всего	5	1
96	и то и	3	1
97	то что с	1	1
98	можно быть уверенным	1	1
99	и в отношении	1	1
100	по большей части	1	1
101	не могут быть	1	1
102	не есть ли	2	1
103	то и другое	3	1
104	не может не	1	1
105	в каком смысле	1	1
106	не входя в	1	1
107	но также и	1	1
108	что же касается	1	1
109	вовсе не в	3	1
110	в связи с	3	1
111	и не в	1	1
112	нужно понимать буквально	1	1
113	было бы совершенно	1	1
114	в последнем случае	1	1
115	та или иная	4	1
116	он мог бы	1	1
117	не обязательно чтобы	1	1
118	это значит что	16	1
119	т е прежде	5	1
120	во внимание что	1	1
121	в нем и	2	1
122	говорить о том	1	1
123	воды и земли	1	1
124	связи с этим	2	1
125	говоря уже о	1	1
126	в то время	2	1
127	бы ни была	1	1
128	только тогда когда	4	1
129	более или менее	5	1
130	в качестве примера	2	1
131	но так как	1	1
132	но от этого	1	1
133	и во многих	1	1
134	и поэтому если	1	1
135	тех и других	1	1
136	к тому же	2	1
137	одна и та	5	1
138	при известных условиях	1	1
139	может быть и	6	1
140	друг к другу	2	1
