N	3gram	Tiupa_Vved	Otkroven
1	для того чтобы	1	3
2	в этом мире	1	2
3	а не в	1	2
4	никогда не было	1	2
5	как и все	1	2
6	не может быть	6	2
7	но и в	3	2
8	и в этом	1	2
9	в самом начале	1	1
10	хотя и не	2	1
11	так и не	4	1
12	о том что	6	1
13	в том что	10	1
14	не в том	3	1
15	вместо того чтоб	1	1
16	с того ни	1	1
17	утра до вечера	1	1
18	ни с сего	1	1
19	на людей и	1	1
20	и он не	1	1
21	бы и не	2	1
22	как и в	2	1
23	и все же	6	1
24	в самом деле	2	1
25	как будто бы	3	1
26	во всяком случае	3	1
27	с утра до	1	1
28	изнутри а не	1	1
29	и в самом	1	1
30	искать ключ к	1	1
31	как бы в	2	1
32	вместо того чтобы	1	1
33	о том как	1	1
34	и в которую	1	1
35	само по себе	1	1
36	и прежде всего	1	1
37	в этом отношении	7	1
38	ни с того	1	1
39	по сравнению с	1	1
40	а не только	1	1
41	на то что	2	1
42	должен был бы	1	1
43	по природе своей	2	1
44	заключает в себе	4	1
45	прежде всего в	1	1
46	что есть на	1	1
47	того ни с	1	1
48	не было и	2	1
49	говорят о том	1	1
50	и не может	1	1
