N	2gram	Medvedev_I	Problema
1	и в	1	182
2	и не	2	152
3	в этом	2	88
4	так и	1	56
5	что в	2	44
6	все эти	1	43
7	того что	1	37
8	и с	3	34
9	все это	1	31
10	с другой	1	30
11	а в	1	28
12	есть только	1	28
13	и о	1	28
14	ничего не	2	27
15	другой стороны	1	26
16	то и	1	23
17	никогда не	1	22
18	говорить о	1	21
19	а также	1	21
20	и без	1	21
21	для того	1	20
22	тем что	1	20
23	как о	1	20
24	в них	1	19
25	он не	2	19
26	если бы	1	19
27	жизни и	1	19
28	того же	1	18
29	того чтобы	1	18
30	и сам	1	15
31	не так	1	14
32	и очень	1	12
33	нисколько не	1	12
34	в целом	1	12
35	по поводу	1	11
36	что для	1	10
37	художественного творчества	1	10
38	со всеми	1	10
39	в художественном	1	9
40	только для	1	9
41	бы в	1	9
42	это было	1	9
43	только что	1	8
44	что при	1	8
45	от этого	1	8
46	вплоть до	1	8
47	как только	1	8
48	а если	1	8
49	для него	1	8
50	в значительной	1	7
51	а с	1	7
52	же это	1	7
53	значительной мере	1	7
54	в основе	1	7
55	но когда	1	6
56	самого себя	2	6
57	и ничего	1	6
58	по существу	1	6
59	другое дело	1	5
60	и еще	1	5
61	я не	1	5
62	и тот	1	5
63	первую очередь	1	5
64	нам в	1	5
65	в первую	1	5
66	себя в	1	5
67	бы его	1	5
68	без этого	1	5
69	на котором	1	4
70	бы что	2	4
71	в эту	1	4
72	пушкина и	1	4
73	от нее	1	4
74	он с	1	4
75	должен быть	2	4
76	могло бы	1	4
77	и др	1	4
78	а для	1	3
79	них не	1	3
80	и та	1	3
81	это был	1	3
82	многое другое	1	3
83	введение в	1	3
84	так то	1	3
85	о ней	1	3
86	видит в	1	3
87	следовательно в	1	3
88	кто иной	1	2
89	его произведения	1	2
90	слишком много	1	2
91	при такой	1	2
92	не случайно	1	2
93	преступления и	1	2
94	иной как	1	2
95	по отношению	1	2
96	и и	1	2
97	творчества то	1	2
98	из подполья	1	2
99	и со	1	2
100	доказать что	1	2
101	во многом	1	2
102	бы все	1	2
103	было не	1	2
104	точно и	1	2
105	не кто	1	2
106	не дает	1	2
107	а по	1	2
108	утверждает что	1	2
109	к нам	1	2
110	и идей	1	2
111	произведения и	1	2
112	то она	1	2
113	стороны он	1	2
114	жил в	1	2
115	отношению к	1	2
116	с голядкиным	1	1
117	своего исследования	1	1
118	и занимается	1	1
119	у и	1	1
120	этого все	1	1
121	этим и	1	1
122	стали бы	1	1
123	не остается	1	1
124	с жизнью	1	1
125	не заставлял	1	1
126	и оскорбленных	1	1
127	стр а	3	1
128	дает и	1	1
129	странное и	1	1
130	и многое	1	1
131	с любым	1	1
132	униженных и	1	1
133	был человек	1	1
134	и творчества	1	1
135	случайно его	1	1
136	следующим образом	1	1
137	же писатель	1	1
138	и творческую	1	1
139	имеется то	1	1
140	нечто и	1	1
141	только общее	1	1
142	оба они	2	1
143	ничего в	1	1
144	тех же	1	1
145	автора и	1	1
146	эти произведения	1	1
147	нее и	1	1
148	и гоголя	1	1
149	в руки	1	1
150	стало быть	1	1
151	и создавал	1	1
152	писателя а	1	1
153	бы всю	1	1
