N	2gram	Vygotskiy_	Vvedenie
1	и т	19	45
2	т д	6	39
3	в том	46	38
4	в этом	37	35
5	и в	65	35
6	может быть	33	30
7	том что	28	30
8	не только	16	26
9	для того	18	23
10	того чтобы	21	22
11	таким образом	21	21
12	также и	1	20
13	не может	17	19
14	то что	61	19
15	потому что	26	18
16	только в	9	16
17	со стороны	4	16
18	о том	17	16
19	так как	13	15
20	представляет собой	3	14
21	в общем	4	14
22	что в	36	13
23	в самом	41	13
24	и именно	1	13
25	и не	20	13
26	в нем	8	13
27	в его	11	12
28	того что	9	12
29	в их	3	12
30	точки зрения	19	12
31	что такое	2	12
32	как на	9	12
33	то же	17	11
34	в ее	9	11
35	по себе	5	11
36	в данном	5	11
37	ясно что	11	11
38	как мы	12	11
39	прежде всего	2	10
40	не в	12	10
41	между тем	10	10
42	в той	8	10
43	уже и	1	10
44	но в	5	10
45	дело с	5	9
46	представляют собой	3	9
47	смысле этого	5	9
48	все же	10	9
49	этого рода	1	9
50	из этих	6	9
51	но не	3	9
52	и как	10	9
53	не менее	1	9
54	в истории	3	9
55	это не	7	8
56	в качестве	2	8
57	именно в	3	8
58	о котором	5	8
59	а только	1	8
60	можно было	7	8
61	с другой	8	8
62	представить себе	2	7
63	и то	10	7
64	до сих	7	7
65	в применении	1	7
66	к выводу	1	7
67	как и	12	7
68	самом деле	33	7
69	но и	6	7
70	выводу что	1	7
71	не трудно	1	7
72	сих пор	6	7
73	было бы	22	7
74	только как	2	7
75	этот вопрос	5	7
76	как бы	29	7
77	один из	7	6
78	на вопрос	1	6
79	об этом	4	6
80	этом случае	1	6
81	все это	12	6
82	не могут	2	6
83	его в	5	6
84	на этот	2	6
85	тем что	7	6
86	с тем	14	6
87	в какой	8	6
88	а именно	1	6
89	вместе с	10	6
90	в которых	9	6
91	и это	13	6
92	так например	5	6
93	вовсе не	11	6
94	уже не	2	6
95	мере в	1	6
96	применении к	1	6
97	и даже	4	6
98	хотя бы	3	6
99	нельзя не	2	6
100	каждой из	1	6
101	и что	29	6
102	как он	2	6
103	сказать что	14	6
104	том чтобы	2	6
105	но если	6	6
106	и его	8	6
107	в то	5	6
108	а в	9	6
109	иное как	1	6
110	смотреть на	1	5
111	уже в	1	5
112	внимание на	4	5
113	с этой	5	5
114	хотя и	1	5
115	что и	7	5
116	в виду	6	5
117	другой стороны	5	5
118	в них	4	5
119	но с	2	5
120	в первом	3	5
121	одним из	2	5
122	дело в	1	5
123	что не	5	5
124	имеет дело	2	5
125	не есть	1	5
126	при том	2	5
127	что он	23	5
128	что иное	1	5
129	одно из	4	5
130	от этого	4	5
131	по своему	6	5
132	данном случае	5	5
133	во всяком	6	5
134	в течение	5	5
135	так что	10	5
136	и тем	4	5
137	а не	11	5
138	говорить о	3	5
139	есть и	1	5
140	дело не	3	5
141	на основании	2	5
142	не что	1	5
143	т п	7	5
144	а как	1	5
145	независимо от	2	5
146	не просто	7	5
147	в целом	8	5
148	как это	13	5
149	есть не	2	5
150	всяком случае	6	5
151	ответ на	1	4
152	в более	1	4
153	в прямом	2	4
154	только что	10	4
155	здесь нет	1	4
156	с одной	7	4
157	тогда когда	2	4
158	с точки	11	4
159	этом отношении	1	4
160	о чем	1	4
161	как раз	14	4
162	в результате	3	4
163	по мере	1	4
164	в виде	5	4
165	в себе	9	4
166	видит в	3	4
167	должен был	4	4
168	так или	1	4
169	но все	2	4
170	из двух	4	4
171	или иначе	2	4
172	в одном	9	4
173	в котором	7	4
174	заключается в	13	4
175	и ее	4	4
176	как она	8	4
177	в своей	6	4
178	да и	1	4
179	сравнению с	1	4
180	в чем	3	4
181	должен быть	4	4
182	к тому	18	4
183	еще не	3	4
184	однако не	3	4
185	не имеет	8	4
186	еще и	2	4
187	как о	1	4
188	от характера	1	4
189	и заключается	1	4
190	одной стороны	6	4
191	по сравнению	1	4
192	это только	4	4
193	связана с	1	4
194	быть названо	1	4
195	к делу	1	4
196	мы имеем	2	4
197	не вполне	1	4
198	действительность в	1	4
199	отличие от	1	4
200	в отличие	1	4
201	можно сказать	2	4
202	той же	6	4
203	все более	4	4
204	и для	4	4
205	из них	10	4
206	прямом смысле	2	4
207	всего того	3	3
208	и к	5	3
209	в свое	1	3
210	с этим	11	3
211	что с	4	3
212	разбираться в	1	3
213	и здесь	9	3
214	и на	7	3
215	того как	4	3
216	зависит от	2	3
217	и вот	6	3
218	такого рода	1	3
219	обе эти	1	3
220	понятно что	1	3
221	именно как	3	3
222	при этом	10	3
223	что это	19	3
224	в сущности	16	3
225	говорит о	6	3
226	из которых	6	3
227	не как	1	3
228	и римлян	1	3
229	но что	3	3
230	в отношении	1	3
231	в этих	3	3
232	связи с	2	3
233	с чисто	1	3
234	если бы	22	3
235	себе что	2	3
236	и сам	1	3
237	спросить себя	2	3
238	а также	1	3
239	в силу	2	3
240	мы говорим	1	3
241	том виде	2	3
242	в конце	5	3
243	в собственном	1	3
244	здесь все	1	3
245	по содержанию	1	3
246	одновременно и	3	3
247	как в	8	3
248	с историей	2	3
249	нисколько не	3	3
250	между ними	1	3
251	зависимости от	1	3
252	в известном	1	3
253	в каком	8	3
254	есть еще	1	3
255	он мог	1	3
256	и того	1	3
257	в конечном	2	3
258	бы и	2	3
259	от себя	1	3
260	на этой	1	3
261	и других	5	3
262	все эти	7	3
263	то это	5	3
264	и есть	3	3
265	что даже	2	3
266	язык и	1	3
267	на этом	6	3
268	своей природе	1	3
269	так называемой	4	3
270	что же	3	3
271	же как	3	3
272	так чтобы	1	3
273	в другом	6	3
274	совсем не	3	3
275	в ней	23	3
276	времени в	1	3
277	или же	2	3
278	и тогда	1	3
279	которых не	1	3
280	и уже	5	3
281	во второй	1	3
282	в слове	1	3
283	в частности	3	3
284	со всей	3	3
285	только на	3	3
286	исследования и	3	3
287	не с	2	3
288	может служить	8	3
289	в этой	20	3
290	же самое	14	3
291	в начале	1	3
292	не следует	3	3
293	того же	4	3
294	от того	1	3
295	так же	12	3
296	при помощи	7	3
297	или как	2	3
298	и наоборот	1	3
299	этому поводу	1	3
300	идет речь	1	3
301	и той	4	3
302	отношение к	2	3
303	однако в	1	3
304	наряду с	4	3
305	на нее	1	3
306	что может	1	3
307	до конца	5	3
308	в своем	8	3
309	может оказаться	1	3
310	по этому	1	3
311	в зависимости	1	3
312	и вообще	1	3
313	что она	34	3
314	одна из	6	3
315	как будто	13	3
316	здесь не	3	3
317	текст и	1	3
318	к этому	5	3
319	для этого	9	3
320	что уже	1	3
321	понять что	1	3
322	смысле как	1	3
323	раньше чем	1	3
324	мы видели	7	3
325	гораздо более	2	3
326	к нему	2	3
327	никогда не	9	3
328	при жизни	1	2
329	с которыми	2	2
330	ближе к	1	2
331	во всем	2	2
332	еще при	1	2
333	так и	3	2
334	д все	1	2
335	должна была	1	2
336	и другие	3	2
337	что они	9	2
338	находятся в	2	2
339	на языке	1	2
340	что оно	5	2
341	и сейчас	2	2
342	первом случае	1	2
343	второй половине	1	2
344	от действительности	4	2
345	должна быть	5	2
346	мы не	7	2
347	иметь дело	3	2
348	время в	5	2
349	обратить внимание	1	2
350	нам не	2	2
351	несмотря на	7	2
352	к действительности	3	2
353	из того	1	2
354	ни к	1	2
355	следует что	2	2
356	он и	1	2
357	или нет	1	2
358	которой в	1	2
359	и из	1	2
360	мысли и	2	2
361	сам по	2	2
362	после этого	5	2
363	а затем	1	2
364	не исчерпывается	1	2
365	что несмотря	1	2
366	для объяснения	1	2
367	себя в	1	2
368	как говорят	1	2
369	для них	1	2
370	не столько	1	2
371	когда говорил	1	2
372	у нас	4	2
373	самое что	2	2
374	целом ряде	1	2
375	в следующем	1	2
376	все равно	1	2
377	лежит в	4	2
378	то она	1	2
379	к самой	2	2
380	говорит он	3	2
381	в таких	1	2
382	в своих	6	2
383	не было	4	2
384	стоит в	2	2
385	истории не	1	2
386	этой точки	2	2
387	ее от	1	2
388	ни одна	1	2
389	и с	4	2
390	с ней	1	2
391	по их	1	2
392	каким образом	1	2
393	будто бы	3	2
394	исторической действительности	2	2
395	которое в	1	2
396	это еще	1	2
397	значение в	1	2
398	виде в	1	2
399	это есть	3	2
400	по существу	4	2
401	с теми	4	2
402	с конца	2	2
403	жизни и	6	2
404	том или	1	2
405	например в	5	2
406	до наших	1	2
407	тому что	10	2
408	случае не	1	2
409	и без	2	2
410	к таким	1	2
411	в связи	1	2
412	подобно тому	1	2
413	но пока	1	2
414	следует понимать	3	2
415	и так	4	2
416	есть только	3	2
417	том смысле	2	2
418	к своему	2	2
419	и при	1	2
