N	2gram	Bakhtin_Fr	Retstnzi
1	не может	9	4
2	и в	67	3
3	если в	3	2
4	в центре	1	2
5	один из	6	2
6	нуждаются в	1	1
7	в особенности	7	1
8	несмотря на	3	1
9	может быть	4	1
10	не только	23	1
11	точки зрения	7	1
12	с точки	5	1
13	для него	4	1
14	первая часть	2	1
15	подхода к	1	1
16	в ней	10	1
17	тех же	1	1
18	права и	3	1
19	в каждом	3	1
20	связи с	7	1
21	не из	1	1
22	не связанными	1	1
23	бы на	1	1
24	с другими	3	1
25	или иными	1	1
26	если бы	2	1
27	конечно и	4	1
28	смысл и	1	1
29	исходя из	1	1
30	в его	17	1
31	не менее	4	1
32	именно с	1	1
33	в языке	1	1
34	но и	23	1
35	в выборе	1	1
36	мы видим	6	1
37	второй части	1	1
38	всех участников	2	1
39	к тому	4	1
40	во второй	3	1
41	можно назвать	1	1
42	тому что	1	1
43	и можно	1	1
44	книги о	1	1
45	теми или	1	1
46	в то	17	1
47	из этих	4	1
48	и больше	2	1
49	он в	4	1
50	же время	14	1
51	то же	18	1
52	а не	6	1
53	бы в	5	1
54	нет и	4	1
55	в системе	2	1
56	и не	23	1
57	на нее	1	1
58	и все	18	1
59	истории но	1	1
60	и на	12	1
61	вполне понятно	1	1
62	это направление	2	1
