N	2gram	Ircho_Kome	BTomashe
1	у нас	3	3
2	все это	7	2
3	в ней	2	2
4	можно было	5	2
5	стр и	2	2
6	больше чем	5	2
7	и не	19	2
8	видеть в	2	2
9	следовало бы	1	1
10	вопрос о	5	1
11	говорить о	3	1
12	и о	3	1
13	было и	1	1
14	и нет	1	1
15	не только	12	1
16	остановиться на	2	1
17	всего в	5	1
18	таким образом	13	1
19	не было	1	1
20	меньшей мере	2	1
21	в эпоху	1	1
22	прежде всего	8	1
23	так по	1	1
24	бы только	1	1
25	и в	40	1
26	на самом	1	1
27	так и	17	1
28	и меньше	1	1
29	из своей	2	1
30	в своей	3	1
31	иначе не	1	1
32	во всяком	4	1
33	и потому	1	1
34	и во	4	1
35	также что	2	1
36	за пределы	2	1
37	говорить об	1	1
38	же не	2	1
39	с другой	7	1
40	об этом	2	1
41	значение слова	1	1
42	по богатству	1	1
43	как будто	3	1
44	совершенно не	1	1
45	не о	1	1
46	другой стороны	6	1
47	всяком случае	4	1
48	было бы	8	1
49	не следует	2	1
50	и ее	5	1
51	чем на	2	1
52	одной из	6	1
53	в значительной	1	1
54	по мотивам	1	1
55	по меньшей	2	1
56	в пределах	1	1
57	в данном	1	1
58	более что	1	1
59	об исторических	1	1
60	в области	3	1
61	далеко не	1	1
62	тем более	1	1
63	говорить не	1	1
64	не вполне	2	1
65	и более	2	1
66	что все	1	1
67	не все	2	1
68	нельзя не	2	1
69	в книге	1	1
70	значительной степени	1	1
71	его не	1	1
72	будто бы	2	1
73	исторических условиях	1	1
74	а не	1	1
75	отнюдь не	2	1
76	до конца	3	1
77	не укладывается	1	1
78	и на	9	1
79	по отдельным	2	1
80	еще не	7	1
81	к ней	2	1
82	все же	7	1
83	что в	12	1
84	меньше чем	2	1
