N	3gram	Berdyaev_V	NovoeSre
1	во имя свободы	3	3
2	вместе с тем	1	2
3	в нем нет	2	2
4	в нашу эпоху	1	2
5	с другой стороны	1	2
6	никогда не было	1	2
7	в том что	2	1
8	в мир и	1	1
9	истина должна быть	1	1
10	и в жизни	1	1
11	царства божьего и	1	1
12	бог не есть	1	1
13	не имеет никакой	1	1
14	о религиозном смысле	1	1
15	не верят в	3	1
16	ни в социализме	1	1
17	и вместе с	1	1
18	но и в	2	1
19	зла в будущем	1	1
20	от бога и	1	1
21	есть прежде всего	1	1
22	в существе своем	2	1
23	имя свободы и	1	1
24	не могут быть	1	1
25	в платоновском смысле	1	1
26	как и в	1	1
27	свободы от бога	2	1
28	никогда еще не	2	1
29	не в силах	2	1
30	одна из сторон	1	1
31	в известном смысле	1	1
32	если нет бога	1	1
33	я думаю что	1	1
34	не будет уже	2	1
