N	3gram	Voloshinov	Freidism
1	с точки зрения	5	15
2	не может быть	2	14
3	по отношению к	2	11
4	в самом деле	2	10
5	в том что	1	9
6	как мы видели	3	8
7	в то же	9	6
8	в высшей степени	1	6
9	то же время	7	6
10	в большинстве случаев	1	5
11	с самого начала	4	5
12	можно сказать что	2	5
13	как мы уже	3	5
14	в свою очередь	4	4
15	мы увидим что	2	4
16	тем не менее	1	4
17	на самом деле	3	4
18	в зависимости от	7	4
19	по ту сторону	1	4
20	в душе человека	1	4
21	в этом отношении	2	4
22	в последнем счете	1	4
23	все то что	2	3
24	мы уже знаем	1	3
25	отнюдь не является	1	3
26	для того чтобы	7	3
27	точку зрения на	1	3
28	о том что	2	3
29	в собственном смысле	1	3
30	до сих пор	1	3
31	и внешней речи	1	3
32	и той же	4	3
33	во всех своих	3	3
34	на этот вопрос	1	3
35	мы видели что	2	3
36	внутренней и внешней	3	3
37	одной и той	4	3
38	но в то	2	3
39	в конечном счете	1	3
40	мы не можем	1	3
41	нет и не	1	3
42	и не может	1	3
43	на этом мы	1	3
44	благодаря тому что	1	2
45	это как бы	1	2
46	на две группы	1	2
47	равно как и	2	2
48	но вместе с	1	2
49	то или иное	4	2
50	ни в какой	1	2
51	хотя бы и	1	2
52	в конце концов	3	2
53	обратное влияние на	4	2
54	с помощью которого	1	2
55	не является чем-то	1	2
56	что мы называем	3	2
57	что же такое	2	2
58	при которой происходит	1	2
59	мы никогда не	5	2
60	зависимости от того	2	2
61	и по отношению	1	2
62	таким образом в	1	2
63	к тому что	2	2
64	в другом месте	1	2
65	то что мы	4	2
66	это прежде всего	1	2
67	во внешнюю речь	1	2
68	мы показали что	1	2
69	как раз и	1	2
70	связанных с ними	1	2
71	нужно отметить что	1	2
72	то же самое	4	2
73	мы говорили что	1	1
74	ведь если он	2	1
75	за существование о	1	1
76	в этом случае	3	1
77	его точка зрения	1	1
78	человек не может	1	1
79	борьбе за существование	1	1
80	без внутренней речи	2	1
81	и те же	2	1
82	собственном смысле слова	1	1
83	и вот это	1	1
84	и отразиться в	1	1
85	в таких словах	1	1
86	того или иного	5	1
87	вернемся теперь к	1	1
88	мы можем не	2	1
89	все эти высказывания	1	1
90	остановимся только на	1	1
91	той или иной	4	1
92	вполне понятно что	1	1
93	тесно примыкает к	1	1
94	является как бы	1	1
95	от того в	1	1
96	кризисов и упадка	1	1
97	вовсе не является	1	1
