N	3gram	Tiupa_Vved	Formalny
1	не может быть	6	29
2	на самом деле	4	21
3	то же время	4	20
4	в то же	5	20
5	в связи с	1	16
6	во всяком случае	3	16
7	в настоящее время	1	13
8	по отношению к	11	12
9	в самом деле	2	11
10	в этом отношении	7	11
11	в зависимости от	1	10
12	с другой стороны	2	9
13	и не может	1	9
14	для того чтобы	1	8
15	как мы видели	3	8
16	с одной стороны	9	8
17	более или менее	2	7
18	того или иного	1	7
19	сами по себе	1	7
20	в высшей степени	2	7
21	в свою очередь	5	7
22	и в этом	1	7
23	в том что	10	6
24	и в то	1	6
25	в данном случае	15	6
26	одной стороны и	3	5
27	к тому чтобы	1	5
28	в этом смысле	1	5
29	в отличие от	11	5
30	к тому что	1	5
31	все без исключения	1	5
32	в значительной степени	2	5
33	до известной степени	1	5
34	прежде всего в	1	5
35	мы не можем	1	5
36	в той же	1	4
37	тем не менее	3	4
38	не в том	3	4
39	как раз и	1	4
40	не входит в	2	4
41	а не в	1	4
42	но и в	3	4
43	как и все	1	4
44	подобно тому как	3	4
45	с самого начала	1	4
46	по аналогии с	2	4
47	вовсе не о	1	3
48	и тот же	1	3
49	то или иное	1	3
50	в том числе	1	3
51	всяком случае в	1	3
52	не сводится к	6	3
53	вместо того чтобы	1	3
54	том числе и	1	3
55	то же самое	2	3
56	иначе обстоит дело	1	3
57	в том смысле	1	3
58	в том чтобы	2	3
59	а не как	1	3
60	один и тот	1	3
61	при этом не	2	3
62	в противном случае	2	3
63	но в то	1	3
64	в пределах одного	1	3
65	как мы увидим	1	3
66	с установкой на	2	3
67	что же касается	2	3
68	мере в какой	2	2
69	все то что	1	2
70	не могло бы	1	2
71	о том как	1	2
72	том смысле что	1	2
73	в той мере	2	2
74	отнюдь не является	1	2
75	отношение к миру	1	2
76	и со стороны	1	2
77	произведение в его	1	2
78	всех без исключения	1	2
79	друг от друга	2	2
80	но и с	1	2
81	одних и тех	1	2
82	но при этом	3	2
83	бы оно было	1	2
84	иметь в виду	1	2
85	могло бы быть	1	2
