N	3gram	Savitsky_E	VLabPisa
1	и т д	1	16
2	в этом отношении	3	14
3	не может быть	2	8
4	с другой стороны	2	8
5	более или менее	1	6
6	в том что	6	5
7	хотя бы и	3	5
8	в то же	15	5
9	то же время	14	5
10	в одном из	2	4
11	можно сказать что	3	4
12	можно утверждать что	1	4
13	в силу этого	1	4
14	не могут быть	1	4
15	в связи с	1	4
16	к тому что	1	4
17	мы видели что	1	3
18	большей или меньшей	1	3
19	в значительной мере	1	3
20	для того чтобы	5	3
21	и в то	8	3
22	хотя бы в	2	3
23	в основных чертах	1	3
24	та или иная	1	3
25	одной стороны и	6	2
26	во всяком случае	3	2
27	в самом понятии	1	2
28	этой точки зрения	5	2
29	в этом процессе	1	2
30	в том числе	1	2
31	в большей или	1	2
32	говорить не о	1	2
33	чуть ли не	1	2
34	в противном случае	1	2
35	том числе и	1	2
36	или меньшей степени	1	2
37	не только в	4	2
38	во всех этих	1	2
39	не может не	1	2
40	в частности в	2	2
41	только в том	2	2
42	с одной стороны	8	2
43	также и в	1	2
44	можно было бы	3	2
45	так же как	5	1
46	и не быть	1	1
47	к двум основным	1	1
48	в той или	3	1
49	в свою очередь	2	1
50	качестве одной из	1	1
51	в том же	1	1
52	того или иного	4	1
53	если так то	1	1
54	т е не	1	1
55	очевидно также что	1	1
56	той или иной	4	1
57	но было бы	2	1
58	с другой в	1	1
59	в применении к	3	1
60	том смысле что	1	1
61	в качестве одной	1	1
62	и связанное с	1	1
63	на то что	2	1
64	но и в	1	1
65	и ту же	1	1
66	в том смысле	1	1
67	в этом смысле	3	1
68	по сравнению с	2	1
69	того что мы	1	1
70	в том случае	1	1
71	не дает оснований	1	1
72	то время как	1	1
73	в формировании и	1	1
74	заключает в себе	3	1
75	ту или иную	3	1
76	говоря уже о	1	1
77	отцов и детей	1	1
78	с этой точки	5	1
79	то что в	2	1
80	быть сведена к	1	1
81	и тем более	1	1
82	только в пределах	1	1
83	в то время	1	1
84	чтобы ответить на	1	1
85	тех или иных	1	1
86	на этот вопрос	1	1
87	более высокой и	1	1
88	не говоря уже	2	1
89	хотя и не	1	1
90	кроме того что	1	1
91	как это мы	1	1
92	что для него	1	1
93	ли это что	1	1
94	на то или	1	1
95	другой стороны в	1	1
96	при соприкосновении с	1	1
97	но в то	2	1
98	то или иное	1	1
99	и поэтому в	1	1
100	в качестве общего	1	1
101	в соответствии с	1	1
102	в данном случае	2	1
103	есть то что	1	1
104	значит ли это	1	1
105	хотя бы отчасти	2	1
106	к тому же	1	1
107	же как и	3	1
108	сводится именно к	1	1
109	одну и ту	1	1
110	очевидно что в	2	1
111	как сказал бы	1	1
112	том случае если	1	1
113	следует отметить что	1	1
114	было бы совершенно	1	1
115	может быть сведена	1	1
116	совершенно очевидно что	1	1
117	и в качестве	1	1
118	хотя бы с	1	1
119	только тогда когда	1	1
120	но и для	1	1
121	может быть и	1	1
