N	2gram	Tiupa_Anal	VerxiiNi
1	и в	36	26
2	таким образом	4	22
3	с тем	2	18
4	в этом	19	15
5	вместе с	3	15
6	точки зрения	3	13
7	как бы	14	12
8	в том	16	11
9	не только	40	10
10	и с	1	10
11	может быть	19	10
12	из этих	4	10
13	что в	15	9
14	связи с	1	9
15	но и	26	9
16	в общем	4	8
17	и у	1	8
18	и не	14	8
19	как на	1	8
20	с другой	10	8
21	но не	13	8
22	с одной	3	7
23	том что	19	7
24	потому что	1	7
25	одной стороны	3	7
26	а с	2	7
27	то что	5	7
28	но в	8	7
29	из них	4	7
30	так и	19	6
31	в конце	6	6
32	несмотря на	2	6
33	все это	5	6
34	что и	10	6
35	в отношении	2	6
36	все эти	2	6
37	все же	6	6
38	к тому	10	6
39	о том	9	6
40	во всяком	6	6
41	и потому	3	6
42	всяком случае	6	6
43	мы должны	1	6
44	и т.д	3	6
45	с точки	2	6
46	в себе	7	6
47	того же	7	6
48	и к	7	5
49	до сих	1	5
50	в его	12	5
51	к жизни	5	5
52	тому же	7	5
53	в мире	17	5
54	не имеет	1	5
55	сих пор	1	5
56	по крайней	5	5
57	того чтобы	1	5
58	для того	1	5
59	так же	1	5
60	лишь в	9	5
61	отношение к	2	5
62	одной из	6	5
63	образом в	1	5
64	в силу	2	5
65	а не	16	5
66	и для	4	5
67	крайней мере	5	5
68	никогда не	7	5
69	в самом	7	4
70	попадает в	1	4
71	ничем не	1	4
72	то есть	15	4
73	и по	3	4
74	то же	7	4
75	из которых	2	4
76	только в	9	4
77	в этих	2	4
78	должен был	2	4
79	с другими	1	4
80	целый ряд	1	4
81	учение о	1	4
82	что он	5	4
83	в течение	1	4
84	и тогда	1	4
85	он не	9	4
86	и что	2	4
87	далеко не	8	4
88	а в	17	4
89	в этой	10	4
90	и от	3	4
91	не может	3	4
92	что все	1	4
93	на этот	1	4
94	в то	8	4
95	и только	1	4
96	в нем	3	4
97	во время	2	4
98	и другие	1	3
99	с этой	1	3
100	и при	1	3
101	при этом	19	3
102	для него	8	3
103	что это	1	3
104	тем не	3	3
105	и если	2	3
106	в качестве	22	3
107	в результате	6	3
108	связывается с	3	3
109	то с	1	3
110	духовной культуры	1	3
111	так или	5	3
112	и даже	12	3
113	если бы	2	3
114	в которой	1	3
115	или иначе	5	3
116	с ней	1	3
117	на нее	1	3
118	в таком	2	3
119	случае не	1	3
120	в связи	1	3
121	и как	5	3
122	как о	3	3
123	же как	1	3
124	если в	3	3
125	не менее	9	3
126	путь к	4	3
127	и таким	1	3
128	можно сказать	5	3
129	но с	3	3
130	каждая из	1	3
131	хотя бы	1	3
132	в значительной	3	3
133	представляет собой	7	3
134	так что	2	3
135	когда он	2	3
136	точно так	1	3
137	в одном	4	3
138	оказывается что	1	3
139	и те	1	3
140	всегда и	2	3
141	в рамках	10	3
142	к ним	1	3
143	и о	1	3
144	культуры и	1	3
145	отношению к	9	3
146	в своем	7	3
147	уже не	9	3
148	к этому	3	3
149	конце концов	1	3
150	к богу	1	3
151	того что	4	3
152	на востоке	1	2
153	никто из	1	2
