N	2gram	Savitsky_E	Otkroven
1	и в	37	19
2	и не	14	13
3	но и	14	13
4	в этом	12	12
5	а не	2	11
6	не только	18	11
7	не в	5	11
8	может быть	6	11
9	вопрос о	4	10
10	и все	2	10
11	в нем	1	10
12	потому что	3	9
13	прежде всего	9	9
14	не было	1	9
15	в самой	1	9
16	никогда не	3	9
17	нет ничего	1	7
18	в его	2	7
19	он не	2	7
20	лишь в	1	7
21	в глубине	1	7
22	как и	7	6
23	в самом	4	5
24	в том	11	5
25	для него	1	5
26	в этой	2	5
27	а в	2	5
28	в россии	5	5
29	то что	6	5
30	что в	21	4
31	только и	1	4
32	того чтобы	6	4
33	т е	9	4
34	не может	9	4
35	что не	1	4
36	все эти	1	4
37	на земле	1	4
38	и его	1	4
39	он сам	2	4
40	с его	1	4
41	только одно	2	3
42	и от	3	3
43	все что	1	3
44	чем на	2	3
45	хотя бы	15	3
46	для того	6	3
47	более всего	1	3
48	с ним	1	3
49	когда он	3	3
50	быть может	1	3
51	в этих	2	3
52	не могут	2	3
53	в своих	2	3
54	как бы	6	3
55	было бы	8	3
56	могут быть	2	3
57	в себе	9	3
58	различие между	1	3
59	и ее	1	3
60	о том	3	3
61	того что	7	3
62	к нему	2	3
63	всего в	2	2
64	и к	3	2
65	и потому	5	2
66	так и	10	2
67	и то	2	2
68	все же	1	2
69	так как	7	2
70	на западе	1	2
71	должно быть	1	2
72	к этой	1	2
73	в явлениях	1	2
74	к ней	4	2
75	для всякого	1	2
76	уже в	1	2
77	в человеческом	1	2
78	этом мире	1	2
79	в своем	14	2
80	в этот	1	2
81	с тем	3	2
82	ее в	3	2
83	одно из	1	2
84	что и	3	2
85	россии в	4	2
86	потребность в	3	2
87	можно ли	3	2
88	в истории	2	2
89	чем в	4	2
90	ко всем	1	2
91	мысль о	1	2
92	вместо того	1	2
93	этого мира	1	2
94	и с	2	2
95	что же	2	2
96	он в	1	2
97	и о	1	2
98	сказать что	4	2
99	что для	1	2
100	тем что	3	2
101	него не	1	2
102	из всего	1	2
103	и на	6	2
104	много раз	1	2
105	в других	2	2
106	что все	2	2
107	хотя и	2	2
108	не есть	2	2
109	для человеческого	1	2
110	в своей	8	2
111	в глубь	1	2
112	все еще	1	2
113	жизни в	3	2
114	по себе	4	2
115	не имеет	4	2
116	том что	6	2
117	и для	3	2
118	в ее	8	2
119	но в	14	2
120	с разных	1	2
121	было у	1	1
122	духовного склада	1	1
123	ближе к	1	1
124	во всем	1	1
125	христова и	1	1
126	во всяком	3	1
127	ко всему	2	1
128	идеи его	1	1
129	видели в	1	1
130	все ли	1	1
131	том случае	1	1
132	ее и	1	1
133	не допускает	1	1
134	в центре	1	1
135	и других	2	1
136	к другу	1	1
137	один из	1	1
138	начало в	2	1
139	эволюции в	1	1
140	в котором	2	1
141	та же	1	1
142	по природе	1	1
143	самой природе	1	1
144	друг к	1	1
145	мир в	1	1
146	азии и	1	1
147	это потому	1	1
148	любой из	1	1
149	сам и	1	1
150	случае если	1	1
151	пределы и	1	1
152	она не	2	1
153	должна быть	2	1
154	мы не	4	1
155	но еще	2	1
156	связана с	1	1
157	здесь нужно	1	1
158	всего мира	1	1
159	еще более	2	1
160	также и	7	1
161	ту же	1	1
162	но не	5	1
163	это должно	1	1
164	по сравнению	2	1
165	в культурном	3	1
166	представляет собой	3	1
167	в строе	2	1
168	не быть	1	1
169	был бы	1	1
170	в ней	4	1
171	из всех	3	1
172	что это	2	1
173	в отношениях	1	1
174	этом отношении	3	1
175	для тех	1	1
176	всяком случае	3	1
177	в свое	1	1
178	кажется что	2	1
179	утверждается и	1	1
180	но тем	1	1
181	в частности	5	1
182	говорит о	3	1
183	как это	4	1
184	центральной и	2	1
185	народа и	1	1
186	и тут	2	1
187	со стороны	5	1
188	в которую	1	1
189	что люди	1	1
190	отношении к	15	1
191	с до	1	1
192	не отрицает	1	1
193	и что	2	1
194	в одном	2	1
195	силы в	2	1
196	у нас	1	1
197	в отношении	32	1
198	можно было	3	1
199	подходит к	2	1
200	плоти и	1	1
201	бы и	3	1
202	заключает в	3	1
203	и это	1	1
204	это есть	1	1
205	смысле этого	1	1
206	и когда	1	1
207	и до	1	1
208	с их	1	1
209	в явлении	1	1
210	в русском	1	1
211	европе и	3	1
212	по своей	2	1
213	от того	1	1
214	в форму	1	1
215	связанная с	1	1
216	думать что	8	1
217	в них	3	1
218	связь с	1	1
219	любви к	1	1
220	в силе	1	1
221	что нет	1	1
222	находятся и	1	1
223	и даже	6	1
224	психологии и	1	1
225	этот период	1	1
226	особого рода	1	1
227	это вопрос	1	1
228	всегда и	1	1
229	если бы	2	1
230	и более	2	1
231	на примере	1	1
232	с ними	1	1
233	истории и	1	1
234	и сам	1	1
235	единственно с	1	1
236	корне отрицает	1	1
237	всегда в	1	1
238	и можно	2	1
239	его собственная	2	1
240	в силу	2	1
241	на этот	2	1
242	дело в	3	1
243	когда дело	1	1
244	в силах	1	1
245	и эта	2	1
246	нормальное и	1	1
247	заключается в	2	1
248	но от	1	1
249	начиная с	2	1
250	не делает	1	1
251	в процессе	4	1
252	бы еще	1	1
253	например в	1	1
254	в жизни	1	1
255	бы признать	1	1
256	в пределы	3	1
257	в корне	1	1
258	в сферу	2	1
259	с той	1	1
260	двух противоположных	1	1
261	лишь на	1	1
262	и как	2	1
263	то в	4	1
264	есть не	2	1
265	в сознании	1	1
266	а именно	2	1
267	жизни и	2	1
268	одна из	1	1
269	в мире	2	1
270	в разных	1	1
271	одном из	2	1
272	и прежде	3	1
273	который в	1	1
274	как в	3	1
275	этого слова	1	1
276	как будто	2	1
277	в совершенно	1	1
278	на то	6	1
279	этим противоположением	1	1
280	вовлекает в	1	1
281	от этого	5	1
282	возможности и	1	1
283	что во	1	1
284	друг с	3	1
285	его жизни	1	1
286	ли он	1	1
287	бы от	2	1
288	в новом	1	1
289	в свой	1	1
290	сравнению с	2	1
291	но это	1	1
292	с другом	3	1
293	и чем	2	1
294	чтобы не	1	1
295	самостоятельность ни	1	1
296	на своем	3	1
297	она и	1	1
298	само по	4	1
299	к которой	1	1
300	из них	3	1
301	ли своя	1	1
302	вовсе не	6	1
303	что как	1	1
304	это так	3	1
305	уже не	1	1
306	подобий в	1	1
307	в одной	1	1
308	указать на	1	1
309	одна возможность	1	1
310	мировой истории	1	1
311	мира в	4	1
312	свое собственное	1	1
313	бы ни	3	1
314	бы в	2	1
315	отметить что	3	1
316	людей в	1	1
