N	2gram	Propp_Russ	Myshleni
1	в том	33	195
2	в этом	18	167
3	то что	10	166
4	и в	59	162
5	том что	33	161
6	в развитии	1	151
7	таким образом	10	147
8	точки зрения	3	143
9	что в	35	119
10	не только	28	116
11	того что	6	109
12	так же	7	100
13	потому что	15	95
14	того чтобы	6	91
15	может быть	14	89
16	с точки	3	89
17	что он	2	86
18	не может	6	81
19	как и	19	79
20	для того	6	78
21	так как	25	78
22	и не	6	78
23	только в	4	75
24	в целом	2	74
25	как мы	11	72
26	но и	20	70
27	в его	3	67
28	сказать что	1	65
29	как бы	18	64
30	вместе с	16	62
31	представляет собой	5	60
32	и что	8	60
33	было бы	3	60
34	в качестве	5	60
35	то же	6	58
36	в основе	1	58
37	между собой	4	53
38	в силу	2	53
39	что мы	1	53
40	мы должны	3	50
41	к тому	4	49
42	что они	8	48
43	тем что	7	48
44	мы можем	2	48
45	тогда когда	4	47
46	на основе	1	47
47	мы не	11	47
48	если бы	1	46
49	по отношению	1	45
50	но не	7	45
51	с другой	1	45
52	с тем	14	43
53	же как	5	43
54	тому что	4	42
55	как это	11	42
56	отношению к	1	42
57	не является	2	41
58	о том	14	40
59	одной стороны	1	40
60	никогда не	1	39
61	с одной	1	39
62	так и	8	39
63	мы видели	3	38
64	в области	3	38
65	и к	3	37
66	вопрос о	4	37
67	мы видим	2	37
68	не в	2	37
69	в этой	4	37
70	значение слова	1	37
71	в своем	3	36
72	все эти	5	36
73	как в	10	36
74	а не	3	36
75	и его	2	36
76	того же	1	35
77	с другом	1	35
78	можно было	3	35
79	в себе	1	35
80	в которой	3	35
81	друг с	1	35
82	он не	1	35
83	для себя	1	35
84	связи с	6	34
85	и как	2	34
86	приводит к	4	34
87	прежде всего	2	33
88	при этом	11	33
89	именно в	3	32
90	и на	14	32
91	нас к	5	32
92	по своему	2	32
93	что и	8	32
94	и тем	1	32
95	но в	5	32
96	все же	7	31
97	из того	1	31
98	и то	2	31
99	на то	2	30
100	этом отношении	1	30
101	этого слова	3	29
102	между тем	9	29
103	как известно	2	29
104	могут быть	3	29
105	показывает что	9	29
106	от того	1	29
107	с этим	4	28
108	что с	2	28
109	самом деле	1	28
110	переход от	3	28
111	к слову	3	28
112	только что	1	27
113	с этой	2	27
114	этом случае	9	27
115	в то	3	27
116	и с	12	27
117	в своей	1	27
118	связь между	2	27
119	что все	2	27
120	перед нами	2	27
121	в их	5	26
122	в собственном	1	26
123	собственном смысле	1	26
124	что это	4	26
125	для него	1	26
126	в частности	2	26
127	в чем	1	25
128	что она	4	25
129	еще не	7	25
130	уже в	2	25
131	все это	12	25
132	можно сказать	1	25
133	по мере	1	25
134	мы уже	2	25
135	это не	14	25
136	мы знаем	1	24
137	тот же	2	24
138	зависимости от	1	24
139	целый ряд	1	24
140	на этот	3	24
141	того как	6	24
142	в какой	3	24
143	так что	4	24
144	что эта	1	24
145	в нем	3	24
146	как уже	6	24
147	друг друга	3	23
148	этот вопрос	4	23
149	состоит в	18	23
150	ни в	1	23
151	как он	2	23
152	слова в	3	23
153	во всяком	1	22
154	не могут	1	22
155	то время	3	22
156	и развитие	1	22
157	между ними	1	21
158	к этому	7	21
159	и следовательно	2	21
160	и ее	3	21
161	с таким	2	21
162	на основании	1	21
163	представление о	5	21
164	в нашем	2	21
165	его в	9	21
166	все время	1	21
167	в свете	5	21
168	показать что	1	21
169	там где	3	21
170	и все	4	21
171	не имеет	9	21
172	в истории	1	21
173	ее в	7	21
174	и более	3	21
175	отношение к	1	21
176	в виду	3	20
177	не менее	3	20
178	в котором	2	20
179	в другом	1	20
180	к которому	1	20
181	из них	12	20
182	время как	1	20
183	из этих	6	20
184	в такой	1	20
185	и других	9	20
186	а в	16	20
187	как раз	1	20
188	к выводу	3	20
189	на этом	6	20
190	должно быть	2	20
191	по существу	7	20
192	и их	4	20
193	но мы	1	19
194	в связи	4	19
195	во всех	6	19
196	а с	6	19
197	и по	10	19
198	один из	10	19
199	но если	2	19
200	независимо от	3	19
201	в данном	7	19
202	в той	1	19
203	мы и	1	19
204	как на	2	19
205	с ним	2	19
206	из которых	2	19
207	во всем	2	18
208	во всей	2	18
209	одного и	1	18
210	но это	5	18
211	в отличие	4	18
212	приводит нас	4	18
213	отличие от	4	18
214	приходит к	1	18
215	всяком случае	1	18
216	чем в	4	18
217	в этих	3	17
218	в своих	3	17
219	их в	7	17
220	в одном	4	17
221	в свою	3	17
222	в совершенно	1	17
223	тем же	1	17
224	до конца	5	17
225	и для	3	17
226	для этого	6	17
227	все что	2	17
228	и того	1	17
229	у него	2	17
230	ту же	2	17
231	и от	2	17
232	и есть	1	17
233	то и	4	17
234	совпадает с	1	17
235	обе эти	1	17
236	и другие	24	16
237	раньше чем	2	16
238	в которых	8	16
239	из основных	2	16
240	значение в	2	16
241	мы имеем	7	16
242	такой же	3	16
243	выводу что	3	16
244	которые не	3	16
245	и даже	1	16
246	на этой	3	16
247	между двумя	2	16
248	по поводу	1	16
249	видели что	1	16
250	для нас	12	16
251	которые в	2	16
252	которую мы	1	16
253	тому как	3	16
254	таким же	4	16
255	в них	10	15
256	что при	2	15
257	от этого	2	15
258	и это	2	15
259	подобно тому	3	15
260	что если	2	15
261	данном случае	8	15
262	на все	3	15
263	тем более	1	15
264	в начале	1	15
265	те же	1	15
266	значит что	2	15
267	представить себе	1	15
268	формы мышления	1	15
269	том же	6	15
270	ничего не	4	15
