N	2gram	Vinokur_St	Vladivir
1	и в	61	116
2	то что	27	71
3	и не	23	67
4	в году	3	65
5	у него	3	65
6	не только	36	65
7	в этом	37	53
8	в том	56	52
9	том что	49	51
10	что в	41	48
11	но и	28	47
12	в конце	5	41
13	в его	19	40
14	и с	6	39
15	то есть	2	37
16	и даже	8	36
17	сказать что	9	36
18	также и	10	36
19	там же	1	35
20	так что	8	35
21	потому что	13	33
22	что он	23	32
23	еще и	5	32
24	не может	10	31
25	о том	30	30
26	только в	11	30
27	как мы	1	29
28	никогда не	7	29
29	для него	10	29
30	вовсе не	24	27
31	а в	18	27
32	не было	7	26
33	а к	2	25
34	в себе	3	25
35	но в	16	25
36	в то	10	25
37	и то	6	25
38	и его	11	25
39	а также	4	24
40	даже и	2	24
41	точки зрения	16	23
42	между прочим	10	23
43	он не	11	23
44	может быть	16	23
45	что же	6	23
46	кроме того	3	22
47	он был	5	22
48	ни в	5	22
49	так как	7	22
50	в виде	3	22
51	об этом	9	22
52	в своей	12	21
53	вместе с	5	21
54	а именно	3	20
55	и что	8	20
56	в своем	8	20
57	для нас	7	20
58	прежде всего	11	20
59	не менее	8	19
60	и вообще	5	19
61	по поводу	13	19
62	как раз	10	19
63	тем не	4	19
64	таким образом	16	19
65	в течение	7	19
66	так и	15	19
67	и потому	3	19
68	как и	11	18
69	н н	1	18
70	не мог	3	18
71	не в	15	18
72	не был	1	18
73	хотя и	4	18
74	как это	6	18
75	с его	3	18
76	с н	1	18
77	т iii	1	18
78	в письме	5	17
79	то это	3	17
80	что и	8	17
81	в этой	13	17
82	едва ли	1	17
83	а не	19	17
84	у нас	12	17
85	все же	12	16
86	уже не	1	16
87	к тому	9	16
88	совсем не	3	16
89	для себя	3	16
90	года он	1	16
91	и все	3	16
92	было бы	21	16
93	того что	14	16
94	в котором	11	16
95	а н	1	16
96	и к	5	15
97	то же	7	15
98	в своих	2	15
99	к этому	4	15
100	несмотря на	4	15
101	письме к	7	15
102	иной раз	1	15
103	разного рода	2	15
104	до конца	4	15
105	но это	9	15
106	это было	2	15
107	того же	4	14
108	все эти	7	14
109	тут же	1	14
110	его жизни	3	14
111	же касается	3	14
112	в москве	4	14
113	и на	7	14
114	уже в	3	14
115	и как	2	14
116	в результате	5	13
117	с тем	3	13
118	можно сказать	2	13
119	так же	7	13
120	не просто	2	13
121	на этот	5	13
122	и от	2	13
123	что это	5	13
124	то время	2	13
125	да и	4	13
126	дело в	9	13
