N	2gram	Medvedev_V	Morfolog
1	так как	1	20
2	в этом	1	18
3	и в	2	17
4	и не	1	16
5	по существу	1	13
6	то же	1	10
7	в том	2	10
8	том что	2	7
9	потому что	1	7
10	но это	1	6
11	хотя бы	1	5
12	не будем	1	5
13	ясно что	1	5
14	далеко не	1	5
15	главным образом	1	5
16	самом деле	1	4
17	к этому	1	4
18	только в	1	3
19	имеется в	1	3
20	как же	1	3
21	к чему	1	3
22	даже не	1	3
23	и его	1	3
24	и только	1	3
25	в которых	1	2
26	в другом	1	2
27	с большой	1	2
28	от других	1	2
29	ни к	1	2
30	их как	1	2
31	все это	1	2
32	в частности	1	2
33	других и	1	1
34	именно в	1	1
35	что способы	1	1
36	к созданию	1	1
37	каждая новая	1	1
38	одно и	1	1
39	веселовского этот	1	1
40	и то	1	1
41	один пример	1	1
42	в их	1	1
43	совершенно ясно	1	1
44	дело в	1	1
45	так в	1	1
46	на одном	1	1
47	более чем	1	1
48	же с	1	1
49	то чего	1	1
50	веселовский с	1	1
51	образы которые	1	1
52	этом и	1	1
53	вызвать только	1	1
