N	4gram	Vinokur_Vv	Marksizm
1	в то же время	6	15
2	бы то ни было	1	12
3	одного и того же	2	9
4	но в то же	3	9
5	так как если бы	1	4
6	не может быть и	1	4
7	как мы уже знаем	2	4
8	может быть и речи	1	4
9	в том что он	1	4
10	с одной стороны и	3	3
11	одной и той же	2	3
12	в связи с этим	1	3
13	одно и то же	2	3
14	в той или иной	1	3
15	какой бы то ни	1	3
16	именно для того чтобы	1	2
17	в том или ином	2	2
18	до тех пор пока	1	2
19	на этот вопрос мы	1	2
20	той или иной степени	1	2
21	в собственном смысле слова	1	2
22	для того чтобы понять	3	2
23	так а не иначе	1	1
24	но с точки зрения	1	1
25	с этой точки зрения	2	1
26	же самое что история	1	1
27	до сих пор и	1	1
28	не что иное как	5	1
29	смысле этого слова как	1	1
30	и прежде всего в	1	1
31	одними и теми же	1	1
32	только в особых исключительных	1	1
33	в широком смысле слова	4	1
34	не сам по себе	1	1
35	то же самое что	2	1
36	но как мы уже	1	1
37	говоря уже о том	1	1
38	дело в том что	3	1
39	в большей или меньшей	1	1
40	слова для того чтобы	1	1
41	уже о том что	1	1
42	не говоря уже о	1	1
43	здесь как и везде	1	1
44	кажется само собой разумеющимся	1	1
45	приходит к выводу что	1	1
46	тем не менее совершенно	1	1
47	но во всяком случае	1	1
48	в самом деле даже	1	1
49	хотя бы и не	1	1
50	в истории языка и	1	1
51	на то или иное	1	1
52	отчет в том что	1	1
53	в строгом смысле этого	1	1
54	по отношению к нему	1	1
55	и история языка могут	1	1
56	в особых исключительных случаях	1	1
57	в соответствии с этим	1	1
58	одной из этих двух	1	1
59	в самом деле как	1	1
60	или иной степени в	1	1
61	тех пор пока не	1	1
62	на язык как на	1	1
63	что и эта черта	1	1
64	этот вопрос о конкретных	1	1
