N	4gram	Tiupa_Lite	Analitik
1	в то же время	12	14
2	состоит в том что	6	7
3	покойного ивана петровича белкина	1	6
4	одного и того же	1	6
5	присутствия я в мире	1	5
6	мы имеем дело с	1	5
7	и не может быть	1	4
8	в том что он	1	4
9	субъекта объекта и адресата	1	3
10	дело в том что	2	3
11	бы то ни было	1	3
12	с этой точки зрения	3	2
13	совокупность факторов художественного впечатления	2	2
14	в полном соответствии с	1	2
15	внутреннего я во внешнем	1	2
16	однако в то же	1	2
17	в войне и мире	1	2
18	нет и не может	1	2
19	не говоря уже о	2	2
20	в начале х годов	1	2
21	какой бы то ни	1	2
22	одно и то же	1	2
23	как совокупность факторов художественного	2	2
24	но в то же	1	2
25	человеческого я в мире	1	2
26	когда во-вторых они не	1	1
27	поглощает частных элементов а	1	1
28	частное бытие на единой	1	1
29	нет не тебя так	1	1
30	в принципе может быть	1	1
31	пусть и поэтапно изменяющуюся	1	1
32	в виду не только	1	1
33	в чем и состоит	1	1
34	дает им полный простор	1	1
35	границей к которой устремляются	1	1
36	характерно в этом отношении	1	1
37	ментальность мы вынуждены констатировать	1	1
38	им полный простор в	1	1
39	основе когда наконец в-третьих	1	1
40	в другом солидарны между	1	1
41	на своих и чужих	1	1
42	а раскрывая себя в	1	1
43	а напротив взаимно полагают	1	1
44	в них дает им	1	1
45	в рамках определенной культурной	1	1
46	изменяющуюся ментальность мы вынуждены	1	1
47	единой всеобщей основе когда	1	1
48	не поглощает частных элементов	1	1
49	бытие на единой всеобщей	1	1
50	до тех пор пока	2	1
51	всеобщей основе когда наконец	1	1
52	когда наконец в-третьих эта	1	1
53	другом солидарны между собою	1	1
54	творческих актов автора или	1	1
55	роль по отношению к	1	1
56	внешнее и внутреннее есть	1	1
57	первых десятилетий хх века	1	1
58	утверждают свое частное бытие	1	1
59	исключают целого а утверждают	1	1
60	частных элементов а раскрывая	1	1
61	одного из классических текстов	1	1
62	актов автора или перцептивных	1	1
63	автора или перцептивных актов	1	1
64	в том что фигуры	1	1
65	не подавляет и не	1	1
66	и не поглощает частных	1	1
67	которой устремляются интенциональные намерения	1	1
68	может быть это точка	3	1
69	раскрывая себя в них	1	1
70	наконец в-третьих эта всеединая	1	1
71	решение вопроса о границах	1	1
72	сверхиндивидуального и вневременного творчества	1	1
73	не может быть ни	1	1
74	я не байрон я	2	1
75	эстетического субъекта и эстетического	1	1
76	элементов а раскрывая себя	1	1
77	плодом сверхиндивидуального и вневременного	1	1
78	взаимно полагают себя один	1	1
79	присутствия внутреннего я во	1	1
80	в принципе не может	1	1
81	не тебя так пылко	1	1
82	в пределах одной фразы	1	1
83	намерения творческих актов автора	1	1
84	на единой всеобщей основе	1	1
85	но дело в том	1	1
86	них дает им полный	1	1
87	в-третьих эта всеединая основа	1	1
88	гегель именовал веком героев	1	1
89	поэтапно изменяющуюся ментальность мы	1	1
90	исключают друг друга а	1	1
91	внутреннее есть глубочайшее общение	1	1
92	во-вторых они не исключают	1	1
93	формализм структурализм постструктурализм как	1	1
94	а утверждают свое частное	1	1
95	только в том что	2	1
96	ивана петровича белкина изданных	1	1
97	и поэтапно изменяющуюся ментальность	1	1
98	не оставляет места и	1	1
99	не только в том	2	1
100	они не исключают целого	1	1
101	нет я не байрон	2	1
102	само бытие человека и	1	1
103	состоит в том чтобы	1	1
104	взяв формализм структурализм постструктурализм	1	1
105	быть это точка безумия	3	1
106	креативного и рецептивного сознаний	1	1
107	себя один в другом	1	1
108	я во внешнем мире	1	1
109	мы вынуждены констатировать ее	1	1
110	постструктурализм как единосущную пусть	1	1
111	между собою когда во-вторых	1	1
112	погибнуть заявляя свою свободную	1	1
113	есть не более чем	1	1
114	из классических текстов русской	1	1
115	так пылко я люблю	1	1
116	единосущную пусть и поэтапно	1	1
117	не исключают друг друга	1	1
118	стать самим собою без	1	1
119	не оставляющий места для	1	1
120	и внешнее и внутреннее	1	1
121	не байрон я другой	2	1
122	принципе не может быть	1	1
123	том что лирическое я	1	1
124	но с другой стороны	3	1
125	как единосущную пусть и	1	1
126	полный простор в себе	1	1
127	однако с точки зрения	1	1
128	структурализм постструктурализм как единосущную	1	1
129	лермонтовское нет я не	1	1
130	один в другом солидарны	1	1
131	друга а напротив взаимно	1	1
132	дело не только в	2	1
133	человека и внешнее и	1	1
134	не исключают целого а	1	1
135	себя в них дает	1	1
136	полагают себя один в	1	1
137	ср лермонтовское нет я	1	1
138	тебя так пылко я	1	1
139	в том же году	3	1
140	интенциональные намерения творческих актов	1	1
141	ударение на первом слоге	1	1
142	заявляя свою свободную волю	1	1
143	субъекта и эстетического адресата	1	1
144	солидарны между собою когда	1	1
145	то же время он	1	1
146	бытие человека и внешнее	1	1
147	молчи скрывайся и таи	1	1
148	петровича белкина изданных а.п	1	1
149	исходит из того что	1	1
150	друг друга а напротив	1	1
151	целого а утверждают свое	1	1
152	свое частное бытие на	1	1
153	коммуникативного события особого рода	1	1
154	на том или ином	1	1
155	автора героя и читателя	1	1
156	отношения между я и	2	1
157	приводит к тому что	1	1
158	в чистом виде эта	1	1
159	объекта и адресата эстетического	1	1
160	одним и тем же	1	1
161	самим собою без другого	1	1
162	п тейяр де шарден	1	1
163	подавляет и не поглощает	1	1
164	собою когда во-вторых они	1	1
165	который в принципе не	1	1
166	в конечном счете к	1	1
167	устремляются интенциональные намерения творческих	1	1
168	напротив взаимно полагают себя	1	1
169	к которой устремляются интенциональные	1	1
170	во всех подобных случаях	1	1
171	как это ни парадоксально	1	1
172	и внутреннее есть глубочайшее	1	1
