N	3gram	Bakhtin_Pr	NovoeSre
1	в высшей степени	1	6
2	не может быть	8	4
3	в средние века	11	3
4	в наше время	1	3
5	лицом к лицу	1	3
6	во всех сферах	1	3
7	равно как и	1	2
8	так же как	1	2
9	в нем нет	3	2
10	в этом смысле	5	2
11	с другой стороны	3	2
12	бытия и небытия	1	1
13	сами по себе	1	1
14	которые господствовали в	1	1
15	прежде всего как	1	1
16	но для чего	1	1
17	в том что	6	1
18	средние века как	1	1
19	до сих пор	8	1
20	я не могу	1	1
21	еще не знает	1	1
22	хотя и в	2	1
23	в эту эпоху	1	1
24	что совершается в	1	1
25	это конечно не	2	1
26	в зависимости от	3	1
27	социальные и культурные	1	1
28	века и потому	1	1
29	по своей природе	3	1
30	том числе и	13	1
31	можно было бы	2	1
32	и вместе с	1	1
33	то что он	1	1
34	мы должны перейти	1	1
35	в свою противоположность	1	1
36	место в жизни	2	1
37	не только в	1	1
38	но и в	2	1
39	в большинстве случаев	9	1
40	не удалось но	1	1
41	не было и	1	1
42	в отличие от	1	1
43	есть прежде всего	1	1
44	но она не	1	1
45	культуры в том	1	1
46	о том что	3	1
47	и до сих	2	1
48	но это уже	1	1
49	не знает что	1	1
50	жизни не может	1	1
51	выходит за пределы	1	1
52	в новое время	4	1
53	а не в	1	1
54	как и в	4	1
55	во всяком случае	1	1
56	этого нельзя сказать	1	1
57	нового времени и	1	1
58	и во всех	3	1
59	в том числе	15	1
60	к вопросу о	1	1
61	конечно не в	1	1
62	мы конечно не	1	1
63	в мире а	1	1
64	а не к	1	1
65	и для того	1	1
66	в основе их	1	1
67	у него как	1	1
68	как в средние	1	1
69	и все они	1	1
70	и т.п так	1	1
71	если нет бога	1	1
72	и не может	6	1
73	может быть только	1	1
