N	2gram	Bakhtin_fo	Psycholo
1	то что	13	193
2	и в	84	190
3	в том	16	163
4	что в	9	123
5	потому что	11	114
6	том что	7	113
7	и что	1	108
8	может быть	18	107
9	таким образом	14	102
10	в этом	41	100
11	то есть	42	97
12	в самом	9	82
13	как бы	11	80
14	для того	12	78
15	того чтобы	11	78
16	что он	2	76
17	не только	16	75
18	на то	1	73
19	и не	19	73
20	самом деле	2	70
21	точки зрения	14	69
22	и т	21	69
23	не может	8	68
24	если мы	2	66
25	так же	7	63
26	так как	12	63
27	было бы	2	56
28	если бы	6	55
29	то же	18	54
30	о том	4	54
31	совершенно ясно	1	54
32	при этом	8	52
33	как и	15	51
34	что и	5	50
35	а не	7	50
36	что это	1	49
37	сказать что	4	46
38	по себе	3	46
39	только в	12	46
40	в сущности	5	46
41	к тому	6	45
42	в искусстве	1	45
43	не в	10	45
44	ясно что	2	43
45	в этой	3	43
46	никогда не	8	42
47	и все	10	42
48	вместе с	9	41
49	как это	2	40
50	но и	14	40
51	как раз	13	39
52	при помощи	1	39
53	того что	5	39
54	же самое	2	38
55	т п	18	38
56	и это	5	37
57	мы видим	4	37
58	и как	12	36
59	с тем	5	35
60	вовсе не	20	34
61	как на	2	34
62	и его	26	34
63	тому что	1	33
64	все же	12	33
65	что все	4	33
66	когда он	1	33
67	в себе	7	32
68	все это	10	32
69	он не	6	31
70	мы не	4	31
71	в его	19	31
72	для нас	2	31
73	в ней	4	31
74	мы увидим	2	30
75	как в	10	30
76	с одной	5	29
77	и для	12	29
78	одной стороны	3	29
79	с точки	9	29
80	в нем	28	29
81	увидим что	1	28
82	что они	3	28
83	мы можем	2	28
84	и то	5	28
85	что мы	2	28
86	в своих	1	27
87	в основе	9	27
88	на деле	1	27
89	и на	13	27
90	а в	6	27
91	с другой	4	27
92	все то	2	27
93	в трагедии	3	26
94	так что	4	26
95	совершенно не	3	26
96	и здесь	2	25
97	жизни и	12	25
98	до сих	4	24
99	до конца	5	24
100	тем что	4	24
101	и совершенно	3	24
102	в целом	2	24
103	в своем	8	23
104	сих пор	4	23
105	один из	5	23
106	что если	1	23
107	целый ряд	2	23
108	что оно	1	23
109	могут быть	7	23
110	с этим	11	22
111	из них	8	22
112	между тем	1	22
113	и даже	5	22
114	когда мы	2	22
115	т д	3	22
116	как она	3	22
117	в котором	8	21
118	в двух	1	21
119	в которых	4	21
120	той же	2	21
121	в своей	2	21
122	ни в	9	21
123	в конце	11	21
124	как мы	19	21
125	и вот	2	21
126	и только	3	21
127	другой стороны	1	20
128	в то	13	20
129	тот же	4	20
130	мы имеем	2	20
131	она не	2	20
132	дело с	1	20
133	несмотря на	1	20
134	на этом	2	20
135	там где	4	20
136	это не	8	20
137	все эти	12	20
138	в одном	10	19
139	мы уже	17	19
140	мы должны	2	19
141	в ее	6	19
142	у него	8	19
143	с этой	3	18
144	в которой	3	18
145	но в	16	18
146	зависимости от	1	18
147	в каком	2	18
148	на самом	1	18
149	но не	9	18
150	действующих лиц	1	18
151	и есть	3	18
152	был бы	3	18
153	перед нами	1	18
154	есть не	4	18
155	в виду	5	17
156	во всяком	5	17
157	время как	5	17
158	из этих	5	17
159	но это	1	17
160	одна из	3	17
161	у нас	2	17
162	и о	1	17
163	и к	4	16
164	из которых	1	16
165	к этому	5	16
166	та же	4	16
167	сводится к	1	16
168	говорит о	1	16
169	самого начала	3	16
170	с самого	3	16
171	в таком	4	16
172	же как	2	16
173	и тем	1	16
174	не имеет	5	16
175	формы и	4	16
176	так и	17	16
177	в результате	6	15
178	в них	11	15
179	только на	3	15
180	во всех	13	15
181	как говорит	1	15
182	о которых	1	15
183	могли бы	1	15
184	не могут	4	15
185	и так	2	15
186	и потому	4	15
187	в зависимости	1	15
188	которых мы	1	15
189	утверждает что	2	15
190	далеко не	3	15
191	еще не	8	15
192	для него	5	15
193	в частности	11	15
194	не можем	1	15
195	в совершенно	3	14
196	хотя бы	2	14
197	но он	4	14
198	главным образом	1	14
199	то время	4	14
200	это и	1	14
201	прежде всего	28	14
202	такой же	1	14
203	что на	3	14
204	те же	5	14
205	в жизни	6	14
206	этих двух	1	14
207	бы в	1	14
208	должна быть	1	14
209	это есть	1	14
210	всяком случае	1	14
211	этом отношении	5	14
212	или в	3	14
213	по существу	17	14
214	есть только	2	14
215	в области	1	14
216	с ним	5	14
217	факт что	1	14
218	именно в	5	13
219	не могли	3	13
220	точка зрения	4	13
221	могла бы	1	13
222	отнюдь не	7	13
223	этот вопрос	1	13
224	в той	5	13
225	и он	3	13
226	могло бы	1	13
227	как он	4	13
228	и другие	6	12
229	в этих	6	12
230	их в	6	12
231	в основу	3	12
232	того же	9	12
233	я не	1	12
234	в самой	3	12
235	тогда когда	2	12
236	в свою	2	12
237	и уже	4	12
238	тот факт	1	12
239	и может	2	12
240	идет о	2	12
241	конце концов	1	12
242	и очень	1	12
243	и с	10	12
244	например в	7	12
245	что по	1	12
246	как только	1	12
247	что этот	1	12
248	что не	3	12
249	этой точки	1	12
250	по самому	3	12
251	и до	7	12
252	действия и	1	12
253	ничего не	9	12
254	в поэзии	2	12
255	об этом	3	12
256	понятно что	4	11
257	конечно не	7	11
258	не было	8	11
259	мы видели	2	11
260	была бы	2	11
261	сравнению с	3	11
262	по сравнению	3	11
263	и поэтому	2	11
264	но мы	1	11
265	на этот	1	11
266	уже в	5	11
267	раз в	4	11
268	и других	5	11
269	отличие от	3	11
270	он должен	2	11
271	исходя из	1	11
272	есть в	3	11
273	искусство и	1	11
274	по поводу	1	11
275	его в	8	11
276	были бы	1	11
277	образом и	2	11
278	отдельного человека	1	11
279	этого слова	2	11
280	с его	10	11
281	во всем	3	10
282	в другом	2	10
283	смысл и	1	10
284	в тех	1	10
285	сами по	2	10
286	именно на	1	10
287	данном случае	2	10
288	в их	9	10
289	в одной	2	10
290	от него	1	10
291	отличается от	1	10
292	в данном	4	10
293	должно быть	6	10
294	в состоянии	1	10
295	тому же	2	10
296	и у	8	10
297	но как	1	10
298	совсем не	4	10
299	надо сказать	1	10
300	и от	3	10
301	мы в	1	10
302	здесь мы	4	10
303	не является	4	10
304	ее в	2	10
305	это было	2	10
306	и их	11	10
307	на нас	3	9
308	но что	1	9
309	так сказать	14	9
310	вопрос о	2	9
311	на него	1	9
312	что даже	2	9
313	внимание на	2	9
314	и следовательно	5	9
315	в чем	3	9
