N	2gram	Medvedev_I	PoTuStor
1	и в	1	16
2	в этом	2	9
3	и с	3	8
4	для него	1	6
5	к отцу	1	6
6	все эти	1	5
7	только для	1	5
8	все это	1	4
9	художественного творчества	1	4
10	так и	1	4
11	и не	2	4
12	что в	2	3
13	в основе	1	3
14	его ученики	1	3
15	тех же	1	3
16	а в	1	3
17	и др	1	3
18	жизни и	1	3
19	ненависть к	1	2
20	со всеми	1	2
21	в них	1	2
22	он не	2	2
23	говорить о	1	2
24	и о	1	2
25	того же	1	2
26	никогда не	1	2
27	от нее	1	1
28	не утверждал	2	1
29	только что	1	1
30	не слишком	1	1
31	и чрезвычайно	1	1
32	что при	1	1
33	я не	1	1
34	нам в	1	1
35	если бы	1	1
36	и сам	1	1
37	этим и	1	1
38	от этого	1	1
39	и со	1	1
40	с любым	1	1
41	это было	1	1
42	а для	1	1
43	а с	1	1
44	то и	1	1
45	того чтобы	1	1
46	не дает	1	1
47	для того	1	1
48	точно и	1	1
49	и та	1	1
50	с другой	1	1
51	и еще	1	1
52	в эту	1	1
53	что для	1	1
54	по поводу	1	1
55	не случайно	1	1
56	себя в	1	1
57	ничего не	2	1
58	о ней	1	1
