N	4gram	Vinokur_Vv	SlovoVZh
1	дело в том что	3	4
2	так как если бы	1	4
3	бы то ни было	1	3
4	не может быть и	1	2
5	с одной стороны и	3	2
6	одно и то же	2	2
7	это только одна сторона	1	1
8	в руках у нас	1	1
9	мы имеем дело с	1	1
10	то ни было области	1	1
11	какой бы то ни	1	1
12	но в то же	3	1
13	и в этом смысле	1	1
14	в зависимости от того	1	1
15	в науке о литературе	1	1
16	как если бы оно	1	1
17	в том что в	1	1
18	мы имеем в виду	1	1
19	прежде всего именно в	1	1
20	сама по себе не	1	1
21	с другой стороны как	1	1
22	в то же время	6	1
23	в ее отношении к	1	1
