N	4gram	Tiupa_Anal	formyVre
1	в то же время	7	18
2	одного и того же	4	9
3	не для того чтобы	1	4
4	одних и тех же	2	4
5	в той или иной	2	3
6	дело в том что	3	2
7	в отличие от всех	1	2
8	как если бы он	1	2
9	в нашем случае в	1	2
10	то же время они	1	2
11	жизни поколений ослабляет и	1	1
12	единство места жизни поколений	1	1
13	здесь не только в	3	1
14	человека с самим собою	1	1
15	на каждом из них	1	1
16	с самим собою в	1	1
17	мы уже говорили о	1	1
18	одной и той же	2	1
19	в тех случаях когда	1	1
20	места жизни поколений ослабляет	1	1
21	в литературе нового времени	1	1
22	характера делает их существенными	1	1
23	как раз и составляет	1	1
24	приходит к выводу что	1	1
25	их существенными событиями жизни	1	1
26	том что он не	1	1
27	делает их существенными событиями	1	1
28	в том что он	2	1
29	грани между индивидуальными жизнями	1	1
30	как раз в том	1	1
31	быта лишает их частного	1	1
32	с которыми он должен	1	1
33	но дело в том	1	1
34	которыми он должен слиться	1	1
35	из уст в уста	1	1
