N	3gram	Medvedev_F	Analitik
1	в том что	3	25
2	не может быть	11	19
3	по отношению к	4	18
4	в то же	13	16
5	в данном случае	2	14
6	в отличие от	2	14
7	то же время	13	14
8	так и не	1	10
9	того или иного	6	9
10	с другой стороны	4	9
11	в свою очередь	6	9
12	в том чтобы	3	9
13	по крайней мере	1	9
14	с одной стороны	5	9
15	состоит в том	1	8
16	с точки зрения	17	8
17	как и в	1	8
18	в этом отношении	7	8
19	в таком случае	1	7
20	во всяком случае	6	7
21	что иное как	1	7
22	литературного произведения в	1	6
23	тем не менее	2	6
24	так или иначе	1	6
25	литературного произведения как	1	6
26	не что иное	1	6
27	не только не	2	5
28	есть не что	1	5
29	но и в	4	5
30	том или ином	1	5
31	в этом случае	1	5
32	лишь в том	1	4
33	в самом начале	1	4
34	до известной степени	3	4
35	в том или	1	4
36	в самом деле	5	4
37	для того чтобы	3	4
38	не в том	3	4
39	не сводится к	2	4
40	тех или иных	1	4
41	и тем самым	2	4
42	и не может	5	4
43	и в этом	6	4
44	большей или меньшей	1	4
45	и не в	2	4
46	в этом смысле	3	4
47	из того что	1	4
48	в значительной степени	3	4
49	сама по себе	2	4
50	и как бы	1	3
51	и т п	11	3
52	хотя бы и	1	3
53	в том числе	1	3
54	как бы не	1	3
55	сам по себе	2	3
56	сами по себе	4	3
57	именно в этом	1	3
58	бы то ни	4	3
59	всех без исключения	1	3
60	в зависимости от	4	3
61	между тем как	1	3
62	то ни было	1	3
63	в связи с	9	3
64	произведения в его	1	3
65	как раз и	4	3
66	в противном случае	2	3
67	не могут быть	4	3
68	между тем в	1	3
69	тот или иной	1	3
70	мере в какой	1	2
71	что он не	1	2
72	в применении к	4	2
73	литературного произведения с	1	2
74	в той мере	1	2
75	отнюдь не является	1	2
76	с этой точки	1	2
77	во внешнем мире	1	2
78	литературное произведение не	1	2
79	более или менее	7	2
80	совершенно очевидно что	1	2
81	в литературном произведении	2	2
82	в широком смысле	2	2
83	до сих пор	7	2
84	в такой же	1	2
85	смысле этого слова	4	2
86	и прежде всего	2	2
87	той мере в	1	2
88	и в пределах	1	2
89	как если бы	2	2
90	к тому что	3	2
91	как и от	1	2
92	так и на	1	2
93	в сторону и	1	2
94	в том и	1	2
95	науки о литературе	3	2
96	т е к	1	2
97	не столько в	1	2
98	на фоне этой	1	2
99	заключается в том	1	2
100	этой точки зрения	1	2
101	до тех пор	1	2
102	на этот вопрос	1	2
103	не говоря уже	1	2
104	со всех сторон	1	2
105	но в то	3	2
106	в отрыве от	2	2
107	по своей природе	1	2
108	но отнюдь не	1	2
109	произведение искусства является	1	2
110	же время в	1	2
111	говоря уже о	1	2
112	что же касается	1	2
113	прежде всего в	5	2
