N	4gram	Propp_Isto	Formalny
1	и не может быть	1	7
2	в связи с этим	1	5
3	на самом же деле	1	3
4	мы уже знаем что	1	3
5	иначе обстоит дело с	1	3
6	с этой точки зрения	1	2
7	что в данном случае	2	2
8	что они находятся в	1	2
9	только в связи с	2	2
10	а в связи с	1	2
11	но тем не менее	2	1
12	мы увидим что в	1	1
13	с нашей точки зрения	1	1
14	не что иное как	6	1
15	в этом случае в	1	1
16	в огромном большинстве случаев	1	1
17	и т д отсюда	1	1
18	как это происходит в	1	1
19	в том отношении что	1	1
20	том отношении что они	1	1
21	одной и той же	2	1
22	мы увидим дальше что	1	1
23	и так или иначе	1	1
24	но в таком случае	1	1
25	речи и т д	1	1
26	с другой стороны и	3	1
27	но вместе с тем	1	1
28	она не могла бы	1	1
29	и т д нам	1	1
30	в данном случае с	1	1
31	она до сих пор	1	1
32	внимание еще на одну	1	1
33	обратить внимание еще на	1	1
34	что же это за	1	1
35	есть не что иное	2	1
