N	2gram	Losev_Vesc	BTomashe
1	у нас	9	3
2	все это	7	2
3	в ней	14	2
4	можно было	6	2
5	не то	4	2
6	больше чем	1	2
7	и не	57	2
8	вопрос о	6	1
9	говорить о	9	1
10	и о	4	1
11	о них	4	1
12	было и	2	1
13	со всем	5	1
14	и нет	3	1
15	не только	48	1
16	остановиться на	3	1
17	таким образом	16	1
18	не было	4	1
19	и ограниченно	1	1
20	меньшей мере	1	1
21	прежде всего	17	1
22	бы только	2	1
23	и в	44	1
24	на самом	1	1
25	так и	4	1
26	из своей	1	1
27	в своей	6	1
28	во всяком	4	1
29	и потому	8	1
30	начинает он	1	1
31	и во	3	1
32	также что	1	1
33	говорить об	2	1
34	не уничтожается	2	1
35	же не	4	1
36	по крайней	10	1
37	с другой	8	1
38	об этом	5	1
39	как будто	2	1
40	о смысловом	1	1
41	точке зрения	4	1
42	этой книги	1	1
43	совершенно не	11	1
44	не о	2	1
45	другой стороны	3	1
46	крайней мере	10	1
47	всяком случае	2	1
48	кроме того	5	1
49	было бы	24	1
50	название то	1	1
51	стоит на	1	1
52	не следует	1	1
53	точно и	1	1
54	и ее	19	1
55	только одной	2	1
56	одной из	1	1
57	по меньшей	1	1
58	в пределах	1	1
59	в данном	6	1
60	то нельзя	1	1
61	должна быть	8	1
62	и исторической	1	1
63	далеко не	2	1
64	тем более	3	1
65	самом понятии	1	1
66	не вполне	2	1
67	то как	2	1
68	и более	4	1
69	что все	2	1
70	не все	3	1
71	по этим	1	1
72	никак не	7	1
73	узко и	1	1
74	в книге	1	1
75	будто бы	1	1
76	также не	1	1
77	а не	34	1
78	отнюдь не	8	1
79	и на	2	1
80	между ними	6	1
81	еще не	12	1
82	к ней	4	1
83	все же	18	1
84	что в	11	1
