N	4gram	Medvedev_F	VeschiIm
1	не что иное как	1	12
2	бы то ни было	1	12
3	есть не что иное	1	8
4	с этой точки зрения	1	4
5	в то же время	13	4
6	и в то же	4	3
7	какого бы то ни	1	2
8	было бы сказать что	1	2
9	в том смысле что	2	1
10	на самом же деле	1	1
11	все новые и новые	1	1
12	в этом смысле и	1	1
13	социологии и т д	1	1
14	может быть и речи	1	1
15	во все новые и	1	1
16	и как бы ни	1	1
17	с одной стороны и	4	1
18	по крайней мере четыре	1	1
19	уже с трудом можно	1	1
20	что как бы ни	1	1
21	т е уже предполагается	1	1
22	и то и другое	1	1
23	как это было в	1	1
24	что он не есть	1	1
25	но в то же	3	1
26	не может быть и	2	1
27	заключается в том чтобы	1	1
28	и в этом отношении	1	1
29	если бы оно было	2	1
30	что бы то ни	3	1
