N	3gram	Berdyaev_M	Hudozhes
1	по отношению к	4	10
2	в том что	3	8
3	в отличие от	1	7
4	для того чтобы	4	5
5	не может быть	22	4
6	так и не	2	4
7	мы имеем в	1	3
8	с точки зрения	1	3
9	имеем в виду	1	3
10	и в самом	3	3
11	подобно тому как	2	3
12	несет в себе	1	3
13	но он не	3	2
14	но во всех	1	2
15	в самом деле	1	2
16	как бы не	2	2
17	в отношении к	3	2
18	по своей природе	1	2
19	том что он	1	2
20	что в основе	1	2
21	на наших глазах	1	2
22	сама по себе	1	2
23	к тому что	1	2
24	в значительной степени	2	2
25	может быть и	2	2
26	что он не	3	1
27	и не быть	1	1
28	он не принадлежит	1	1
29	мере в какой	1	1
30	сойти с ума	1	1
31	не все человеческие	1	1
32	может быть назван	3	1
33	и для него	2	1
34	преступлении и наказании	1	1
35	с ним как	1	1
36	не могли быть	1	1
37	в той мере	1	1
38	та или иная	1	1
39	может быть постигнут	2	1
40	заключает в себе	3	1
41	он не только	2	1
42	к нему как	1	1
43	по ту сторону	1	1
44	о том что	3	1
45	в иной в	1	1
46	для него не	2	1
47	жизни не в	1	1
48	добро и зло	2	1
49	в себе и	2	1
50	в каждом человеке	2	1
51	как и в	2	1
52	ивана карамазова в	2	1
53	для себя и	1	1
54	с самим собою	2	1
55	он мог бы	1	1
56	в этом втором	1	1
57	в то время	2	1
58	не несет в	1	1
59	отношению к нему	1	1
60	у достоевского в	1	1
61	во втором случае	1	1
62	не знает личности	1	1
63	каждый человек в	1	1
64	в другом и	1	1
65	знает личности как	1	1
66	в том случае	1	1
67	в себе самом	1	1
68	а также в	1	1
69	в иных случаях	1	1
70	не что иное	4	1
71	не сама по	1	1
72	он ни был	1	1
73	и состоит чтобы	1	1
74	ибо и в	1	1
75	в зависимости от	1	1
76	того что составляет	1	1
77	никогда не бывает	2	1
78	так же как	1	1
79	мы видим в	1	1
80	той мере в	1	1
81	если он не	1	1
82	и по отношению	1	1
83	с самим собой	1	1
84	есть не что	3	1
85	он обращен к	2	1
86	но не в	1	1
87	в себе в	1	1
88	жизни а не	1	1
89	не могут быть	2	1
90	том случае если	1	1
91	если бы для	1	1
92	что иное как	4	1
93	как бы в	1	1
94	на этом пути	4	1
95	точки зрения у	1	1
96	а не только	3	1
97	это и есть	7	1
98	прежде всего в	2	1
99	и в том	1	1
100	в преступлении и	1	1
101	и в этой	5	1
102	это ведет к	1	1
