N	4gram	Losev_Prob	SlovoVZh
1	дело в том что	3	4
2	бы то ни было	4	3
3	не может быть и	1	2
4	с одной стороны и	1	2
5	одно и то же	3	2
6	ни в чем не	2	1
7	на самом же деле	7	1
8	какой бы то ни	1	1
9	одним и тем же	1	1
10	все более и более	1	1
11	так же как и	3	1
12	в то время как	6	1
13	мы имеем в виду	1	1
14	в том что всякий	2	1
15	что до сих пор	1	1
16	художественного произведения и его	1	1
17	но сами по себе	1	1
18	до сих пор мы	2	1
19	каких бы то ни	1	1
20	сами по себе в	1	1
21	один и тот же	1	1
