N	3gram	Kanaev_Sov	Analitik
1	в том что	1	25
2	не может быть	4	19
3	по отношению к	1	18
4	в то же	1	16
5	в данном случае	1	14
6	в отличие от	2	14
7	то же время	1	14
8	той или иной	1	14
9	в конечном счете	1	11
10	в свою очередь	2	9
11	по крайней мере	1	9
12	с одной стороны	1	9
13	с точки зрения	5	8
14	в свое время	1	7
15	во всяком случае	2	7
16	что иное как	1	7
17	тем не менее	2	6
18	не что иное	1	6
19	есть не что	1	5
20	в этом случае	1	5
21	в самом деле	1	4
22	не в том	1	4
23	и не может	1	4
24	и в этом	1	4
25	в этом смысле	1	4
26	в известном смысле	1	4
27	и тот же	1	3
28	одни и те	1	3
29	сами по себе	1	3
30	бы то ни	1	3
31	в зависимости от	4	3
32	то ни было	1	3
33	в связи с	1	3
34	то же самое	2	3
35	и те же	1	3
36	и той же	1	3
37	и все же	1	3
38	дело в том	1	3
39	одной и той	1	3
40	не могут быть	1	3
41	тот или иной	1	3
42	такой же мере	1	2
43	в обратном порядке	1	2
44	можно было бы	1	2
45	каждом отдельном случае	5	2
46	друг с другом	2	2
47	до сих пор	1	2
48	в обоих случаях	1	2
49	в такой же	1	2
50	и прежде всего	1	2
51	в каждом отдельном	5	2
52	а не только	1	2
53	вместе с ним	1	2
54	один и тот	1	2
55	какой бы то	1	2
56	той же природы	1	2
57	на этот вопрос	1	2
58	но отнюдь не	1	2
59	как и во	1	1
60	в дальнейшем мы	1	1
61	как мы это	1	1
62	в себе в	1	1
63	не подлежит никакому	1	1
64	ни то ни	1	1
65	мы видим что	1	1
66	и во всех	1	1
67	не отразиться на	1	1
68	они не могут	1	1
69	но они не	1	1
70	что при таком	1	1
71	в том случае	1	1
72	да еще в	1	1
73	с новой силой	1	1
74	всяком случае не	1	1
75	то ни другое	1	1
76	ли он в	1	1
77	на этот раз	1	1
78	ведь это не	1	1
79	же самое что	1	1
80	может иметь место	1	1
81	еще аристотелем и	1	1
82	ему принадлежит только	1	1
83	принципиально не может	1	1
84	под углом зрения	1	1
85	и может быть	1	1
86	как и вся	1	1
87	тот факт что	1	1
88	конечном счете только	1	1
89	и та же	1	1
90	он может быть	1	1
91	ничто не может	1	1
92	равно как и	1	1
93	на самом деле	1	1
94	но уже в	1	1
95	все эти три	1	1
96	и есть не	1	1
97	одна и та	1	1
98	он в действительности	1	1
99	одна из них	1	1
100	по аналогии с	1	1
101	оно может быть	1	1
102	все это делает	1	1
