N	2gram	Vygotskiy_	IolandNe
1	и с	3	3
2	что в	43	2
3	он не	10	2
4	должен быть	3	2
5	бы что	2	2
6	ничего не	4	2
7	и не	19	2
8	в этом	30	2
9	говорить о	1	1
10	все эти	5	1
11	для того	45	1
12	и очень	5	1
13	а в	7	1
14	и о	5	1
15	за границей	1	1
16	утверждает что	6	1
17	это было	4	1
18	и со	1	1
19	и та	5	1
20	что для	6	1
21	для него	5	1
22	не остается	1	1
23	вплоть до	1	1
24	с героем	2	1
25	тем что	8	1
26	только что	11	1
27	бы его	3	1
28	от нее	2	1
29	и чрезвычайно	1	1
30	когда его	2	1
31	того же	5	1
32	доказательство того	1	1
33	нам в	1	1
34	каждый исследователь	1	1
35	не так	4	1
36	и др	2	1
37	жизни и	8	1
38	с другой	12	1
39	что ленский	1	1
40	но когда	1	1
41	в целом	7	1
42	не смерть	1	1
43	точно и	2	1
44	значительной мере	1	1
45	очевидно что	3	1
46	в эту	2	1
47	стороны он	4	1
48	другой стороны	8	1
49	себя в	4	1
50	братья карамазовы	1	1
51	произведения и	1	1
52	автор не	1	1
53	слишком много	1	1
54	могло бы	4	1
55	то и	1	1
56	что при	5	1
57	как только	5	1
58	если бы	21	1
59	отношению к	2	1
60	в руки	3	1
61	следующим образом	2	1
62	доказать что	1	1
63	в художественном	4	1
64	по существу	4	1
65	и сам	1	1
66	того что	12	1
67	а с	7	1
68	для других	1	1
69	стало быть	1	1
70	ненависть к	1	1
71	только для	2	1
72	по поводу	6	1
73	так то	1	1
74	и тот	2	1
75	а также	1	1
76	всю трагедию	2	1
77	так и	6	1
78	мышь и	1	1
79	в основе	9	1
80	в значительной	1	1
81	следовательно в	2	1
82	о ней	2	1
83	от этого	1	1
84	та и	1	1
85	того чтобы	43	1
86	и без	1	1
87	а для	1	1
88	другое дело	1	1
89	бы в	7	1
90	не дает	2	1
91	есть только	3	1
92	и в	55	1
93	видит в	3	1
94	никогда не	15	1
95	своего исследования	1	1
96	все это	8	1
97	по отношению	3	1
98	на котором	1	1
99	нисколько не	3	1
100	характера самого	1	1
101	эпизод с	1	1
102	в них	7	1
103	во многом	1	1
