N	2gram	Medvedev_B	EvropaiC
1	таким образом	1	34
2	и в	1	24
3	все же	1	15
4	все это	2	13
5	не только	1	10
6	так и	1	10
7	что в	1	9
8	и не	2	9
9	на самом	1	7
10	и на	1	6
11	еще не	1	6
12	должна быть	1	6
13	с другой	1	6
14	другой стороны	1	5
15	далеко не	1	5
16	что все	1	5
17	как будто	1	5
18	совершенно не	1	4
19	в области	1	4
20	прежде всего	1	3
21	у нас	3	3
22	же не	1	3
23	тем более	1	3
24	и потому	1	3
25	в данном	1	3
26	вопрос о	1	3
27	в ней	2	3
28	лучше и	2	3
29	не вполне	1	3
30	было бы	1	3
31	не то	2	3
32	не было	1	2
33	меньше чем	1	2
34	между ними	1	2
35	во всяком	1	2
36	и более	1	2
37	всяком случае	1	2
38	говорить о	1	2
39	о них	1	2
40	не следует	1	2
41	отнюдь не	1	2
42	и ее	1	2
43	всего в	1	1
44	стоит на	1	1
45	сейчас в	1	1
46	лучшим из	1	1
47	в своей	1	1
48	кроме того	1	1
49	никак не	1	1
50	на которой	1	1
51	будто бы	1	1
52	более что	1	1
53	по крайней	1	1
54	больше чем	2	1
55	свою книгу	1	1
56	в значительной	1	1
57	нет но	1	1
58	нельзя не	1	1
59	точно и	1	1
60	можно было	2	1
61	работу по	1	1
62	точке зрения	1	1
63	к ней	1	1
64	до конца	1	1
65	является только	1	1
66	а не	1	1
67	крайней мере	1	1
