N	3gram	Losev_Vlad	Myshleni
1	в том что	13	133
2	для того чтобы	3	78
3	заключается в том	1	51
4	с одной стороны	1	39
5	в этом отношении	2	30
6	в этом случае	1	27
7	вместе с тем	2	26
8	с другой стороны	3	26
9	на то что	6	25
10	о том что	9	25
11	не может быть	4	23
12	смысле этого слова	1	22
13	в то время	6	22
14	к тому что	1	22
15	в высшей степени	1	22
16	не только не	1	21
17	можно сказать что	3	21
18	как уже сказано	1	20
19	то время как	2	20
20	в самом деле	1	19
21	и тем самым	1	19
22	во всяком случае	8	18
23	в этом смысле	4	18
24	как мы видели	1	17
25	в связи с	7	17
26	и то что	7	15
27	и той же	1	15
28	одной и той	1	15
29	в свою очередь	2	14
30	к выводу что	1	14
31	точно так же	2	13
32	а с другой	1	13
33	и то же	1	12
34	в том чтобы	4	12
35	один и тот	2	12
36	и тот же	2	12
37	тем не менее	8	12
38	на первый план	4	12
39	одно и то	1	12
40	как мы уже	3	11
41	в последнее время	2	11
42	том что в	3	11
43	то обстоятельство что	2	11
44	то что в	1	10
45	в самом начале	1	10
46	но вместе с	1	10
47	в том числе	1	10
48	в целом и	1	9
49	с тем что	1	9
50	более или менее	5	9
51	том что он	4	9
52	само по себе	1	9
53	то что он	6	8
54	сам по себе	1	8
55	в этом возрасте	1	8
56	что он не	3	8
57	в том же	3	8
58	в этой области	1	8
59	вопрос об отношении	1	8
60	что и в	2	8
61	то в чем	1	7
62	и вместе с	1	7
63	по этому поводу	2	7
64	скажем только что	1	7
65	содержит в себе	1	7
66	как раз в	1	7
67	в том виде	1	7
68	с тем и	1	7
69	в этот период	1	6
70	ничего общего с	1	6
71	и в частности	3	6
72	потому что в	2	6
73	если бы мы	1	6
74	только то что	1	6
75	и не может	1	6
76	не что иное	2	6
77	что иное как	2	6
78	все больше и	1	5
79	и как бы	1	5
80	указывает на то	1	5
81	кроме того что	1	5
82	приходит к выводу	1	5
83	мысли и слова	1	5
84	так как это	1	5
85	что в этом	1	5
86	но все же	1	5
87	так как в	1	5
88	того что он	1	5
89	больше и больше	1	5
90	и что в	1	5
91	как мы увидим	2	5
92	в той же	1	5
93	то что с	1	5
94	в конце концов	6	5
95	мы хотели бы	3	5
96	не может не	1	5
97	так как он	2	5
98	и в этом	1	5
99	но он не	1	5
100	в какой мере	1	5
101	мы знаем что	2	5
102	в свое время	6	5
103	в то же	7	5
104	не только в	3	5
105	тогда когда мы	1	4
106	виде в каком	1	4
107	так и в	1	4
108	как это мы	4	4
109	не потому что	1	4
110	имеет дело с	1	4
111	на этот раз	7	4
112	не то что	2	4
113	мы имеем дело	1	4
114	и во всяком	1	4
115	его отношение к	1	4
116	так что в	2	4
117	между и годами	1	4
118	по существу дела	1	4
119	есть не что	1	4
120	мы должны сказать	1	4
121	в силу чего	1	4
122	вместе с ним	1	4
123	после того как	2	4
124	но и по	1	3
125	то ни было	1	3
126	сказать что в	1	3
127	та же самая	1	3
128	к тому же	3	3
129	что уже в	1	3
130	то же время	7	3
131	и только в	1	3
132	не имеет никакого	2	3
133	что у нее	1	3
134	потому что его	1	3
135	должны сказать что	1	3
136	дело в том	7	3
137	по поводу того	1	3
138	с ним но	1	3
139	на первых порах	1	3
140	оно может быть	1	3
141	не только как	1	3
142	а не на	1	3
143	является как бы	1	3
144	не содержит в	1	3
145	том виде в	1	3
146	и в конце	2	3
147	и потому что	3	3
148	как раз и	2	3
149	бы то ни	2	3
150	в чем дело	1	3
151	в значительной мере	1	3
152	говорит что в	2	3
153	во всем его	1	3
154	в которой он	2	3
155	а следовательно и	1	3
156	в настоящее время	2	3
157	того что в	1	3
158	то что для	1	3
159	имеем дело с	1	3
160	нет и не	1	3
161	значение для всей	1	2
162	ни в каком	1	2
163	укажем только на	1	2
164	прямо говорит что	1	2
165	на одной и	1	2
166	а в других	1	2
167	и речи с	2	2
168	с ним в	2	2
169	потому что она	1	2
