N	2gram	Tiupa_Narr	Marksizm
1	прямой речи	1	77
2	точки зрения	8	69
3	может быть	24	64
4	и в	22	63
5	и не	34	55
6	как бы	11	53
7	косвенной речи	1	51
8	прямая речь	1	49
9	не может	16	47
10	с точки	2	46
11	и его	12	41
12	в этом	23	39
13	таким образом	5	38
14	в процессе	2	33
15	как мы	3	32
16	языка и	1	31
17	в пределах	2	31
18	лишь в	3	30
19	не только	50	29
20	то же	12	28
21	в нем	9	28
22	языка как	1	27
23	но и	39	27
24	связи с	3	25
25	речи и	1	25
26	самом деле	4	25
27	в самом	8	24
28	как и	15	24
29	прежде всего	7	24
30	только в	23	23
31	так и	12	23
32	и т.п	11	23
33	в том	20	22
34	то что	14	22
35	а не	27	22
36	при этом	31	20
37	так сказать	4	20
38	для него	8	20
39	не в	12	19
40	если бы	9	19
41	том что	15	19
42	в его	12	19
43	в ее	4	18
44	внутренней речи	3	18
45	в слове	4	18
46	чужого слова	4	18
47	и для	4	18
48	но в	10	18
49	вовсе не	2	18
50	все же	10	17
51	в сущности	2	17
52	по отношению	5	16
53	ни было	1	16
54	слова и	1	16
55	и как	4	16
56	в то	9	16
57	с помощью	2	15
58	во всех	2	15
59	в связи	3	15
60	отнюдь не	6	15
61	что он	7	15
62	же время	7	15
63	отношению к	5	15
64	язык как	2	14
65	в данном	17	14
66	хотя бы	4	14
67	в контексте	1	14
68	в своей	8	13
69	так же	2	13
70	то ни	1	13
71	в направлении	2	13
72	что в	6	13
73	и здесь	3	13
74	не является	7	13
75	того чтобы	7	13
76	было бы	2	13
77	ничего не	8	13
78	мы не	5	13
79	прямую речь	1	13
80	слова в	4	13
81	для того	4	12
82	того же	2	12
83	бы то	1	12
84	в результате	4	12
85	между тем	5	12
86	он не	8	12
87	в основе	1	12
88	является не	1	12
89	а в	19	12
90	не столько	2	11
91	речевого взаимодействия	1	11
92	на материале	1	11
93	и того	5	11
94	чужое слово	1	11
95	к нему	5	11
96	мы уже	1	11
97	и что	1	11
98	и от	3	11
99	слова как	1	11
100	до сих	3	11
