N	3gram	Savitsky_P	RusskieA
1	в том что	4	49
2	и т д	1	21
3	в xix в	1	13
4	вместе с тем	1	11
5	том что в	1	9
6	для того чтобы	1	8
7	в настоящее время	1	7
8	не может быть	1	6
9	во многих случаях	1	6
10	так же как	1	6
11	в отличие от	1	4
12	что в этом	1	4
13	во всяком случае	1	4
14	мы не будем	1	4
15	тех пор пока	1	3
16	более или менее	1	3
17	с точки зрения	3	3
18	до тех пор	1	3
19	далеко не все	1	3
20	в большинстве случаев	1	2
21	друг с другом	1	2
22	можно судить по	1	2
23	с другой стороны	1	2
24	не связаны с	1	2
25	не только в	4	2
26	и в этом	1	2
27	и другие народы	1	2
28	с одной стороны	3	2
29	не только как	1	2
30	в xix веке	1	1
31	но для каждого	1	1
32	мы знаем что	1	1
33	том что во	1	1
34	можно думать что	1	1
35	можно говорить о	1	1
36	и пр в	1	1
37	собою как бы	1	1
38	в применении к	1	1
39	в своем значении	2	1
40	нужно обратиться к	1	1
41	и еще в	1	1
42	же в этой	1	1
43	но и в	2	1
44	не более как	1	1
45	главным образом на	1	1
46	более широкой и	1	1
47	тем и другим	1	1
48	сливаются в одно	1	1
49	но и другие	1	1
50	тем более что	1	1
51	как одна из	1	1
52	в собственном смысле	1	1
53	и не только	2	1
54	потому что по	1	1
