N	2gram	Bakhtin_fo	Narrotol
1	не только	16	62
2	и не	19	50
3	при этом	8	47
4	но и	14	45
5	а не	7	38
6	в качестве	6	35
7	в частности	11	31
8	может быть	18	30
9	и в	84	30
10	в том	16	29
11	в этом	41	28
12	своего рода	1	28
13	том что	7	28
14	а в	6	27
15	только в	12	25
16	в данном	4	24
17	как и	15	24
18	не в	10	23
19	то что	13	23
20	то есть	42	22
21	не может	8	20
22	в себе	7	17
23	данном случае	2	17
24	так и	17	17
25	а также	5	17
26	в его	19	16
27	к тому	6	15
28	можно сказать	2	15
29	и т.п	6	15
30	но в	16	15
31	в жизни	6	14
32	картина мира	2	14
33	и его	26	14
34	то же	18	13
35	в своей	2	13
36	уже не	5	13
37	о том	4	13
38	в своем	8	13
39	у него	8	13
40	времени и	10	13
41	все же	12	12
42	на протяжении	3	12
43	картины мира	2	12
44	сводится к	1	12
45	как в	10	12
46	перед нами	1	12
47	как бы	11	12
48	прежде всего	28	12
49	по отношению	3	11
50	об этом	3	11
51	к себе	8	11
52	хотя и	5	11
53	в мире	4	11
54	если бы	6	11
55	и тем	1	11
56	в этой	3	11
57	в нем	28	11
58	героя в	1	11
59	жизни в	11	11
60	в отличие	3	11
61	отличие от	3	11
62	отношению к	5	11
63	один из	5	10
64	никогда не	8	10
65	тому же	2	10
66	точки зрения	14	10
67	между тем	1	10
68	как это	2	10
69	в то	13	10
70	и все	10	10
71	не является	4	10
72	жизни и	12	10
73	с его	10	10
74	ничего не	9	10
75	того что	5	10
76	но не	9	10
77	и т.д	2	10
78	в соответствии	2	9
79	как раз	13	9
80	той или	3	9
81	отнюдь не	7	9
82	что в	9	9
83	с ним	5	9
84	что он	2	9
85	еще не	8	9
86	потому что	11	9
87	во времени	6	9
88	для него	5	9
89	далеко не	3	9
90	в той	5	8
91	и к	4	8
92	в самом	9	8
93	в таком	4	8
94	о чем	4	8
95	одна из	3	8
96	он не	6	8
97	действующих лиц	1	8
98	и он	3	8
